,B_COUNTRY_ALPHA,B_COUNTRY,LNGE_ISO,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q37,Q38,Q39,Q40,Q41,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q132,Q133,Q134,Q135,Q136,Q137,Q138,Q158,Q159,Q160,Q161,Q162,Q169,Q170,Q196,Q197,Q198,Q224,Q225,Q226,Q227,Q228,Q229,Q230,Q231,Q232,Q233
0,MAR,504,ar,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,6.0,8.0,8.0,5.0,6.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0
1,MAR,504,ar,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,10.0,10.0,10.0,10.0,8.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0
2,MAR,504,ar,1.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,4.0,4.0,2.0,3.0,3.0,1.0,8.0,8.0,7.0,5.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0
3,MAR,504,ar,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,4.0,2.0,3.0,1.0,10.0,10.0,10.0,8.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0
4,MAR,504,ar,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,8.0,10.0,7.0,6.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0
5,MAR,504,ar,1.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,10.0,10.0,10.0,7.0,3.0,1.0,1.0,2.0,3.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0
6,MAR,504,ar,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,9.0,10.0,8.0,8.0,4.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0
7,MAR,504,ar,1.0,1.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,10.0,10.0,8.0,10.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0
8,MAR,504,ar,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,4.0,3.0,4.0,2.0,1.0,3.0,8.0,8.0,7.0,3.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0
9,MAR,504,ar,1.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,10.0,10.0,8.0,7.0,6.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0
10,MAR,504,ar,1.0,1.0,4.0,4.0,4.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,10.0,7.0,2.0,5.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0
11,MAR,504,ar,2.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,10.0,7.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,3.0,1.0,1.0,4.0,4.0,1.0,3.0
