----------------------,------:,------,-----:,------.1,---,-----:.1,---.1,------.2
afrisenti_amh_prompt_1,,none,0,f1,↑,0.0788,±,
afrisenti_amh_prompt_2,1.0,none,0,acc,↑,0.2191,±,0.0093
afrisenti_amh_prompt_2,,none,0,f1,↑,0.0788,±,
afrisenti_amh_prompt_3,1.0,none,0,acc,↑,0.2801,±,0.01
afrisenti_amh_prompt_3,,none,0,f1,↑,0.2157,±,
afrisenti_amh_prompt_4,1.0,none,0,acc,↑,0.6233,±,0.0108
afrisenti_amh_prompt_4,,none,0,f1,↑,0.6214,±,
afrisenti_amh_prompt_5,1.0,none,0,acc,↑,0.6058,±,0.0109
afrisenti_amh_prompt_5,,none,0,f1,↑,0.6051,±,
afrisenti_arq_prompt_1,1.0,none,0,acc,↑,0.3434,±,0.0153
afrisenti_arq_prompt_1,,none,0,f1,↑,0.1756,±,
afrisenti_arq_prompt_2,1.0,none,0,acc,↑,0.3434,±,0.0153
afrisenti_arq_prompt_2,,none,0,f1,↑,0.1756,±,
afrisenti_arq_prompt_3,1.0,none,0,acc,↑,0.5595,±,0.016
afrisenti_arq_prompt_3,,none,0,f1,↑,0.5729,±,
afrisenti_arq_prompt_4,1.0,none,0,acc,↑,0.5647,±,0.016
afrisenti_arq_prompt_4,,none,0,f1,↑,0.5805,±,
afrisenti_arq_prompt_5,1.0,none,0,acc,↑,0.5793,±,0.016
afrisenti_arq_prompt_5,,none,0,f1,↑,0.5724,±,
afrisenti_ary_prompt_1,1.0,none,0,acc,↑,0.3864,±,0.0089
afrisenti_ary_prompt_1,,none,0,f1,↑,0.2153,±,
afrisenti_ary_prompt_2,1.0,none,0,acc,↑,0.3864,±,0.0089
afrisenti_ary_prompt_2,,none,0,f1,↑,0.2153,±,
afrisenti_ary_prompt_3,1.0,none,0,acc,↑,0.4789,±,0.0092
afrisenti_ary_prompt_3,,none,0,f1,↑,0.4833,±,
afrisenti_ary_prompt_4,1.0,none,0,acc,↑,0.4917,±,0.0092
afrisenti_ary_prompt_4,,none,0,f1,↑,0.4953,±,
afrisenti_ary_prompt_5,1.0,none,0,acc,↑,0.5046,±,0.0092
afrisenti_ary_prompt_5,,none,0,f1,↑,0.4644,±,
afrisenti_hau_prompt_1,1.0,none,0,acc,↑,0.3309,±,0.0065
afrisenti_hau_prompt_1,,none,0,f1,↑,0.1646,±,
afrisenti_hau_prompt_2,1.0,none,0,acc,↑,0.3309,±,0.0065
afrisenti_hau_prompt_2,,none,0,f1,↑,0.1646,±,
afrisenti_hau_prompt_3,1.0,none,0,acc,↑,0.4971,±,0.0069
afrisenti_hau_prompt_3,,none,0,f1,↑,0.4937,±,
afrisenti_hau_prompt_4,1.0,none,0,acc,↑,0.4782,±,0.0069
afrisenti_hau_prompt_4,,none,0,f1,↑,0.4796,±,
afrisenti_hau_prompt_5,1.0,none,0,acc,↑,0.4926,±,0.0069
afrisenti_hau_prompt_5,,none,0,f1,↑,0.4291,±,
afrisenti_ibo_prompt_1,1.0,none,0,acc,↑,0.3036,±,0.0076
afrisenti_ibo_prompt_1,,none,0,f1,↑,0.1414,±,
afrisenti_ibo_prompt_2,1.0,none,0,acc,↑,0.3036,±,0.0076
afrisenti_ibo_prompt_2,,none,0,f1,↑,0.1414,±,
afrisenti_ibo_prompt_3,1.0,none,0,acc,↑,0.4571,±,0.0082
afrisenti_ibo_prompt_3,,none,0,f1,↑,0.4444,±,
afrisenti_ibo_prompt_4,1.0,none,0,acc,↑,0.4674,±,0.0082
afrisenti_ibo_prompt_4,,none,0,f1,↑,0.4667,±,
afrisenti_ibo_prompt_5,1.0,none,0,acc,↑,0.38,±,0.008
afrisenti_ibo_prompt_5,,none,0,f1,↑,0.2803,±,
afrisenti_kin_prompt_1,1.0,none,0,acc,↑,0.271,±,0.0139
afrisenti_kin_prompt_1,,none,0,f1,↑,0.1155,±,
afrisenti_kin_prompt_2,1.0,none,0,acc,↑,0.271,±,0.0139
afrisenti_kin_prompt_2,,none,0,f1,↑,0.1155,±,
afrisenti_kin_prompt_3,1.0,none,0,acc,↑,0.4552,±,0.0156
afrisenti_kin_prompt_3,,none,0,f1,↑,0.3978,±,
afrisenti_kin_prompt_4,1.0,none,0,acc,↑,0.4522,±,0.0155
afrisenti_kin_prompt_4,,none,0,f1,↑,0.4419,±,
afrisenti_kin_prompt_5,1.0,none,0,acc,↑,0.3743,±,0.0151
afrisenti_kin_prompt_5,,none,0,f1,↑,0.3153,±,
afrisenti_orm_prompt_1,1.0,none,0,acc,↑,0.2204,±,0.0091
afrisenti_orm_prompt_1,,none,0,f1,↑,0.0796,±,
afrisenti_orm_prompt_2,1.0,none,0,acc,↑,0.2209,±,0.0091
afrisenti_orm_prompt_2,,none,0,f1,↑,0.0807,±,
afrisenti_orm_prompt_3,1.0,none,0,acc,↑,0.4156,±,0.0108
afrisenti_orm_prompt_3,,none,0,f1,↑,0.3693,±,
afrisenti_orm_prompt_4,1.0,none,0,acc,↑,0.3416,±,0.0104
afrisenti_orm_prompt_4,,none,0,f1,↑,0.3374,±,
afrisenti_orm_prompt_5,1.0,none,0,acc,↑,0.2772,±,0.0098
afrisenti_orm_prompt_5,,none,0,f1,↑,0.2144,±,
afrisenti_pcm_prompt_1,1.0,none,0,acc,↑,0.3363,±,0.0073
afrisenti_pcm_prompt_1,,none,0,f1,↑,0.1693,±,
afrisenti_pcm_prompt_2,1.0,none,0,acc,↑,0.3377,±,0.0073
afrisenti_pcm_prompt_2,,none,0,f1,↑,0.1761,±,
afrisenti_pcm_prompt_3,1.0,none,0,acc,↑,0.709,±,0.007
afrisenti_pcm_prompt_3,,none,0,f1,↑,0.7084,±,
afrisenti_pcm_prompt_4,1.0,none,0,acc,↑,0.5831,±,0.0077
afrisenti_pcm_prompt_4,,none,0,f1,↑,0.5955,±,
afrisenti_pcm_prompt_5,1.0,none,0,acc,↑,0.6772,±,0.0073
afrisenti_pcm_prompt_5,,none,0,f1,↑,0.684,±,
afrisenti_por_prompt_1,1.0,none,0,acc,↑,0.1715,±,0.0062
afrisenti_por_prompt_1,,none,0,f1,↑,0.0502,±,
afrisenti_por_prompt_2,1.0,none,0,acc,↑,0.1715,±,0.0062
afrisenti_por_prompt_2,,none,0,f1,↑,0.0502,±,
