|           Tasks            |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|----------------------------|------:|------|-----:|------|---|-----:|---|------|
|afrimmlu_direct_amh_prompt_1|      1|none  |     0|acc   |↑  |0.2100|±  |0.0182|
|                            |       |none  |     0|f1    |↑  |0.2060|±  |   N/A|
|afrimmlu_direct_amh_prompt_2|      1|none  |     0|acc   |↑  |0.1920|±  |0.0176|
|                            |       |none  |     0|f1    |↑  |0.1859|±  |   N/A|
|afrimmlu_direct_amh_prompt_3|      1|none  |     0|acc   |↑  |0.1780|±  |0.0171|
|                            |       |none  |     0|f1    |↑  |0.1715|±  |   N/A|
|afrimmlu_direct_amh_prompt_4|      1|none  |     0|acc   |↑  |0.1980|±  |0.0178|
|                            |       |none  |     0|f1    |↑  |0.1966|±  |   N/A|
|afrimmlu_direct_amh_prompt_5|      1|none  |     0|acc   |↑  |0.1920|±  |0.0176|
|                            |       |none  |     0|f1    |↑  |0.1865|±  |   N/A|
|afrimmlu_direct_eng_prompt_1|      1|none  |     0|acc   |↑  |0.2840|±  |0.0202|
|                            |       |none  |     0|f1    |↑  |0.2783|±  |   N/A|
|afrimmlu_direct_eng_prompt_2|      1|none  |     0|acc   |↑  |0.3040|±  |0.0206|
|                            |       |none  |     0|f1    |↑  |0.2957|±  |   N/A|
|afrimmlu_direct_eng_prompt_3|      1|none  |     0|acc   |↑  |0.2900|±  |0.0203|
|                            |       |none  |     0|f1    |↑  |0.2826|±  |   N/A|
|afrimmlu_direct_eng_prompt_4|      1|none  |     0|acc   |↑  |0.2820|±  |0.0201|
|                            |       |none  |     0|f1    |↑  |0.2801|±  |   N/A|
|afrimmlu_direct_eng_prompt_5|      1|none  |     0|acc   |↑  |0.2940|±  |0.0204|
|                            |       |none  |     0|f1    |↑  |0.2913|±  |   N/A|
|afrimmlu_direct_ewe_prompt_1|      1|none  |     0|acc   |↑  |0.2680|±  |0.0198|
|                            |       |none  |     0|f1    |↑  |0.2587|±  |   N/A|
|afrimmlu_direct_ewe_prompt_2|      1|none  |     0|acc   |↑  |0.2520|±  |0.0194|
|                            |       |none  |     0|f1    |↑  |0.2436|±  |   N/A|
|afrimmlu_direct_ewe_prompt_3|      1|none  |     0|acc   |↑  |0.2760|±  |0.0200|
|                            |       |none  |     0|f1    |↑  |0.2670|±  |   N/A|
|afrimmlu_direct_ewe_prompt_4|      1|none  |     0|acc   |↑  |0.2400|±  |0.0191|
|                            |       |none  |     0|f1    |↑  |0.2374|±  |   N/A|
|afrimmlu_direct_ewe_prompt_5|      1|none  |     0|acc   |↑  |0.2740|±  |0.0200|
|                            |       |none  |     0|f1    |↑  |0.2686|±  |   N/A|
