Tasks,Metric,Value,Stderr
afrixnli_translate_amh_prompt_1,acc,0.3333,0.0193
afrixnli_translate_amh_prompt_1,f1,0.1667,
afrixnli_translate_amh_prompt_2,acc,0.4117,0.0201
afrixnli_translate_amh_prompt_2,f1,0.3969,
afrixnli_translate_amh_prompt_3,acc,0.3150,0.0190
afrixnli_translate_amh_prompt_3,f1,0.2573,
afrixnli_translate_amh_prompt_4,acc,0.3450,0.0194
afrixnli_translate_amh_prompt_4,f1,0.2833,
afrixnli_translate_amh_prompt_5,acc,0.3517,0.0195
afrixnli_translate_amh_prompt_5,f1,0.2804,
afrixnli_translate_ewe_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ewe_prompt_1,f1,0.1667,
afrixnli_translate_ewe_prompt_2,acc,0.3933,0.0200
afrixnli_translate_ewe_prompt_2,f1,0.3534,
afrixnli_translate_ewe_prompt_3,acc,0.3250,0.0191
afrixnli_translate_ewe_prompt_3,f1,0.2568,
afrixnli_translate_ewe_prompt_4,acc,0.3167,0.0190
afrixnli_translate_ewe_prompt_4,f1,0.2615,
afrixnli_translate_ewe_prompt_5,acc,0.3617,0.0196
afrixnli_translate_ewe_prompt_5,f1,0.3011,
afrixnli_translate_fra_prompt_1,acc,0.3333,0.0193
afrixnli_translate_fra_prompt_1,f1,0.1667,
afrixnli_translate_fra_prompt_2,acc,0.4417,0.0203
afrixnli_translate_fra_prompt_2,f1,0.4215,
afrixnli_translate_fra_prompt_3,acc,0.3350,0.0193
afrixnli_translate_fra_prompt_3,f1,0.1817,
afrixnli_translate_fra_prompt_4,acc,0.3400,0.0194
afrixnli_translate_fra_prompt_4,f1,0.1982,
afrixnli_translate_fra_prompt_5,acc,0.3817,0.0198
afrixnli_translate_fra_prompt_5,f1,0.2814,
afrixnli_translate_hau_prompt_1,acc,0.3333,0.0193
afrixnli_translate_hau_prompt_1,f1,0.1667,
afrixnli_translate_hau_prompt_2,acc,0.4200,0.0202
afrixnli_translate_hau_prompt_2,f1,0.3864,
afrixnli_translate_hau_prompt_3,acc,0.3367,0.0193
afrixnli_translate_hau_prompt_3,f1,0.1832,
afrixnli_translate_hau_prompt_4,acc,0.3417,0.0194
afrixnli_translate_hau_prompt_4,f1,0.1910,
afrixnli_translate_hau_prompt_5,acc,0.3717,0.0197
afrixnli_translate_hau_prompt_5,f1,0.2787,
afrixnli_translate_ibo_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ibo_prompt_1,f1,0.1667,
afrixnli_translate_ibo_prompt_2,acc,0.4233,0.0202
afrixnli_translate_ibo_prompt_2,f1,0.3961,
afrixnli_translate_ibo_prompt_3,acc,0.3367,0.0193
afrixnli_translate_ibo_prompt_3,f1,0.1853,
afrixnli_translate_ibo_prompt_4,acc,0.3333,0.0193
afrixnli_translate_ibo_prompt_4,f1,0.1869,
afrixnli_translate_ibo_prompt_5,acc,0.3600,0.0196
afrixnli_translate_ibo_prompt_5,f1,0.2677,
afrixnli_translate_kin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_kin_prompt_1,f1,0.1667,
afrixnli_translate_kin_prompt_2,acc,0.3933,0.0200
afrixnli_translate_kin_prompt_2,f1,0.3622,
afrixnli_translate_kin_prompt_3,acc,0.3250,0.0191
afrixnli_translate_kin_prompt_3,f1,0.3207,
afrixnli_translate_kin_prompt_4,acc,0.3350,0.0193
afrixnli_translate_kin_prompt_4,f1,0.3285,
afrixnli_translate_kin_prompt_5,acc,0.3300,0.0192
afrixnli_translate_kin_prompt_5,f1,0.2651,
afrixnli_translate_lin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lin_prompt_1,f1,0.1667,
afrixnli_translate_lin_prompt_2,acc,0.3300,0.0192
afrixnli_translate_lin_prompt_2,f1,0.2656,
afrixnli_translate_lin_prompt_3,acc,0.3383,0.0193
afrixnli_translate_lin_prompt_3,f1,0.3089,
afrixnli_translate_lin_prompt_4,acc,0.3500,0.0195
afrixnli_translate_lin_prompt_4,f1,0.3223,
afrixnli_translate_lin_prompt_5,acc,0.3250,0.0191
afrixnli_translate_lin_prompt_5,f1,0.2631,
afrixnli_translate_lug_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lug_prompt_1,f1,0.1667,
afrixnli_translate_lug_prompt_2,acc,0.4383,0.0203
afrixnli_translate_lug_prompt_2,f1,0.4100,
afrixnli_translate_lug_prompt_3,acc,0.3333,0.0193
afrixnli_translate_lug_prompt_3,f1,0.1734,
afrixnli_translate_lug_prompt_4,acc,0.3383,0.0193
afrixnli_translate_lug_prompt_4,f1,0.1894,
afrixnli_translate_lug_prompt_5,acc,0.3667,0.0197
afrixnli_translate_lug_prompt_5,f1,0.2750,
afrixnli_translate_orm_prompt_1,acc,0.3333,0.0193
afrixnli_translate_orm_prompt_1,f1,0.1667,
afrixnli_translate_orm_prompt_2,acc,0.4133,0.0201
afrixnli_translate_orm_prompt_2,f1,0.3969,
afrixnli_translate_orm_prompt_3,acc,0.3333,0.0193
afrixnli_translate_orm_prompt_3,f1,0.1701,
afrixnli_translate_orm_prompt_4,acc,0.3383,0.0193
afrixnli_translate_orm_prompt_4,f1,0.1864,
afrixnli_translate_orm_prompt_5,acc,0.3600,0.0196
afrixnli_translate_orm_prompt_5,f1,0.2736,
afrixnli_translate_sna_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sna_prompt_1,f1,0.1667,
afrixnli_translate_sna_prompt_2,acc,0.4317,0.0202
afrixnli_translate_sna_prompt_2,f1,0.4070,
afrixnli_translate_sna_prompt_3,acc,0.3350,0.0193
afrixnli_translate_sna_prompt_3,f1,0.2008,
afrixnli_translate_sna_prompt_4,acc,0.3367,0.0193
afrixnli_translate_sna_prompt_4,f1,0.2095,
afrixnli_translate_sna_prompt_5,acc,0.3683,0.0197
afrixnli_translate_sna_prompt_5,f1,0.2724,
afrixnli_translate_sot_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sot_prompt_1,f1,0.1667,
afrixnli_translate_sot_prompt_2,acc,0.4067,0.0201
afrixnli_translate_sot_prompt_2,f1,0.3777,
afrixnli_translate_sot_prompt_3,acc,0.3333,0.0193
afrixnli_translate_sot_prompt_3,f1,0.1755,
afrixnli_translate_sot_prompt_4,acc,0.3367,0.0193
afrixnli_translate_sot_prompt_4,f1,0.1856,
afrixnli_translate_sot_prompt_5,acc,0.3633,0.0197
afrixnli_translate_sot_prompt_5,f1,0.2675,
afrixnli_translate_swa_prompt_1,acc,0.3333,0.0193
afrixnli_translate_swa_prompt_1,f1,0.1667,
afrixnli_translate_swa_prompt_2,acc,0.4400,0.0203
afrixnli_translate_swa_prompt_2,f1,0.4152,
afrixnli_translate_swa_prompt_3,acc,0.3400,0.0194
afrixnli_translate_swa_prompt_3,f1,0.2030,
afrixnli_translate_swa_prompt_4,acc,0.3333,0.0193
afrixnli_translate_swa_prompt_4,f1,0.1954,
afrixnli_translate_swa_prompt_5,acc,0.3583,0.0196
afrixnli_translate_swa_prompt_5,f1,0.2735,
afrixnli_translate_twi_prompt_1,acc,0.3333,0.0193
afrixnli_translate_twi_prompt_1,f1,0.1667,
afrixnli_translate_twi_prompt_2,acc,0.3967,0.0200
afrixnli_translate_twi_prompt_2,f1,0.3719,
afrixnli_translate_twi_prompt_3,acc,0.3283,0.0192
afrixnli_translate_twi_prompt_3,f1,0.2618,
afrixnli_translate_twi_prompt_4,acc,0.3133,0.0190
afrixnli_translate_twi_prompt_4,f1,0.2506,
afrixnli_translate_twi_prompt_5,acc,0.3633,0.0197
afrixnli_translate_twi_prompt_5,f1,0.2911,
afrixnli_translate_wol_prompt_1,acc,0.3333,0.0193
afrixnli_translate_wol_prompt_1,f1,0.1667,
afrixnli_translate_wol_prompt_2,acc,0.3700,0.0197
afrixnli_translate_wol_prompt_2,f1,0.3173,
afrixnli_translate_wol_prompt_3,acc,0.3083,0.0189
afrixnli_translate_wol_prompt_3,f1,0.2991,
afrixnli_translate_wol_prompt_4,acc,0.3050,0.0188
afrixnli_translate_wol_prompt_4,f1,0.2984,
afrixnli_translate_wol_prompt_5,acc,0.3467,0.0194
afrixnli_translate_wol_prompt_5,f1,0.2947,
afrixnli_translate_xho_prompt_1,acc,0.3333,0.0193
afrixnli_translate_xho_prompt_1,f1,0.1667,
afrixnli_translate_xho_prompt_2,acc,0.4283,0.0202
afrixnli_translate_xho_prompt_2,f1,0.4117,
afrixnli_translate_xho_prompt_3,acc,0.3300,0.0192
afrixnli_translate_xho_prompt_3,f1,0.2422,
afrixnli_translate_xho_prompt_4,acc,0.3467,0.0194
afrixnli_translate_xho_prompt_4,f1,0.2615,
afrixnli_translate_xho_prompt_5,acc,0.3650,0.0197
afrixnli_translate_xho_prompt_5,f1,0.2805,
afrixnli_translate_yor_prompt_1,acc,0.3333,0.0193
afrixnli_translate_yor_prompt_1,f1,0.1667,
afrixnli_translate_yor_prompt_2,acc,0.4017,0.0200
afrixnli_translate_yor_prompt_2,f1,0.3715,
afrixnli_translate_yor_prompt_3,acc,0.3350,0.0193
afrixnli_translate_yor_prompt_3,f1,0.1759,
afrixnli_translate_yor_prompt_4,acc,0.3417,0.0194
afrixnli_translate_yor_prompt_4,f1,0.1925,
afrixnli_translate_yor_prompt_5,acc,0.3750,0.0198
afrixnli_translate_yor_prompt_5,f1,0.2869,
afrixnli_translate_zul_prompt_1,acc,0.3333,0.0193
afrixnli_translate_zul_prompt_1,f1,0.1667,
afrixnli_translate_zul_prompt_2,acc,0.4283,0.0202
afrixnli_translate_zul_prompt_2,f1,0.4032,
afrixnli_translate_zul_prompt_3,acc,0.3283,0.0192
afrixnli_translate_zul_prompt_3,f1,0.2587,
afrixnli_translate_zul_prompt_4,acc,0.3450,0.0194
afrixnli_translate_zul_prompt_4,f1,0.2895,
afrixnli_translate_zul_prompt_5,acc,0.3550,0.0196
afrixnli_translate_zul_prompt_5,f1,0.2676,
