             Tasks             |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|-------------------------------|------:|------|-----:|------|---|-----:|---|------|
|afrixnli_translate_amh_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_amh_prompt_2|      1|none  |     0|acc   |↑  |0.4117|±  |0.0201|
|                               |       |none  |     0|f1    |↑  |0.3969|±  |   N/A|
|afrixnli_translate_amh_prompt_3|      1|none  |     0|acc   |↑  |0.3150|±  |0.0190|
|                               |       |none  |     0|f1    |↑  |0.2573|±  |   N/A|
|afrixnli_translate_amh_prompt_4|      1|none  |     0|acc   |↑  |0.3450|±  |0.0194|
|                               |       |none  |     0|f1    |↑  |0.2833|±  |   N/A|
|afrixnli_translate_amh_prompt_5|      1|none  |     0|acc   |↑  |0.3517|±  |0.0195|
|                               |       |none  |     0|f1    |↑  |0.2804|±  |   N/A|
|afrixnli_translate_ewe_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_ewe_prompt_2|      1|none  |     0|acc   |↑  |0.3933|±  |0.0200|
|                               |       |none  |     0|f1    |↑  |0.3534|±  |   N/A|
|afrixnli_translate_ewe_prompt_3|      1|none  |     0|acc   |↑  |0.3250|±  |0.0191|
|                               |       |none  |     0|f1    |↑  |0.2568|±  |   N/A|
|afrixnli_translate_ewe_prompt_4|      1|none  |     0|acc   |↑  |0.3167|±  |0.0190|
|                               |       |none  |     0|f1    |↑  |0.2615|±  |   N/A|
|afrixnli_translate_ewe_prompt_5|      1|none  |     0|acc   |↑  |0.3617|±  |0.0196|
|                               |       |none  |     0|f1    |↑  |0.3011|±  |   N/A|
|afrixnli_translate_fra_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_fra_prompt_2|      1|none  |     0|acc   |↑  |0.4417|±  |0.0203|
|                               |       |none  |     0|f1    |↑  |0.4215|±  |   N/A|
|afrixnli_translate_fra_prompt_3|      1|none  |     0|acc   |↑  |0.3350|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1817|±  |   N/A|
|afrixnli_translate_fra_prompt_4|      1|none  |     0|acc   |↑  |0.3400|±  |0.0194|
|                               |       |none  |     0|f1    |↑  |0.1982|±  |   N/A|
|afrixnli_translate_fra_prompt_5|      1|none  |     0|acc   |↑  |0.3817|±  |0.0198|
|                               |       |none  |     0|f1    |↑  |0.2814|±  |   N/A|
|afrixnli_translate_hau_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_hau_prompt_2|      1|none  |     0|acc   |↑  |0.4200|±  |0.0202|
|                               |       |none  |     0|f1    |↑  |0.3864|±  |   N/A|
|afrixnli_translate_hau_prompt_3|      1|none  |     0|acc   |↑  |0.3367|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1832|±  |   N/A|
|afrixnli_translate_hau_prompt_4|      1|none  |     0|acc   |↑  |0.3417|±  |0.0194|
|                               |       |none  |     0|f1    |↑  |0.1910|±  |   N/A|
|afrixnli_translate_hau_prompt_5|      1|none  |     0|acc   |↑  |0.3717|±  |0.0197|
|                               |       |none  |     0|f1    |↑  |0.2787|±  |   N/A|
|afrixnli_translate_ibo_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_ibo_prompt_2|      1|none  |     0|acc   |↑  |0.4233|±  |0.0202|
|                               |       |none  |     0|f1    |↑  |0.3961|±  |   N/A|
|afrixnli_translate_ibo_prompt_3|      1|none  |     0|acc   |↑  |0.3367|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1853|±  |   N/A|
|afrixnli_translate_ibo_prompt_4|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1869|±  |   N/A|
|afrixnli_translate_ibo_prompt_5|      1|none  |     0|acc   |↑  |0.3600|±  |0.0196|
|                               |       |none  |     0|f1    |↑  |0.2677|±  |   N/A|
|afrixnli_translate_kin_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_kin_prompt_2|      1|none  |     0|acc   |↑  |0.3933|±  |0.0200|
|                               |       |none  |     0|f1    |↑  |0.3622|±  |   N/A|
|afrixnli_translate_kin_prompt_3|      1|none  |     0|acc   |↑  |0.3250|±  |0.0191|
|                               |       |none  |     0|f1    |↑  |0.3207|±  |   N/A|
|afrixnli_translate_kin_prompt_4|      1|none  |     0|acc   |↑  |0.3350|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.3285|±  |   N/A|
|afrixnli_translate_kin_prompt_5|      1|none  |     0|acc   |↑  |0.3300|±  |0.0192|
|                               |       |none  |     0|f1    |↑  |0.2651|±  |   N/A|
|afrixnli_translate_lin_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_lin_prompt_2|      1|none  |     0|acc   |↑  |0.3300|±  |0.0192|
|                               |       |none  |     0|f1    |↑  |0.2656|±  |   N/A|
|afrixnli_translate_lin_prompt_3|      1|none  |     0|acc   |↑  |0.3383|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.3089|±  |   N/A|
|afrixnli_translate_lin_prompt_4|      1|none  |     0|acc   |↑  |0.3500|±  |0.0195|
|                               |       |none  |     0|f1    |↑  |0.3223|±  |   N/A|
|afrixnli_translate_lin_prompt_5|      1|none  |     0|acc   |↑  |0.3250|±  |0.0191|
|                               |       |none  |     0|f1    |↑  |0.2631|±  |   N/A|
|afrixnli_translate_lug_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_lug_prompt_2|      1|none  |     0|acc   |↑  |0.4383|±  |0.0203|
|                               |       |none  |     0|f1    |↑  |0.4100|±  |   N/A|
|afrixnli_translate_lug_prompt_3|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1734|±  |   N/A|
|afrixnli_translate_lug_prompt_4|      1|none  |     0|acc   |↑  |0.3383|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1894|±  |   N/A|
|afrixnli_translate_lug_prompt_5|      1|none  |     0|acc   |↑  |0.3667|±  |0.0197|
|                               |       |none  |     0|f1    |↑  |0.2750|±  |   N/A|
|afrixnli_translate_orm_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_orm_prompt_2|      1|none  |     0|acc   |↑  |0.4133|±  |0.0201|
|                               |       |none  |     0|f1    |↑  |0.3969|±  |   N/A|
|afrixnli_translate_orm_prompt_3|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1701|±  |   N/A|
|afrixnli_translate_orm_prompt_4|      1|none  |     0|acc   |↑  |0.3383|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1864|±  |   N/A|
|afrixnli_translate_orm_prompt_5|      1|none  |     0|acc   |↑  |0.3600|±  |0.0196|
|                               |       |none  |     0|f1    |↑  |0.2736|±  |   N/A|
|afrixnli_translate_sna_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_sna_prompt_2|      1|none  |     0|acc   |↑  |0.4317|±  |0.0202|
|                               |       |none  |     0|f1    |↑  |0.4070|±  |   N/A|
|afrixnli_translate_sna_prompt_3|      1|none  |     0|acc   |↑  |0.3350|±  |0.0193|
