           Tasks            |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|----------------------------|------:|------|-----:|------|---|-----:|---|------|
|afrimmlu_direct_amh_prompt_1|      1|none  |     0|acc   |↑  |0.2520|±  |0.0194|
|                            |       |none  |     0|f1    |↑  |0.2456|±  |   N/A|
|afrimmlu_direct_amh_prompt_2|      1|none  |     0|acc   |↑  |0.2240|±  |0.0187|
|                            |       |none  |     0|f1    |↑  |0.2164|±  |   N/A|
|afrimmlu_direct_amh_prompt_3|      1|none  |     0|acc   |↑  |0.2360|±  |0.0190|
|                            |       |none  |     0|f1    |↑  |0.2286|±  |   N/A|
|afrimmlu_direct_amh_prompt_4|      1|none  |     0|acc   |↑  |0.2400|±  |0.0191|
|                            |       |none  |     0|f1    |↑  |0.2315|±  |   N/A|
|afrimmlu_direct_amh_prompt_5|      1|none  |     0|acc   |↑  |0.2340|±  |0.0190|
|                            |       |none  |     0|f1    |↑  |0.2266|±  |   N/A|
|afrimmlu_direct_eng_prompt_1|      1|none  |     0|acc   |↑  |0.4540|±  |0.0223|
|                            |       |none  |     0|f1    |↑  |0.4524|±  |   N/A|
|afrimmlu_direct_eng_prompt_2|      1|none  |     0|acc   |↑  |0.3380|±  |0.0212|
|                            |       |none  |     0|f1    |↑  |0.3330|±  |   N/A|
|afrimmlu_direct_eng_prompt_3|      1|none  |     0|acc   |↑  |0.3580|±  |0.0215|
|                            |       |none  |     0|f1    |↑  |0.3543|±  |   N/A|
|afrimmlu_direct_eng_prompt_4|      1|none  |     0|acc   |↑  |0.3640|±  |0.0215|
|                            |       |none  |     0|f1    |↑  |0.3636|±  |   N/A|
|afrimmlu_direct_eng_prompt_5|      1|none  |     0|acc   |↑  |0.3520|±  |0.0214|
|                            |       |none  |     0|f1    |↑  |0.3509|±  |   N/A|
|afrimmlu_direct_ewe_prompt_1|      1|none  |     0|acc   |↑  |0.2260|±  |0.0187|
|                            |       |none  |     0|f1    |↑  |0.2210|±  |   N/A|
|afrimmlu_direct_ewe_prompt_2|      1|none  |     0|acc   |↑  |0.2280|±  |0.0188|
|                            |       |none  |     0|f1    |↑  |0.2207|±  |   N/A|
|afrimmlu_direct_ewe_prompt_3|      1|none  |     0|acc   |↑  |0.2240|±  |0.0187|
|                            |       |none  |     0|f1    |↑  |0.2188|±  |   N/A|
|afrimmlu_direct_ewe_prompt_4|      1|none  |     0|acc   |↑  |0.2080|±  |0.0182|
|                            |       |none  |     0|f1    |↑  |0.1995|±  |   N/A|
|afrimmlu_direct_ewe_prompt_5|      1|none  |     0|acc   |↑  |0.2300|±  |0.0188|
|                            |       |none  |     0|f1    |↑  |0.2258|±  |   N/A|
|afrimmlu_direct_fra_prompt_1|      1|none  |     0|acc   |↑  |0.3580|±  |0.0215|
|                            |       |none  |     0|f1    |↑  |0.3596|±  |   N/A|
|afrimmlu_direct_fra_prompt_2|      1|none  |     0|acc   |↑  |0.3060|±  |0.0206|
|                            |       |none  |     0|f1    |↑  |0.3045|±  |   N/A|
|afrimmlu_direct_fra_prompt_3|      1|none  |     0|acc   |↑  |0.2980|±  |0.0205|
|                            |       |none  |     0|f1    |↑  |0.2972|±  |   N/A|
|afrimmlu_direct_fra_prompt_4|      1|none  |     0|acc   |↑  |0.3200|±  |0.0209|
|                            |       |none  |     0|f1    |↑  |0.3190|±  |   N/A|
|afrimmlu_direct_fra_prompt_5|      1|none  |     0|acc   |↑  |0.3200|±  |0.0209|
|                            |       |none  |     0|f1    |↑  |0.3182|±  |   N/A|
|afrimmlu_direct_hau_prompt_1|      1|none  |     0|acc   |↑  |0.2260|±  |0.0187|
|                            |       |none  |     0|f1    |↑  |0.2245|±  |   N/A|
