Tasks,Metric,Value,Stderr
afrimmlu_direct_amh_prompt_1,acc,0.2520,0.0194
afrimmlu_direct_amh_prompt_1,f1,0.2456,
afrimmlu_direct_amh_prompt_2,acc,0.2240,0.0187
afrimmlu_direct_amh_prompt_2,f1,0.2164,
afrimmlu_direct_amh_prompt_3,acc,0.2360,0.0190
afrimmlu_direct_amh_prompt_3,f1,0.2286,
afrimmlu_direct_amh_prompt_4,acc,0.2400,0.0191
afrimmlu_direct_amh_prompt_4,f1,0.2315,
afrimmlu_direct_amh_prompt_5,acc,0.2340,0.0190
afrimmlu_direct_amh_prompt_5,f1,0.2266,
afrimmlu_direct_eng_prompt_1,acc,0.4540,0.0223
afrimmlu_direct_eng_prompt_1,f1,0.4524,
afrimmlu_direct_eng_prompt_2,acc,0.3380,0.0212
afrimmlu_direct_eng_prompt_2,f1,0.3330,
afrimmlu_direct_eng_prompt_3,acc,0.3580,0.0215
afrimmlu_direct_eng_prompt_3,f1,0.3543,
afrimmlu_direct_eng_prompt_4,acc,0.3640,0.0215
afrimmlu_direct_eng_prompt_4,f1,0.3636,
afrimmlu_direct_eng_prompt_5,acc,0.3520,0.0214
afrimmlu_direct_eng_prompt_5,f1,0.3509,
afrimmlu_direct_ewe_prompt_1,acc,0.2260,0.0187
afrimmlu_direct_ewe_prompt_1,f1,0.2210,
afrimmlu_direct_ewe_prompt_2,acc,0.2280,0.0188
afrimmlu_direct_ewe_prompt_2,f1,0.2207,
afrimmlu_direct_ewe_prompt_3,acc,0.2240,0.0187
afrimmlu_direct_ewe_prompt_3,f1,0.2188,
afrimmlu_direct_ewe_prompt_4,acc,0.2080,0.0182
afrimmlu_direct_ewe_prompt_4,f1,0.1995,
afrimmlu_direct_ewe_prompt_5,acc,0.2300,0.0188
afrimmlu_direct_ewe_prompt_5,f1,0.2258,
afrimmlu_direct_fra_prompt_1,acc,0.3580,0.0215
afrimmlu_direct_fra_prompt_1,f1,0.3596,
afrimmlu_direct_fra_prompt_2,acc,0.3060,0.0206
afrimmlu_direct_fra_prompt_2,f1,0.3045,
afrimmlu_direct_fra_prompt_3,acc,0.2980,0.0205
afrimmlu_direct_fra_prompt_3,f1,0.2972,
afrimmlu_direct_fra_prompt_4,acc,0.3200,0.0209
afrimmlu_direct_fra_prompt_4,f1,0.3190,
afrimmlu_direct_fra_prompt_5,acc,0.3200,0.0209
afrimmlu_direct_fra_prompt_5,f1,0.3182,
afrimmlu_direct_hau_prompt_1,acc,0.2260,0.0187
afrimmlu_direct_hau_prompt_1,f1,0.2245,
afrimmlu_direct_hau_prompt_2,acc,0.2360,0.0190
afrimmlu_direct_hau_prompt_2,f1,0.2268,
afrimmlu_direct_hau_prompt_3,acc,0.2140,0.0184
afrimmlu_direct_hau_prompt_3,f1,0.2058,
afrimmlu_direct_hau_prompt_4,acc,0.2140,0.0184
afrimmlu_direct_hau_prompt_4,f1,0.2077,
afrimmlu_direct_hau_prompt_5,acc,0.2340,0.0190
afrimmlu_direct_hau_prompt_5,f1,0.2279,
afrimmlu_direct_ibo_prompt_1,acc,0.2360,0.0190
afrimmlu_direct_ibo_prompt_1,f1,0.2311,
afrimmlu_direct_ibo_prompt_2,acc,0.2080,0.0182
afrimmlu_direct_ibo_prompt_2,f1,0.2012,
afrimmlu_direct_ibo_prompt_3,acc,0.2320,0.0189
afrimmlu_direct_ibo_prompt_3,f1,0.2258,
afrimmlu_direct_ibo_prompt_4,acc,0.2400,0.0191
afrimmlu_direct_ibo_prompt_4,f1,0.2361,
afrimmlu_direct_ibo_prompt_5,acc,0.2340,0.0190
afrimmlu_direct_ibo_prompt_5,f1,0.2317,
afrimmlu_direct_kin_prompt_1,acc,0.2480,0.0193
afrimmlu_direct_kin_prompt_1,f1,0.2403,
afrimmlu_direct_kin_prompt_2,acc,0.2380,0.0191
afrimmlu_direct_kin_prompt_2,f1,0.2267,
afrimmlu_direct_kin_prompt_3,acc,0.2120,0.0183
afrimmlu_direct_kin_prompt_3,f1,0.2047,
afrimmlu_direct_kin_prompt_4,acc,0.2260,0.0187
afrimmlu_direct_kin_prompt_4,f1,0.2167,
afrimmlu_direct_kin_prompt_5,acc,0.2240,0.0187
afrimmlu_direct_kin_prompt_5,f1,0.2158,
afrimmlu_direct_lin_prompt_1,acc,0.2480,0.0193
afrimmlu_direct_lin_prompt_1,f1,0.2464,
afrimmlu_direct_lin_prompt_2,acc,0.2340,0.0190
afrimmlu_direct_lin_prompt_2,f1,0.2290,
afrimmlu_direct_lin_prompt_3,acc,0.2360,0.0190
afrimmlu_direct_lin_prompt_3,f1,0.2301,
afrimmlu_direct_lin_prompt_4,acc,0.2220,0.0186
afrimmlu_direct_lin_prompt_4,f1,0.2189,
afrimmlu_direct_lin_prompt_5,acc,0.2280,0.0188
afrimmlu_direct_lin_prompt_5,f1,0.2235,
afrimmlu_direct_lug_prompt_1,acc,0.2500,0.0194
afrimmlu_direct_lug_prompt_1,f1,0.2445,
afrimmlu_direct_lug_prompt_2,acc,0.2280,0.0188
afrimmlu_direct_lug_prompt_2,f1,0.2202,
afrimmlu_direct_lug_prompt_3,acc,0.2500,0.0194
afrimmlu_direct_lug_prompt_3,f1,0.2417,
afrimmlu_direct_lug_prompt_4,acc,0.2540,0.0195
afrimmlu_direct_lug_prompt_4,f1,0.2508,
afrimmlu_direct_lug_prompt_5,acc,0.2400,0.0191
afrimmlu_direct_lug_prompt_5,f1,0.2359,
afrimmlu_direct_orm_prompt_1,acc,0.2500,0.0194
afrimmlu_direct_orm_prompt_1,f1,0.2442,
afrimmlu_direct_orm_prompt_2,acc,0.2460,0.0193
afrimmlu_direct_orm_prompt_2,f1,0.2426,
afrimmlu_direct_orm_prompt_3,acc,0.2540,0.0195
afrimmlu_direct_orm_prompt_3,f1,0.2526,
afrimmlu_direct_orm_prompt_4,acc,0.2380,0.0191
afrimmlu_direct_orm_prompt_4,f1,0.2367,
afrimmlu_direct_orm_prompt_5,acc,0.2480,0.0193
afrimmlu_direct_orm_prompt_5,f1,0.2453,
afrimmlu_direct_sna_prompt_1,acc,0.2700,0.0199
afrimmlu_direct_sna_prompt_1,f1,0.2632,
afrimmlu_direct_sna_prompt_2,acc,0.2200,0.0185
afrimmlu_direct_sna_prompt_2,f1,0.2044,
afrimmlu_direct_sna_prompt_3,acc,0.2380,0.0191
afrimmlu_direct_sna_prompt_3,f1,0.2246,
afrimmlu_direct_sna_prompt_4,acc,0.2300,0.0188
afrimmlu_direct_sna_prompt_4,f1,0.2219,
afrimmlu_direct_sna_prompt_5,acc,0.2380,0.0191
afrimmlu_direct_sna_prompt_5,f1,0.2296,
afrimmlu_direct_sot_prompt_1,acc,0.2480,0.0193
afrimmlu_direct_sot_prompt_1,f1,0.2423,
afrimmlu_direct_sot_prompt_2,acc,0.2420,0.0192
afrimmlu_direct_sot_prompt_2,f1,0.2361,
afrimmlu_direct_sot_prompt_3,acc,0.2340,0.0190
afrimmlu_direct_sot_prompt_3,f1,0.2318,
afrimmlu_direct_sot_prompt_4,acc,0.2320,0.0189
afrimmlu_direct_sot_prompt_4,f1,0.2242,
afrimmlu_direct_sot_prompt_5,acc,0.2460,0.0193
afrimmlu_direct_sot_prompt_5,f1,0.2432,
afrimmlu_direct_swa_prompt_1,acc,0.2820,0.0201
afrimmlu_direct_swa_prompt_1,f1,0.2669,
afrimmlu_direct_swa_prompt_2,acc,0.2680,0.0198
afrimmlu_direct_swa_prompt_2,f1,0.2521,
afrimmlu_direct_swa_prompt_3,acc,0.2560,0.0195
afrimmlu_direct_swa_prompt_3,f1,0.2464,
afrimmlu_direct_swa_prompt_4,acc,0.2360,0.0190
afrimmlu_direct_swa_prompt_4,f1,0.2229,
afrimmlu_direct_swa_prompt_5,acc,0.2620,0.0197
