|        Tasks        |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------------------|------:|------|-----:|------|---|-----:|---|------|
|afrixnli_amh_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_amh_prompt_2|      1|none  |     0|acc   |↑  |0.3950|±  |0.0200|
|                     |       |none  |     0|f1    |↑  |0.2982|±  |   N/A|
|afrixnli_amh_prompt_3|      1|none  |     0|acc   |↑  |0.3533|±  |0.0195|
|                     |       |none  |     0|f1    |↑  |0.3331|±  |   N/A|
|afrixnli_amh_prompt_4|      1|none  |     0|acc   |↑  |0.3883|±  |0.0199|
|                     |       |none  |     0|f1    |↑  |0.3852|±  |   N/A|
|afrixnli_amh_prompt_5|      1|none  |     0|acc   |↑  |0.3283|±  |0.0192|
|                     |       |none  |     0|f1    |↑  |0.1986|±  |   N/A|
|afrixnli_eng_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_eng_prompt_2|      1|none  |     0|acc   |↑  |0.5050|±  |0.0204|
|                     |       |none  |     0|f1    |↑  |0.4441|±  |   N/A|
|afrixnli_eng_prompt_3|      1|none  |     0|acc   |↑  |0.4150|±  |0.0201|
|                     |       |none  |     0|f1    |↑  |0.3436|±  |   N/A|
|afrixnli_eng_prompt_4|      1|none  |     0|acc   |↑  |0.4183|±  |0.0202|
|                     |       |none  |     0|f1    |↑  |0.3760|±  |   N/A|
|afrixnli_eng_prompt_5|      1|none  |     0|acc   |↑  |0.3617|±  |0.0196|
|                     |       |none  |     0|f1    |↑  |0.2362|±  |   N/A|
|afrixnli_ewe_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_ewe_prompt_2|      1|none  |     0|acc   |↑  |0.3583|±  |0.0196|
|                     |       |none  |     0|f1    |↑  |0.2681|±  |   N/A|
|afrixnli_ewe_prompt_3|      1|none  |     0|acc   |↑  |0.3633|±  |0.0197|
|                     |       |none  |     0|f1    |↑  |0.3163|±  |   N/A|
|afrixnli_ewe_prompt_4|      1|none  |     0|acc   |↑  |0.3583|±  |0.0196|
|                     |       |none  |     0|f1    |↑  |0.2927|±  |   N/A|
|afrixnli_ewe_prompt_5|      1|none  |     0|acc   |↑  |0.3350|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1702|±  |   N/A|
|afrixnli_fra_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_fra_prompt_2|      1|none  |     0|acc   |↑  |0.5100|±  |0.0204|
|                     |       |none  |     0|f1    |↑  |0.4653|±  |   N/A|
|afrixnli_fra_prompt_3|      1|none  |     0|acc   |↑  |0.4283|±  |0.0202|
|                     |       |none  |     0|f1    |↑  |0.3817|±  |   N/A|
|afrixnli_fra_prompt_4|      1|none  |     0|acc   |↑  |0.4083|±  |0.0201|
|                     |       |none  |     0|f1    |↑  |0.3651|±  |   N/A|
|afrixnli_fra_prompt_5|      1|none  |     0|acc   |↑  |0.3417|±  |0.0194|
|                     |       |none  |     0|f1    |↑  |0.1975|±  |   N/A|
|afrixnli_hau_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_hau_prompt_2|      1|none  |     0|acc   |↑  |0.3650|±  |0.0197|
|                     |       |none  |     0|f1    |↑  |0.2725|±  |   N/A|
|afrixnli_hau_prompt_3|      1|none  |     0|acc   |↑  |0.3200|±  |0.0191|
|                     |       |none  |     0|f1    |↑  |0.2746|±  |   N/A|
|afrixnli_hau_prompt_4|      1|none  |     0|acc   |↑  |0.3317|±  |0.0192|
|                     |       |none  |     0|f1    |↑  |0.2788|±  |   N/A|
|afrixnli_hau_prompt_5|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1671|±  |   N/A|
|afrixnli_ibo_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_ibo_prompt_2|      1|none  |     0|acc   |↑  |0.3650|±  |0.0197|
|                     |       |none  |     0|f1    |↑  |0.2580|±  |   N/A|
|afrixnli_ibo_prompt_3|      1|none  |     0|acc   |↑  |0.3517|±  |0.0195|
|                     |       |none  |     0|f1    |↑  |0.2897|±  |   N/A|
|afrixnli_ibo_prompt_4|      1|none  |     0|acc   |↑  |0.3483|±  |0.0195|
|                     |       |none  |     0|f1    |↑  |0.3315|±  |   N/A|
|afrixnli_ibo_prompt_5|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_kin_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_kin_prompt_2|      1|none  |     0|acc   |↑  |0.3383|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.2117|±  |   N/A|
|afrixnli_kin_prompt_3|      1|none  |     0|acc   |↑  |0.3517|±  |0.0195|
|                     |       |none  |     0|f1    |↑  |0.3201|±  |   N/A|
|afrixnli_kin_prompt_4|      1|none  |     0|acc   |↑  |0.3567|±  |0.0196|
|                     |       |none  |     0|f1    |↑  |0.3177|±  |   N/A|
|afrixnli_kin_prompt_5|      1|none  |     0|acc   |↑  |0.3633|±  |0.0197|
|                     |       |none  |     0|f1    |↑  |0.3270|±  |   N/A|
|afrixnli_lin_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_lin_prompt_2|      1|none  |     0|acc   |↑  |0.3417|±  |0.0194|
|                     |       |none  |     0|f1    |↑  |0.2928|±  |   N/A|
|afrixnli_lin_prompt_3|      1|none  |     0|acc   |↑  |0.3233|±  |0.0191|
|                     |       |none  |     0|f1    |↑  |0.2872|±  |   N/A|
