Tasks,Metric,Value,Stderr
afrimgsm_amh_prompt_1,exact_match,0.088,0.0180
afrimgsm_amh_prompt_2,exact_match,0.072,0.0164
afrimgsm_amh_prompt_3,exact_match,0.044,0.0130
afrimgsm_amh_prompt_4,exact_match,0.032,0.0112
afrimgsm_amh_prompt_5,exact_match,0.068,0.0160
afrimgsm_eng_prompt_1,exact_match,0.528,0.0316
afrimgsm_eng_prompt_2,exact_match,0.344,0.0301
afrimgsm_eng_prompt_3,exact_match,0.268,0.0281
afrimgsm_eng_prompt_4,exact_match,0.316,0.0295
afrimgsm_eng_prompt_5,exact_match,0.308,0.0293
afrimgsm_ewe_prompt_1,exact_match,0.016,0.0080
afrimgsm_ewe_prompt_2,exact_match,0.028,0.0105
afrimgsm_ewe_prompt_3,exact_match,0.020,0.0089
afrimgsm_ewe_prompt_4,exact_match,0.008,0.0056
afrimgsm_ewe_prompt_5,exact_match,0.016,0.0080
afrimgsm_fra_prompt_1,exact_match,0.388,0.0309
afrimgsm_fra_prompt_2,exact_match,0.256,0.0277
afrimgsm_fra_prompt_3,exact_match,0.144,0.0222
afrimgsm_fra_prompt_4,exact_match,0.248,0.0274
afrimgsm_fra_prompt_5,exact_match,0.240,0.0271
afrimgsm_hau_prompt_1,exact_match,0.024,0.0097
afrimgsm_hau_prompt_2,exact_match,0.024,0.0097
afrimgsm_hau_prompt_3,exact_match,0.008,0.0056
afrimgsm_hau_prompt_4,exact_match,0.016,0.0080
afrimgsm_hau_prompt_5,exact_match,0.020,0.0089
afrimgsm_ibo_prompt_1,exact_match,0.012,0.0069
afrimgsm_ibo_prompt_2,exact_match,0.016,0.0080
afrimgsm_ibo_prompt_3,exact_match,0.016,0.0080
afrimgsm_ibo_prompt_4,exact_match,0.016,0.0080
afrimgsm_ibo_prompt_5,exact_match,0.004,0.0040
afrimgsm_kin_prompt_1,exact_match,0.024,0.0097
afrimgsm_kin_prompt_2,exact_match,0.032,0.0112
afrimgsm_kin_prompt_3,exact_match,0.032,0.0112
afrimgsm_kin_prompt_4,exact_match,0.044,0.0130
afrimgsm_kin_prompt_5,exact_match,0.020,0.0089
afrimgsm_lin_prompt_1,exact_match,0.032,0.0112
afrimgsm_lin_prompt_2,exact_match,0.016,0.0080
afrimgsm_lin_prompt_3,exact_match,0.016,0.0080
afrimgsm_lin_prompt_4,exact_match,0.032,0.0112
afrimgsm_lin_prompt_5,exact_match,0.036,0.0118
afrimgsm_lug_prompt_1,exact_match,0.044,0.0130
afrimgsm_lug_prompt_2,exact_match,0.024,0.0097
afrimgsm_lug_prompt_3,exact_match,0.020,0.0089
afrimgsm_lug_prompt_4,exact_match,0.016,0.0080
afrimgsm_lug_prompt_5,exact_match,0.004,0.0040
afrimgsm_orm_prompt_1,exact_match,0.012,0.0069
afrimgsm_orm_prompt_2,exact_match,0.032,0.0112
afrimgsm_orm_prompt_3,exact_match,0.032,0.0112
afrimgsm_orm_prompt_4,exact_match,0.016,0.0080
afrimgsm_orm_prompt_5,exact_match,0.028,0.0105
afrimgsm_sna_prompt_1,exact_match,0.016,0.0080
afrimgsm_sna_prompt_2,exact_match,0.032,0.0112
afrimgsm_sna_prompt_3,exact_match,0.020,0.0089
afrimgsm_sna_prompt_4,exact_match,0.020,0.0089
afrimgsm_sna_prompt_5,exact_match,0.040,0.0124
afrimgsm_sot_prompt_1,exact_match,0.032,0.0112
afrimgsm_sot_prompt_2,exact_match,0.032,0.0112
afrimgsm_sot_prompt_3,exact_match,0.032,0.0112
afrimgsm_sot_prompt_4,exact_match,0.032,0.0112
afrimgsm_sot_prompt_5,exact_match,0.032,0.0112
afrimgsm_swa_prompt_1,exact_match,0.132,0.0215
afrimgsm_swa_prompt_2,exact_match,0.108,0.0197
afrimgsm_swa_prompt_3,exact_match,0.056,0.0146
afrimgsm_swa_prompt_4,exact_match,0.060,0.0151
afrimgsm_swa_prompt_5,exact_match,0.076,0.0168
afrimgsm_twi_prompt_1,exact_match,0.028,0.0105
afrimgsm_twi_prompt_2,exact_match,0.028,0.0105
afrimgsm_twi_prompt_3,exact_match,0.020,0.0089
afrimgsm_twi_prompt_4,exact_match,0.012,0.0069
afrimgsm_twi_prompt_5,exact_match,0.016,0.0080
afrimgsm_vai_prompt_1,exact_match,0.012,0.0069
afrimgsm_vai_prompt_2,exact_match,0.012,0.0069
afrimgsm_vai_prompt_3,exact_match,0.032,0.0112
afrimgsm_vai_prompt_4,exact_match,0.024,0.0097
afrimgsm_vai_prompt_5,exact_match,0.016,0.0080
afrimgsm_wol_prompt_1,exact_match,0.036,0.0118
afrimgsm_wol_prompt_2,exact_match,0.024,0.0097
afrimgsm_wol_prompt_3,exact_match,0.024,0.0097
afrimgsm_wol_prompt_4,exact_match,0.016,0.0080
afrimgsm_wol_prompt_5,exact_match,0.020,0.0089
afrimgsm_xho_prompt_1,exact_match,0.040,0.0124
afrimgsm_xho_prompt_2,exact_match,0.032,0.0112
afrimgsm_xho_prompt_3,exact_match,0.036,0.0118
afrimgsm_xho_prompt_4,exact_match,0.024,0.0097
