Tasks,Metric,Value,Stderr
afrixnli_translate_amh_prompt_1,acc,0.3333,0.0193
afrixnli_translate_amh_prompt_1,f1,0.1667,
afrixnli_translate_amh_prompt_2,acc,0.5367,0.0204
afrixnli_translate_amh_prompt_2,f1,0.5402,
afrixnli_translate_amh_prompt_3,acc,0.4800,0.0204
afrixnli_translate_amh_prompt_3,f1,0.4647,
afrixnli_translate_amh_prompt_4,acc,0.4367,0.0203
afrixnli_translate_amh_prompt_4,f1,0.4059,
afrixnli_translate_amh_prompt_5,acc,0.3367,0.0193
afrixnli_translate_amh_prompt_5,f1,0.2034,
afrixnli_translate_ewe_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ewe_prompt_1,f1,0.1667,
afrixnli_translate_ewe_prompt_2,acc,0.4517,0.0203
afrixnli_translate_ewe_prompt_2,f1,0.4276,
afrixnli_translate_ewe_prompt_3,acc,0.3567,0.0196
afrixnli_translate_ewe_prompt_3,f1,0.2665,
afrixnli_translate_ewe_prompt_4,acc,0.3467,0.0194
afrixnli_translate_ewe_prompt_4,f1,0.2457,
afrixnli_translate_ewe_prompt_5,acc,0.3367,0.0193
afrixnli_translate_ewe_prompt_5,f1,0.2057,
afrixnli_translate_fra_prompt_1,acc,0.3333,0.0193
afrixnli_translate_fra_prompt_1,f1,0.1667,
afrixnli_translate_fra_prompt_2,acc,0.6050,0.0200
afrixnli_translate_fra_prompt_2,f1,0.6021,
afrixnli_translate_fra_prompt_3,acc,0.4817,0.0204
afrixnli_translate_fra_prompt_3,f1,0.4496,
afrixnli_translate_fra_prompt_4,acc,0.4850,0.0204
afrixnli_translate_fra_prompt_4,f1,0.4260,
afrixnli_translate_fra_prompt_5,acc,0.3467,0.0194
afrixnli_translate_fra_prompt_5,f1,0.2160,
afrixnli_translate_hau_prompt_1,acc,0.3333,0.0193
afrixnli_translate_hau_prompt_1,f1,0.1667,
afrixnli_translate_hau_prompt_2,acc,0.4967,0.0204
afrixnli_translate_hau_prompt_2,f1,0.4911,
afrixnli_translate_hau_prompt_3,acc,0.4033,0.0200
afrixnli_translate_hau_prompt_3,f1,0.3271,
afrixnli_translate_hau_prompt_4,acc,0.3583,0.0196
afrixnli_translate_hau_prompt_4,f1,0.2282,
afrixnli_translate_hau_prompt_5,acc,0.3367,0.0193
afrixnli_translate_hau_prompt_5,f1,0.2060,
afrixnli_translate_ibo_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ibo_prompt_1,f1,0.1667,
afrixnli_translate_ibo_prompt_2,acc,0.5033,0.0204
afrixnli_translate_ibo_prompt_2,f1,0.5025,
afrixnli_translate_ibo_prompt_3,acc,0.3900,0.0199
afrixnli_translate_ibo_prompt_3,f1,0.3086,
afrixnli_translate_ibo_prompt_4,acc,0.3883,0.0199
afrixnli_translate_ibo_prompt_4,f1,0.2827,
afrixnli_translate_ibo_prompt_5,acc,0.3400,0.0194
afrixnli_translate_ibo_prompt_5,f1,0.2046,
afrixnli_translate_kin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_kin_prompt_1,f1,0.1667,
afrixnli_translate_kin_prompt_2,acc,0.4867,0.0204
afrixnli_translate_kin_prompt_2,f1,0.4823,
afrixnli_translate_kin_prompt_3,acc,0.3917,0.0199
afrixnli_translate_kin_prompt_3,f1,0.3619,
afrixnli_translate_kin_prompt_4,acc,0.3917,0.0199
afrixnli_translate_kin_prompt_4,f1,0.3717,
afrixnli_translate_kin_prompt_5,acc,0.3350,0.0193
afrixnli_translate_kin_prompt_5,f1,0.2038,
afrixnli_translate_lin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lin_prompt_1,f1,0.1667,
afrixnli_translate_lin_prompt_2,acc,0.3133,0.0190
afrixnli_translate_lin_prompt_2,f1,0.2709,
afrixnli_translate_lin_prompt_3,acc,0.3217,0.0191
afrixnli_translate_lin_prompt_3,f1,0.2448,
afrixnli_translate_lin_prompt_4,acc,0.3333,0.0193
afrixnli_translate_lin_prompt_4,f1,0.2635,
afrixnli_translate_lin_prompt_5,acc,0.3317,0.0192
afrixnli_translate_lin_prompt_5,f1,0.1989,
afrixnli_translate_lug_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lug_prompt_1,f1,0.1667,
afrixnli_translate_lug_prompt_2,acc,0.4983,0.0204
afrixnli_translate_lug_prompt_2,f1,0.4984,
afrixnli_translate_lug_prompt_3,acc,0.3733,0.0198
afrixnli_translate_lug_prompt_3,f1,0.2944,
afrixnli_translate_lug_prompt_4,acc,0.3700,0.0197
afrixnli_translate_lug_prompt_4,f1,0.2621,
afrixnli_translate_lug_prompt_5,acc,0.3367,0.0193
afrixnli_translate_lug_prompt_5,f1,0.2112,
afrixnli_translate_orm_prompt_1,acc,0.3333,0.0193
afrixnli_translate_orm_prompt_1,f1,0.1667,
afrixnli_translate_orm_prompt_2,acc,0.5100,0.0204
afrixnli_translate_orm_prompt_2,f1,0.5102,
afrixnli_translate_orm_prompt_3,acc,0.4317,0.0202
afrixnli_translate_orm_prompt_3,f1,0.4381,
afrixnli_translate_orm_prompt_4,acc,0.4100,0.0201
afrixnli_translate_orm_prompt_4,f1,0.3524,
afrixnli_translate_orm_prompt_5,acc,0.3150,0.0190
afrixnli_translate_orm_prompt_5,f1,0.1890,
afrixnli_translate_sna_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sna_prompt_1,f1,0.1667,
afrixnli_translate_sna_prompt_2,acc,0.5083,0.0204
afrixnli_translate_sna_prompt_2,f1,0.5060,
afrixnli_translate_sna_prompt_3,acc,0.3850,0.0199
afrixnli_translate_sna_prompt_3,f1,0.3387,
afrixnli_translate_sna_prompt_4,acc,0.4533,0.0203
afrixnli_translate_sna_prompt_4,f1,0.3825,
afrixnli_translate_sna_prompt_5,acc,0.3317,0.0192
afrixnli_translate_sna_prompt_5,f1,0.1961,
afrixnli_translate_sot_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sot_prompt_1,f1,0.1667,
afrixnli_translate_sot_prompt_2,acc,0.5100,0.0204
afrixnli_translate_sot_prompt_2,f1,0.5070,
afrixnli_translate_sot_prompt_3,acc,0.4050,0.0201
afrixnli_translate_sot_prompt_3,f1,0.3494,
afrixnli_translate_sot_prompt_4,acc,0.4267,0.0202
afrixnli_translate_sot_prompt_4,f1,0.3512,
afrixnli_translate_sot_prompt_5,acc,0.3333,0.0193
afrixnli_translate_sot_prompt_5,f1,0.2053,
afrixnli_translate_swa_prompt_1,acc,0.3333,0.0193
afrixnli_translate_swa_prompt_1,f1,0.1667,
afrixnli_translate_swa_prompt_2,acc,0.5433,0.0204
afrixnli_translate_swa_prompt_2,f1,0.5459,
afrixnli_translate_swa_prompt_3,acc,0.4683,0.0204
afrixnli_translate_swa_prompt_3,f1,0.4447,
afrixnli_translate_swa_prompt_4,acc,0.4050,0.0201
afrixnli_translate_swa_prompt_4,f1,0.3343,
afrixnli_translate_swa_prompt_5,acc,0.3283,0.0192
afrixnli_translate_swa_prompt_5,f1,0.1949,
afrixnli_translate_twi_prompt_1,acc,0.3333,0.0193
afrixnli_translate_twi_prompt_1,f1,0.1667,
afrixnli_translate_twi_prompt_2,acc,0.4217,0.0202
afrixnli_translate_twi_prompt_2,f1,0.4125,
afrixnli_translate_twi_prompt_3,acc,0.3900,0.0199
afrixnli_translate_twi_prompt_3,f1,0.3398,
afrixnli_translate_twi_prompt_4,acc,0.3817,0.0198
afrixnli_translate_twi_prompt_4,f1,0.3335,
afrixnli_translate_twi_prompt_5,acc,0.3433,0.0194
afrixnli_translate_twi_prompt_5,f1,0.2094,
afrixnli_translate_wol_prompt_1,acc,0.3333,0.0193
afrixnli_translate_wol_prompt_1,f1,0.1667,
afrixnli_translate_wol_prompt_2,acc,0.3950,0.0200
afrixnli_translate_wol_prompt_2,f1,0.3594,
afrixnli_translate_wol_prompt_3,acc,0.3217,0.0191
afrixnli_translate_wol_prompt_3,f1,0.2624,
afrixnli_translate_wol_prompt_4,acc,0.3433,0.0194
afrixnli_translate_wol_prompt_4,f1,0.3114,
afrixnli_translate_wol_prompt_5,acc,0.3317,0.0192
afrixnli_translate_wol_prompt_5,f1,0.1879,
afrixnli_translate_xho_prompt_1,acc,0.3333,0.0193
afrixnli_translate_xho_prompt_1,f1,0.1667,
afrixnli_translate_xho_prompt_2,acc,0.5267,0.0204
afrixnli_translate_xho_prompt_2,f1,0.5262,
afrixnli_translate_xho_prompt_3,acc,0.4017,0.0200
afrixnli_translate_xho_prompt_3,f1,0.3511,
afrixnli_translate_xho_prompt_4,acc,0.3683,0.0197
afrixnli_translate_xho_prompt_4,f1,0.2929,
afrixnli_translate_xho_prompt_5,acc,0.3433,0.0194
afrixnli_translate_xho_prompt_5,f1,0.2115,
afrixnli_translate_yor_prompt_1,acc,0.3333,0.0193
afrixnli_translate_yor_prompt_1,f1,0.1667,
afrixnli_translate_yor_prompt_2,acc,0.4833,0.0204
afrixnli_translate_yor_prompt_2,f1,0.4805,
afrixnli_translate_yor_prompt_3,acc,0.4583,0.0204
afrixnli_translate_yor_prompt_3,f1,0.4377,
afrixnli_translate_yor_prompt_4,acc,0.4167,0.0201
afrixnli_translate_yor_prompt_4,f1,0.3309,
afrixnli_translate_yor_prompt_5,acc,0.3200,0.0191
afrixnli_translate_yor_prompt_5,f1,0.1951,
afrixnli_translate_zul_prompt_1,acc,0.3333,0.0193
afrixnli_translate_zul_prompt_1,f1,0.1667,
afrixnli_translate_zul_prompt_2,acc,0.5167,0.0204
afrixnli_translate_zul_prompt_2,f1,0.5167,
afrixnli_translate_zul_prompt_3,acc,0.3800,0.0198
afrixnli_translate_zul_prompt_3,f1,0.3091,
afrixnli_translate_zul_prompt_4,acc,0.3917,0.0199
afrixnli_translate_zul_prompt_4,f1,0.3280,
afrixnli_translate_zul_prompt_5,acc,0.3500,0.0195
afrixnli_translate_zul_prompt_5,f1,0.2224,
