Tasks,Metric,Value,Stderr
afrisenti_amh_prompt_1,acc,0.1186,0.0072
afrisenti_amh_prompt_1,f1,0.0361,
afrisenti_amh_prompt_2,acc,0.1121,0.0071
afrisenti_amh_prompt_2,f1,0.0226,
afrisenti_amh_prompt_3,acc,0.6733,0.0105
afrisenti_amh_prompt_3,f1,0.5654,
afrisenti_amh_prompt_4,acc,0.2981,0.0102
afrisenti_amh_prompt_4,f1,0.3372,
afrisenti_amh_prompt_5,acc,0.6483,0.0107
afrisenti_amh_prompt_5,f1,0.5706,
afrisenti_arq_prompt_1,acc,0.2317,0.0136
afrisenti_arq_prompt_1,f1,0.1633,
afrisenti_arq_prompt_2,acc,0.1733,0.0122
afrisenti_arq_prompt_2,f1,0.0705,
afrisenti_arq_prompt_3,acc,0.5511,0.0161
afrisenti_arq_prompt_3,f1,0.4626,
afrisenti_arq_prompt_4,acc,0.5313,0.0161
afrisenti_arq_prompt_4,f1,0.5353,
afrisenti_arq_prompt_5,acc,0.5052,0.0162
afrisenti_arq_prompt_5,f1,0.4748,
afrisenti_ary_prompt_1,acc,0.3533,0.0088
afrisenti_ary_prompt_1,f1,0.2505,
afrisenti_ary_prompt_2,acc,0.3293,0.0086
afrisenti_ary_prompt_2,f1,0.1672,
afrisenti_ary_prompt_3,acc,0.3840,0.0089
afrisenti_ary_prompt_3,f1,0.3065,
afrisenti_ary_prompt_4,acc,0.3999,0.0090
afrisenti_ary_prompt_4,f1,0.3953,
afrisenti_ary_prompt_5,acc,0.3793,0.0089
afrisenti_ary_prompt_5,f1,0.3083,
afrisenti_hau_prompt_1,acc,0.3383,0.0065
afrisenti_hau_prompt_1,f1,0.1722,
afrisenti_hau_prompt_2,acc,0.3375,0.0065
afrisenti_hau_prompt_2,f1,0.1706,
afrisenti_hau_prompt_3,acc,0.3564,0.0066
afrisenti_hau_prompt_3,f1,0.2243,
afrisenti_hau_prompt_4,acc,0.3575,0.0066
afrisenti_hau_prompt_4,f1,0.2822,
afrisenti_hau_prompt_5,acc,0.3515,0.0066
afrisenti_hau_prompt_5,f1,0.2201,
afrisenti_ibo_prompt_1,acc,0.4405,0.0082
afrisenti_ibo_prompt_1,f1,0.2702,
afrisenti_ibo_prompt_2,acc,0.4402,0.0082
afrisenti_ibo_prompt_2,f1,0.2692,
afrisenti_ibo_prompt_3,acc,0.3031,0.0076
afrisenti_ibo_prompt_3,f1,0.2147,
afrisenti_ibo_prompt_4,acc,0.4134,0.0081
afrisenti_ibo_prompt_4,f1,0.3280,
afrisenti_ibo_prompt_5,acc,0.3080,0.0076
afrisenti_ibo_prompt_5,f1,0.2354,
afrisenti_kin_prompt_1,acc,0.3869,0.0152
afrisenti_kin_prompt_1,f1,0.2227,
afrisenti_kin_prompt_2,acc,0.3840,0.0152
afrisenti_kin_prompt_2,f1,0.2217,
afrisenti_kin_prompt_3,acc,0.3967,0.0153
afrisenti_kin_prompt_3,f1,0.3424,
afrisenti_kin_prompt_4,acc,0.3489,0.0149
afrisenti_kin_prompt_4,f1,0.3043,
afrisenti_kin_prompt_5,acc,0.3752,0.0151
afrisenti_kin_prompt_5,f1,0.3160,
afrisenti_orm_prompt_1,acc,0.4175,0.0108
afrisenti_orm_prompt_1,f1,0.3089,
afrisenti_orm_prompt_2,acc,0.4232,0.0108
afrisenti_orm_prompt_2,f1,0.2953,
afrisenti_orm_prompt_3,acc,0.3726,0.0106
afrisenti_orm_prompt_3,f1,0.2644,
afrisenti_orm_prompt_4,acc,0.3869,0.0106
afrisenti_orm_prompt_4,f1,0.3468,
afrisenti_orm_prompt_5,acc,0.3664,0.0105
afrisenti_orm_prompt_5,f1,0.2420,
afrisenti_pcm_prompt_1,acc,0.1115,0.0049
afrisenti_pcm_prompt_1,f1,0.0347,
afrisenti_pcm_prompt_2,acc,0.1045,0.0047
afrisenti_pcm_prompt_2,f1,0.0210,
afrisenti_pcm_prompt_3,acc,0.6093,0.0076
afrisenti_pcm_prompt_3,f1,0.5222,
afrisenti_pcm_prompt_4,acc,0.4687,0.0077
afrisenti_pcm_prompt_4,f1,0.4801,
afrisenti_pcm_prompt_5,acc,0.5920,0.0076
afrisenti_pcm_prompt_5,f1,0.4883,
afrisenti_por_prompt_1,acc,0.6434,0.0079
afrisenti_por_prompt_1,f1,0.5715,
afrisenti_por_prompt_2,acc,0.6557,0.0079
afrisenti_por_prompt_2,f1,0.5484,
afrisenti_por_prompt_3,acc,0.5472,0.0082
afrisenti_por_prompt_3,f1,0.5662,
afrisenti_por_prompt_4,acc,0.5827,0.0081
afrisenti_por_prompt_4,f1,0.5816,
afrisenti_por_prompt_5,acc,0.4353,0.0082
afrisenti_por_prompt_5,f1,0.4222,
afrisenti_swa_prompt_1,acc,0.5936,0.0180
afrisenti_swa_prompt_1,f1,0.4522,
afrisenti_swa_prompt_2,acc,0.5936,0.0180
afrisenti_swa_prompt_2,f1,0.4422,
afrisenti_swa_prompt_3,acc,0.1310,0.0123
afrisenti_swa_prompt_3,f1,0.0639,
afrisenti_swa_prompt_4,acc,0.4037,0.0180
afrisenti_swa_prompt_4,f1,0.4154,
afrisenti_swa_prompt_5,acc,0.3182,0.0170
afrisenti_swa_prompt_5,f1,0.3430,
afrisenti_tir_prompt_1,acc,0.1935,0.0088
afrisenti_tir_prompt_1,f1,0.0682,
afrisenti_tir_prompt_2,acc,0.1935,0.0088
afrisenti_tir_prompt_2,f1,0.0627,
afrisenti_tir_prompt_3,acc,0.4970,0.0112
afrisenti_tir_prompt_3,f1,0.4010,
afrisenti_tir_prompt_4,acc,0.2870,0.0101
afrisenti_tir_prompt_4,f1,0.2585,
afrisenti_tir_prompt_5,acc,0.4635,0.0112
afrisenti_tir_prompt_5,f1,0.3525,
afrisenti_tso_prompt_1,acc,0.1811,0.0242
afrisenti_tso_prompt_1,f1,0.0725,
afrisenti_tso_prompt_2,acc,0.1732,0.0238
afrisenti_tso_prompt_2,f1,0.0571,
afrisenti_tso_prompt_3,acc,0.2795,0.0282
afrisenti_tso_prompt_3,f1,0.2436,
afrisenti_tso_prompt_4,acc,0.2323,0.0265
afrisenti_tso_prompt_4,f1,0.1960,
afrisenti_tso_prompt_5,acc,0.3465,0.0299
afrisenti_tso_prompt_5,f1,0.2602,
afrisenti_twi_prompt_1,acc,0.1538,0.0117
afrisenti_twi_prompt_1,f1,0.0411,
afrisenti_twi_prompt_2,acc,0.1549,0.0118
afrisenti_twi_prompt_2,f1,0.0432,
afrisenti_twi_prompt_3,acc,0.3962,0.0159
afrisenti_twi_prompt_3,f1,0.3249,
afrisenti_twi_prompt_4,acc,0.2276,0.0136
afrisenti_twi_prompt_4,f1,0.1948,
afrisenti_twi_prompt_5,acc,0.3298,0.0153
afrisenti_twi_prompt_5,f1,0.2912,
afrisenti_yor_prompt_1,acc,0.3586,0.0071
afrisenti_yor_prompt_1,f1,0.1905,
afrisenti_yor_prompt_2,acc,0.3586,0.0071
afrisenti_yor_prompt_2,f1,0.1905,
afrisenti_yor_prompt_3,acc,0.2607,0.0065
afrisenti_yor_prompt_3,f1,0.1720,
afrisenti_yor_prompt_4,acc,0.3426,0.0071
afrisenti_yor_prompt_4,f1,0.2602,
afrisenti_yor_prompt_5,acc,0.2875,0.0067
afrisenti_yor_prompt_5,f1,0.2347,
