|        Tasks        |Version|     Filter      |n-shot|  Metric   |   |Value|   |Stderr|
|---------------------|------:|-----------------|-----:|-----------|---|----:|---|-----:|
|afrimgsm_amh_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_amh_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_amh_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.036|±  |0.0118|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_amh_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_amh_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.020|±  |0.0089|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.016|±  |0.0080|
|afrimgsm_eng_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.180|±  |0.0243|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_eng_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.200|±  |0.0253|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_eng_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.252|±  |0.0275|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_eng_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.312|±  |0.0294|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_eng_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.208|±  |0.0257|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.016|±  |0.0080|
|afrimgsm_ewe_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.024|±  |0.0097|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_ewe_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_ewe_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_ewe_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_ewe_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_fra_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.100|±  |0.0190|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_fra_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.116|±  |0.0203|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.028|±  |0.0105|
|afrimgsm_fra_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.168|±  |0.0237|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_fra_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.148|±  |0.0225|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_fra_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.120|±  |0.0206|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.036|±  |0.0118|
|afrimgsm_hau_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_hau_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_hau_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_hau_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_hau_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_ibo_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ibo_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_ibo_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ibo_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_ibo_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.012|±  |0.0069|
|afrimgsm_kin_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_kin_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_kin_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_kin_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_kin_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.012|±  |0.0069|
|afrimgsm_lin_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.020|±  |0.0089|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lin_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.020|±  |0.0089|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_lin_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.032|±  |0.0112|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_lin_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_lin_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_lug_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_lug_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_lug_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_lug_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_lug_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_orm_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_orm_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_orm_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_orm_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_orm_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_sna_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
