|        Tasks        |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------------------|------:|------|-----:|------|---|-----:|---|------|
|afrixnli_amh_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_amh_prompt_2|      1|none  |     0|acc   |↑  |0.3383|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1775|±  |   N/A|
|afrixnli_amh_prompt_3|      1|none  |     0|acc   |↑  |0.3200|±  |0.0191|
|                     |       |none  |     0|f1    |↑  |0.2137|±  |   N/A|
|afrixnli_amh_prompt_4|      1|none  |     0|acc   |↑  |0.3267|±  |0.0192|
|                     |       |none  |     0|f1    |↑  |0.2637|±  |   N/A|
|afrixnli_amh_prompt_5|      1|none  |     0|acc   |↑  |0.3450|±  |0.0194|
|                     |       |none  |     0|f1    |↑  |0.2720|±  |   N/A|
|afrixnli_eng_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_eng_prompt_2|      1|none  |     0|acc   |↑  |0.3500|±  |0.0195|
|                     |       |none  |     0|f1    |↑  |0.2592|±  |   N/A|
|afrixnli_eng_prompt_3|      1|none  |     0|acc   |↑  |0.3200|±  |0.0191|
|                     |       |none  |     0|f1    |↑  |0.1854|±  |   N/A|
|afrixnli_eng_prompt_4|      1|none  |     0|acc   |↑  |0.3350|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1979|±  |   N/A|
|afrixnli_eng_prompt_5|      1|none  |     0|acc   |↑  |0.3350|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1862|±  |   N/A|
|afrixnli_ewe_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_ewe_prompt_2|      1|none  |     0|acc   |↑  |0.3350|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.2154|±  |   N/A|
|afrixnli_ewe_prompt_3|      1|none  |     0|acc   |↑  |0.3517|±  |0.0195|
|                     |       |none  |     0|f1    |↑  |0.2987|±  |   N/A|
|afrixnli_ewe_prompt_4|      1|none  |     0|acc   |↑  |0.3583|±  |0.0196|
|                     |       |none  |     0|f1    |↑  |0.3118|±  |   N/A|
|afrixnli_ewe_prompt_5|      1|none  |     0|acc   |↑  |0.3100|±  |0.0189|
|                     |       |none  |     0|f1    |↑  |0.2498|±  |   N/A|
|afrixnli_fra_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_fra_prompt_2|      1|none  |     0|acc   |↑  |0.3650|±  |0.0197|
|                     |       |none  |     0|f1    |↑  |0.2638|±  |   N/A|
|afrixnli_fra_prompt_3|      1|none  |     0|acc   |↑  |0.2967|±  |0.0187|
|                     |       |none  |     0|f1    |↑  |0.2126|±  |   N/A|
|afrixnli_fra_prompt_4|      1|none  |     0|acc   |↑  |0.3350|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.2209|±  |   N/A|
|afrixnli_fra_prompt_5|      1|none  |     0|acc   |↑  |0.3317|±  |0.0192|
|                     |       |none  |     0|f1    |↑  |0.1719|±  |   N/A|
|afrixnli_hau_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_hau_prompt_2|      1|none  |     0|acc   |↑  |0.3367|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1903|±  |   N/A|
|afrixnli_hau_prompt_3|      1|none  |     0|acc   |↑  |0.3167|±  |0.0190|
|                     |       |none  |     0|f1    |↑  |0.2339|±  |   N/A|
|afrixnli_hau_prompt_4|      1|none  |     0|acc   |↑  |0.3383|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.2162|±  |   N/A|
|afrixnli_hau_prompt_5|      1|none  |     0|acc   |↑  |0.3233|±  |0.0191|
|                     |       |none  |     0|f1    |↑  |0.1792|±  |   N/A|
|afrixnli_ibo_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_ibo_prompt_2|      1|none  |     0|acc   |↑  |0.3433|±  |0.0194|
|                     |       |none  |     0|f1    |↑  |0.1990|±  |   N/A|
|afrixnli_ibo_prompt_3|      1|none  |     0|acc   |↑  |0.3317|±  |0.0192|
|                     |       |none  |     0|f1    |↑  |0.2655|±  |   N/A|
|afrixnli_ibo_prompt_4|      1|none  |     0|acc   |↑  |0.3500|±  |0.0195|
|                     |       |none  |     0|f1    |↑  |0.2798|±  |   N/A|
|afrixnli_ibo_prompt_5|      1|none  |     0|acc   |↑  |0.2717|±  |0.0182|
|                     |       |none  |     0|f1    |↑  |0.2165|±  |   N/A|
|afrixnli_kin_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_kin_prompt_2|      1|none  |     0|acc   |↑  |0.3350|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1844|±  |   N/A|
|afrixnli_kin_prompt_3|      1|none  |     0|acc   |↑  |0.3850|±  |0.0199|
|                     |       |none  |     0|f1    |↑  |0.3154|±  |   N/A|
|afrixnli_kin_prompt_4|      1|none  |     0|acc   |↑  |0.3700|±  |0.0197|
|                     |       |none  |     0|f1    |↑  |0.3059|±  |   N/A|
|afrixnli_kin_prompt_5|      1|none  |     0|acc   |↑  |0.3283|±  |0.0192|
|                     |       |none  |     0|f1    |↑  |0.3204|±  |   N/A|
|afrixnli_lin_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_lin_prompt_2|      1|none  |     0|acc   |↑  |0.3317|±  |0.0192|
|                     |       |none  |     0|f1    |↑  |0.1808|±  |   N/A|
|afrixnli_lin_prompt_3|      1|none  |     0|acc   |↑  |0.3250|±  |0.0191|
|                     |       |none  |     0|f1    |↑  |0.2619|±  |   N/A|
