|        Tasks        |Version|     Filter      |n-shot|  Metric   |   |Value|   |Stderr|
|---------------------|------:|-----------------|-----:|-----------|---|----:|---|-----:|
|afrimgsm_amh_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.060|±  |0.0151|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_amh_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.076|±  |0.0168|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_amh_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.056|±  |0.0146|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_amh_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.104|±  |0.0193|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_amh_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.060|±  |0.0151|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_eng_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.652|±  |0.0302|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_eng_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.252|±  |0.0275|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_eng_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.176|±  |0.0241|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_eng_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.268|±  |0.0281|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_eng_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.284|±  |0.0286|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ewe_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.024|±  |0.0097|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ewe_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ewe_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ewe_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ewe_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_fra_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.252|±  |0.0275|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_fra_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.156|±  |0.0230|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_fra_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.088|±  |0.0180|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_fra_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.208|±  |0.0257|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_fra_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.144|±  |0.0222|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_hau_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_hau_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.020|±  |0.0089|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_hau_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.020|±  |0.0089|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_hau_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_hau_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ibo_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ibo_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.020|±  |0.0089|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ibo_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.020|±  |0.0089|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ibo_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.028|±  |0.0105|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ibo_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.024|±  |0.0097|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_kin_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.032|±  |0.0112|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_kin_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.028|±  |0.0105|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_kin_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_kin_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.024|±  |0.0097|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_kin_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.020|±  |0.0089|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lin_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.056|±  |0.0146|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lin_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.032|±  |0.0112|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lin_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.024|±  |0.0097|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lin_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.036|±  |0.0118|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lin_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.024|±  |0.0097|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lug_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.028|±  |0.0105|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lug_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.032|±  |0.0112|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lug_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.032|±  |0.0112|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lug_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.044|±  |0.0130|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lug_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.024|±  |0.0097|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_orm_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.028|±  |0.0105|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_orm_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_orm_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.024|±  |0.0097|
