|       Tasks       |Version|     Filter      |n-shot|  Metric   |   |Value |   |Stderr|
|-------------------|------:|-----------------|-----:|-----------|---|-----:|---|------|
|afriqa_bem_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.1266|±  |0.0190|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2026|±  |   N/A|
|afriqa_bem_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.1071|±  |0.0177|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1746|±  |   N/A|
|afriqa_bem_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0227|±  |0.0085|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1346|±  |   N/A|
|afriqa_bem_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.0844|±  |0.0159|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1856|±  |   N/A|
|afriqa_bem_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.1006|±  |0.0172|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2060|±  |   N/A|
|afriqa_fon_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.1062|±  |0.0157|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1886|±  |   N/A|
|afriqa_fon_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.0984|±  |0.0152|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1648|±  |   N/A|
|afriqa_fon_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0130|±  |0.0058|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1617|±  |   N/A|
|afriqa_fon_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.1088|±  |0.0159|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2242|±  |   N/A|
|afriqa_fon_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.1036|±  |0.0155|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1992|±  |   N/A|
