Tasks,Metric,Value,Stderr
afrisenti_amh_prompt_1,acc,0.1186,0.0072
afrisenti_amh_prompt_1,f1,0.0353,
afrisenti_amh_prompt_2,acc,0.1266,0.0074
afrisenti_amh_prompt_2,f1,0.0509,
afrisenti_amh_prompt_3,acc,0.6923,0.0103
afrisenti_amh_prompt_3,f1,0.6582,
afrisenti_amh_prompt_4,acc,0.5063,0.0112
afrisenti_amh_prompt_4,f1,0.5469,
afrisenti_amh_prompt_5,acc,0.6828,0.0104
afrisenti_amh_prompt_5,f1,0.6159,
afrisenti_arq_prompt_1,acc,0.2380,0.0138
afrisenti_arq_prompt_1,f1,0.1728,
afrisenti_arq_prompt_2,acc,0.1681,0.0121
afrisenti_arq_prompt_2,f1,0.0591,
afrisenti_arq_prompt_3,acc,0.6420,0.0155
afrisenti_arq_prompt_3,f1,0.6388,
afrisenti_arq_prompt_4,acc,0.6221,0.0157
afrisenti_arq_prompt_4,f1,0.6334,
afrisenti_arq_prompt_5,acc,0.6587,0.0153
afrisenti_arq_prompt_5,f1,0.6320,
afrisenti_ary_prompt_1,acc,0.3590,0.0088
afrisenti_ary_prompt_1,f1,0.2297,
afrisenti_ary_prompt_2,acc,0.3401,0.0087
afrisenti_ary_prompt_2,f1,0.1912,
afrisenti_ary_prompt_3,acc,0.5458,0.0092
afrisenti_ary_prompt_3,f1,0.5166,
afrisenti_ary_prompt_4,acc,0.5296,0.0092
afrisenti_ary_prompt_4,f1,0.5305,
afrisenti_ary_prompt_5,acc,0.4394,0.0091
afrisenti_ary_prompt_5,f1,0.3814,
afrisenti_hau_prompt_1,acc,0.3873,0.0067
afrisenti_hau_prompt_1,f1,0.2661,
afrisenti_hau_prompt_2,acc,0.3606,0.0066
afrisenti_hau_prompt_2,f1,0.2179,
afrisenti_hau_prompt_3,acc,0.4790,0.0069
afrisenti_hau_prompt_3,f1,0.4408,
afrisenti_hau_prompt_4,acc,0.4554,0.0068
afrisenti_hau_prompt_4,f1,0.4467,
afrisenti_hau_prompt_5,acc,0.4107,0.0068
afrisenti_hau_prompt_5,f1,0.3177,
afrisenti_ibo_prompt_1,acc,0.4628,0.0082
afrisenti_ibo_prompt_1,f1,0.3206,
afrisenti_ibo_prompt_2,acc,0.4432,0.0082
afrisenti_ibo_prompt_2,f1,0.2775,
afrisenti_ibo_prompt_3,acc,0.3930,0.0081
afrisenti_ibo_prompt_3,f1,0.3419,
afrisenti_ibo_prompt_4,acc,0.4389,0.0082
afrisenti_ibo_prompt_4,f1,0.4264,
afrisenti_ibo_prompt_5,acc,0.3865,0.0080
afrisenti_ibo_prompt_5,f1,0.2963,
afrisenti_kin_prompt_1,acc,0.3889,0.0152
afrisenti_kin_prompt_1,f1,0.2472,
afrisenti_kin_prompt_2,acc,0.3860,0.0152
afrisenti_kin_prompt_2,f1,0.2299,
afrisenti_kin_prompt_3,acc,0.4152,0.0154
afrisenti_kin_prompt_3,f1,0.4152,
afrisenti_kin_prompt_4,acc,0.4561,0.0156
afrisenti_kin_prompt_4,f1,0.4525,
afrisenti_kin_prompt_5,acc,0.3938,0.0153
afrisenti_kin_prompt_5,f1,0.3318,
afrisenti_orm_prompt_1,acc,0.4184,0.0108
afrisenti_orm_prompt_1,f1,0.2761,
afrisenti_orm_prompt_2,acc,0.4270,0.0108
afrisenti_orm_prompt_2,f1,0.2678,
afrisenti_orm_prompt_3,acc,0.4003,0.0107
afrisenti_orm_prompt_3,f1,0.3964,
afrisenti_orm_prompt_4,acc,0.3736,0.0106
afrisenti_orm_prompt_4,f1,0.3789,
afrisenti_orm_prompt_5,acc,0.3359,0.0103
afrisenti_orm_prompt_5,f1,0.2505,
afrisenti_pcm_prompt_1,acc,0.2333,0.0066
afrisenti_pcm_prompt_1,f1,0.2358,
afrisenti_pcm_prompt_2,acc,0.2318,0.0065
afrisenti_pcm_prompt_2,f1,0.2380,
afrisenti_pcm_prompt_3,acc,0.6839,0.0072
afrisenti_pcm_prompt_3,f1,0.6913,
afrisenti_pcm_prompt_4,acc,0.5982,0.0076
afrisenti_pcm_prompt_4,f1,0.6276,
afrisenti_pcm_prompt_5,acc,0.6967,0.0071
afrisenti_pcm_prompt_5,f1,0.6716,
afrisenti_por_prompt_1,acc,0.6346,0.0080
afrisenti_por_prompt_1,f1,0.5865,
afrisenti_por_prompt_2,acc,0.6548,0.0079
afrisenti_por_prompt_2,f1,0.6007,
afrisenti_por_prompt_3,acc,0.4547,0.0082
afrisenti_por_prompt_3,f1,0.4397,
afrisenti_por_prompt_4,acc,0.5702,0.0082
afrisenti_por_prompt_4,f1,0.5816,
afrisenti_por_prompt_5,acc,0.3372,0.0078
afrisenti_por_prompt_5,f1,0.2145,
afrisenti_swa_prompt_1,acc,0.6003,0.0179
afrisenti_swa_prompt_1,f1,0.5128,
afrisenti_swa_prompt_2,acc,0.5963,0.0180
afrisenti_swa_prompt_2,f1,0.4529,
afrisenti_swa_prompt_3,acc,0.4425,0.0182
afrisenti_swa_prompt_3,f1,0.4502,
afrisenti_swa_prompt_4,acc,0.5535,0.0182
afrisenti_swa_prompt_4,f1,0.5494,
afrisenti_swa_prompt_5,acc,0.3436,0.0174
afrisenti_swa_prompt_5,f1,0.2642,
afrisenti_tir_prompt_1,acc,0.1975,0.0089
afrisenti_tir_prompt_1,f1,0.0717,
afrisenti_tir_prompt_2,acc,0.1960,0.0089
afrisenti_tir_prompt_2,f1,0.0678,
afrisenti_tir_prompt_3,acc,0.5290,0.0112
afrisenti_tir_prompt_3,f1,0.4613,
afrisenti_tir_prompt_4,acc,0.4705,0.0112
afrisenti_tir_prompt_4,f1,0.4199,
afrisenti_tir_prompt_5,acc,0.5200,0.0112
afrisenti_tir_prompt_5,f1,0.4126,
afrisenti_tso_prompt_1,acc,0.1929,0.0248
afrisenti_tso_prompt_1,f1,0.1167,
afrisenti_tso_prompt_2,acc,0.2323,0.0265
afrisenti_tso_prompt_2,f1,0.1870,
afrisenti_tso_prompt_3,acc,0.4449,0.0312
afrisenti_tso_prompt_3,f1,0.4660,
afrisenti_tso_prompt_4,acc,0.3583,0.0301
afrisenti_tso_prompt_4,f1,0.3691,
afrisenti_tso_prompt_5,acc,0.5039,0.0314
afrisenti_tso_prompt_5,f1,0.4636,
afrisenti_twi_prompt_1,acc,0.1928,0.0128
afrisenti_twi_prompt_1,f1,0.1281,
afrisenti_twi_prompt_2,acc,0.2223,0.0135
afrisenti_twi_prompt_2,f1,0.1785,
afrisenti_twi_prompt_3,acc,0.4278,0.0161
afrisenti_twi_prompt_3,f1,0.4456,
afrisenti_twi_prompt_4,acc,0.3509,0.0155
afrisenti_twi_prompt_4,f1,0.3707,
afrisenti_twi_prompt_5,acc,0.5079,0.0162
afrisenti_twi_prompt_5,f1,0.4866,
afrisenti_yor_prompt_1,acc,0.3781,0.0072
afrisenti_yor_prompt_1,f1,0.2333,
afrisenti_yor_prompt_2,acc,0.3646,0.0072
afrisenti_yor_prompt_2,f1,0.2035,
afrisenti_yor_prompt_3,acc,0.3426,0.0071
afrisenti_yor_prompt_3,f1,0.3142,
afrisenti_yor_prompt_4,acc,0.4505,0.0074
afrisenti_yor_prompt_4,f1,0.4520,
afrisenti_yor_prompt_5,acc,0.3475,0.0071
afrisenti_yor_prompt_5,f1,0.3041,
