Tasks,Metric,Value,Stderr
afrixnli_translate_amh_prompt_1,acc,0.3333,0.0193
afrixnli_translate_amh_prompt_1,f1,0.1667,
afrixnli_translate_amh_prompt_2,acc,0.4900,0.0204
afrixnli_translate_amh_prompt_2,f1,0.3974,
afrixnli_translate_amh_prompt_3,acc,0.3600,0.0196
afrixnli_translate_amh_prompt_3,f1,0.2711,
afrixnli_translate_amh_prompt_4,acc,0.3717,0.0197
afrixnli_translate_amh_prompt_4,f1,0.2973,
afrixnli_translate_amh_prompt_5,acc,0.3533,0.0195
afrixnli_translate_amh_prompt_5,f1,0.2288,
afrixnli_translate_ewe_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ewe_prompt_1,f1,0.1667,
afrixnli_translate_ewe_prompt_2,acc,0.4200,0.0202
afrixnli_translate_ewe_prompt_2,f1,0.3251,
afrixnli_translate_ewe_prompt_3,acc,0.3300,0.0192
afrixnli_translate_ewe_prompt_3,f1,0.2326,
afrixnli_translate_ewe_prompt_4,acc,0.3433,0.0194
afrixnli_translate_ewe_prompt_4,f1,0.2742,
afrixnli_translate_ewe_prompt_5,acc,0.3417,0.0194
afrixnli_translate_ewe_prompt_5,f1,0.2240,
afrixnli_translate_fra_prompt_1,acc,0.3333,0.0193
afrixnli_translate_fra_prompt_1,f1,0.1667,
afrixnli_translate_fra_prompt_2,acc,0.4967,0.0204
afrixnli_translate_fra_prompt_2,f1,0.4035,
afrixnli_translate_fra_prompt_3,acc,0.3400,0.0194
afrixnli_translate_fra_prompt_3,f1,0.1865,
afrixnli_translate_fra_prompt_4,acc,0.3483,0.0195
afrixnli_translate_fra_prompt_4,f1,0.2061,
afrixnli_translate_fra_prompt_5,acc,0.3483,0.0195
afrixnli_translate_fra_prompt_5,f1,0.2194,
afrixnli_translate_hau_prompt_1,acc,0.3333,0.0193
afrixnli_translate_hau_prompt_1,f1,0.1667,
afrixnli_translate_hau_prompt_2,acc,0.4500,0.0203
afrixnli_translate_hau_prompt_2,f1,0.3510,
afrixnli_translate_hau_prompt_3,acc,0.3383,0.0193
afrixnli_translate_hau_prompt_3,f1,0.2027,
afrixnli_translate_hau_prompt_4,acc,0.3733,0.0198
afrixnli_translate_hau_prompt_4,f1,0.3272,
afrixnli_translate_hau_prompt_5,acc,0.3317,0.0192
afrixnli_translate_hau_prompt_5,f1,0.2046,
afrixnli_translate_ibo_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ibo_prompt_1,f1,0.1667,
afrixnli_translate_ibo_prompt_2,acc,0.4367,0.0203
afrixnli_translate_ibo_prompt_2,f1,0.3443,
afrixnli_translate_ibo_prompt_3,acc,0.3433,0.0194
afrixnli_translate_ibo_prompt_3,f1,0.1972,
afrixnli_translate_ibo_prompt_4,acc,0.3383,0.0193
afrixnli_translate_ibo_prompt_4,f1,0.2123,
afrixnli_translate_ibo_prompt_5,acc,0.3467,0.0194
afrixnli_translate_ibo_prompt_5,f1,0.2127,
afrixnli_translate_kin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_kin_prompt_1,f1,0.1667,
afrixnli_translate_kin_prompt_2,acc,0.4283,0.0202
afrixnli_translate_kin_prompt_2,f1,0.3351,
afrixnli_translate_kin_prompt_3,acc,0.3667,0.0197
afrixnli_translate_kin_prompt_3,f1,0.3038,
afrixnli_translate_kin_prompt_4,acc,0.3617,0.0196
afrixnli_translate_kin_prompt_4,f1,0.3055,
afrixnli_translate_kin_prompt_5,acc,0.3483,0.0195
afrixnli_translate_kin_prompt_5,f1,0.2461,
afrixnli_translate_lin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lin_prompt_1,f1,0.1667,
afrixnli_translate_lin_prompt_2,acc,0.3500,0.0195
afrixnli_translate_lin_prompt_2,f1,0.2528,
afrixnli_translate_lin_prompt_3,acc,0.3550,0.0196
afrixnli_translate_lin_prompt_3,f1,0.2815,
afrixnli_translate_lin_prompt_4,acc,0.3483,0.0195
afrixnli_translate_lin_prompt_4,f1,0.3034,
afrixnli_translate_lin_prompt_5,acc,0.3517,0.0195
afrixnli_translate_lin_prompt_5,f1,0.2582,
afrixnli_translate_lug_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lug_prompt_1,f1,0.1667,
afrixnli_translate_lug_prompt_2,acc,0.4367,0.0203
afrixnli_translate_lug_prompt_2,f1,0.3453,
afrixnli_translate_lug_prompt_3,acc,0.3450,0.0194
afrixnli_translate_lug_prompt_3,f1,0.2042,
afrixnli_translate_lug_prompt_4,acc,0.3517,0.0195
afrixnli_translate_lug_prompt_4,f1,0.2079,
afrixnli_translate_lug_prompt_5,acc,0.3383,0.0193
afrixnli_translate_lug_prompt_5,f1,0.2137,
afrixnli_translate_orm_prompt_1,acc,0.3333,0.0193
afrixnli_translate_orm_prompt_1,f1,0.1667,
afrixnli_translate_orm_prompt_2,acc,0.4467,0.0203
afrixnli_translate_orm_prompt_2,f1,0.3577,
afrixnli_translate_orm_prompt_3,acc,0.3383,0.0193
afrixnli_translate_orm_prompt_3,f1,0.1800,
afrixnli_translate_orm_prompt_4,acc,0.3550,0.0196
afrixnli_translate_orm_prompt_4,f1,0.2142,
afrixnli_translate_orm_prompt_5,acc,0.3333,0.0193
afrixnli_translate_orm_prompt_5,f1,0.1991,
afrixnli_translate_sna_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sna_prompt_1,f1,0.1667,
afrixnli_translate_sna_prompt_2,acc,0.4533,0.0203
afrixnli_translate_sna_prompt_2,f1,0.3637,
afrixnli_translate_sna_prompt_3,acc,0.3450,0.0194
afrixnli_translate_sna_prompt_3,f1,0.2118,
afrixnli_translate_sna_prompt_4,acc,0.3750,0.0198
afrixnli_translate_sna_prompt_4,f1,0.2985,
afrixnli_translate_sna_prompt_5,acc,0.3300,0.0192
afrixnli_translate_sna_prompt_5,f1,0.2020,
afrixnli_translate_sot_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sot_prompt_1,f1,0.1667,
afrixnli_translate_sot_prompt_2,acc,0.4750,0.0204
afrixnli_translate_sot_prompt_2,f1,0.3808,
afrixnli_translate_sot_prompt_3,acc,0.3567,0.0196
afrixnli_translate_sot_prompt_3,f1,0.2227,
afrixnli_translate_sot_prompt_4,acc,0.3583,0.0196
afrixnli_translate_sot_prompt_4,f1,0.2488,
afrixnli_translate_sot_prompt_5,acc,0.3333,0.0193
afrixnli_translate_sot_prompt_5,f1,0.2003,
afrixnli_translate_swa_prompt_1,acc,0.3333,0.0193
afrixnli_translate_swa_prompt_1,f1,0.1667,
afrixnli_translate_swa_prompt_2,acc,0.4633,0.0204
afrixnli_translate_swa_prompt_2,f1,0.3690,
afrixnli_translate_swa_prompt_3,acc,0.3533,0.0195
afrixnli_translate_swa_prompt_3,f1,0.2244,
afrixnli_translate_swa_prompt_4,acc,0.3833,0.0199
afrixnli_translate_swa_prompt_4,f1,0.2907,
afrixnli_translate_swa_prompt_5,acc,0.3500,0.0195
afrixnli_translate_swa_prompt_5,f1,0.2162,
afrixnli_translate_twi_prompt_1,acc,0.3333,0.0193
afrixnli_translate_twi_prompt_1,f1,0.1667,
afrixnli_translate_twi_prompt_2,acc,0.4100,0.0201
afrixnli_translate_twi_prompt_2,f1,0.3116,
afrixnli_translate_twi_prompt_3,acc,0.3433,0.0194
afrixnli_translate_twi_prompt_3,f1,0.2589,
afrixnli_translate_twi_prompt_4,acc,0.3317,0.0192
afrixnli_translate_twi_prompt_4,f1,0.2548,
afrixnli_translate_twi_prompt_5,acc,0.3350,0.0193
afrixnli_translate_twi_prompt_5,f1,0.2103,
afrixnli_translate_wol_prompt_1,acc,0.3333,0.0193
afrixnli_translate_wol_prompt_1,f1,0.1667,
afrixnli_translate_wol_prompt_2,acc,0.3767,0.0198
afrixnli_translate_wol_prompt_2,f1,0.2828,
afrixnli_translate_wol_prompt_3,acc,0.3233,0.0191
afrixnli_translate_wol_prompt_3,f1,0.2636,
afrixnli_translate_wol_prompt_4,acc,0.3300,0.0192
afrixnli_translate_wol_prompt_4,f1,0.2871,
afrixnli_translate_wol_prompt_5,acc,0.3433,0.0194
afrixnli_translate_wol_prompt_5,f1,0.2369,
afrixnli_translate_xho_prompt_1,acc,0.3333,0.0193
afrixnli_translate_xho_prompt_1,f1,0.1667,
afrixnli_translate_xho_prompt_2,acc,0.4533,0.0203
afrixnli_translate_xho_prompt_2,f1,0.3624,
afrixnli_translate_xho_prompt_3,acc,0.3517,0.0195
afrixnli_translate_xho_prompt_3,f1,0.2403,
afrixnli_translate_xho_prompt_4,acc,0.3650,0.0197
afrixnli_translate_xho_prompt_4,f1,0.2650,
afrixnli_translate_xho_prompt_5,acc,0.3400,0.0194
afrixnli_translate_xho_prompt_5,f1,0.2137,
afrixnli_translate_yor_prompt_1,acc,0.3333,0.0193
afrixnli_translate_yor_prompt_1,f1,0.1667,
afrixnli_translate_yor_prompt_2,acc,0.4333,0.0202
afrixnli_translate_yor_prompt_2,f1,0.3456,
afrixnli_translate_yor_prompt_3,acc,0.3400,0.0194
afrixnli_translate_yor_prompt_3,f1,0.1897,
afrixnli_translate_yor_prompt_4,acc,0.3467,0.0194
afrixnli_translate_yor_prompt_4,f1,0.2255,
afrixnli_translate_yor_prompt_5,acc,0.3283,0.0192
afrixnli_translate_yor_prompt_5,f1,0.2011,
afrixnli_translate_zul_prompt_1,acc,0.3333,0.0193
afrixnli_translate_zul_prompt_1,f1,0.1667,
afrixnli_translate_zul_prompt_2,acc,0.4567,0.0204
afrixnli_translate_zul_prompt_2,f1,0.3628,
afrixnli_translate_zul_prompt_3,acc,0.3433,0.0194
afrixnli_translate_zul_prompt_3,f1,0.2389,
afrixnli_translate_zul_prompt_4,acc,0.3550,0.0196
afrixnli_translate_zul_prompt_4,f1,0.2769,
afrixnli_translate_zul_prompt_5,acc,0.3617,0.0196
afrixnli_translate_zul_prompt_5,f1,0.2414,
