Tasks,Metric,Value,Stderr
afrixnli_amh_prompt_1,acc,0.3333,0.0193
afrixnli_amh_prompt_1,f1,0.1667,
afrixnli_amh_prompt_2,acc,0.3367,0.0193
afrixnli_amh_prompt_2,f1,0.1895,
afrixnli_amh_prompt_3,acc,0.3367,0.0193
afrixnli_amh_prompt_3,f1,0.2711,
afrixnli_amh_prompt_4,acc,0.3483,0.0195
afrixnli_amh_prompt_4,f1,0.2326,
afrixnli_amh_prompt_5,acc,0.3500,0.0195
afrixnli_amh_prompt_5,f1,0.2460,
afrixnli_eng_prompt_1,acc,0.3333,0.0193
afrixnli_eng_prompt_1,f1,0.1667,
afrixnli_eng_prompt_2,acc,0.4333,0.0202
afrixnli_eng_prompt_2,f1,0.3436,
afrixnli_eng_prompt_3,acc,0.3383,0.0193
afrixnli_eng_prompt_3,f1,0.1831,
afrixnli_eng_prompt_4,acc,0.3383,0.0193
afrixnli_eng_prompt_4,f1,0.1859,
afrixnli_eng_prompt_5,acc,0.3467,0.0194
afrixnli_eng_prompt_5,f1,0.2061,
afrixnli_ewe_prompt_1,acc,0.3333,0.0193
afrixnli_ewe_prompt_1,f1,0.1667,
afrixnli_ewe_prompt_2,acc,0.3233,0.0191
afrixnli_ewe_prompt_2,f1,0.2050,
afrixnli_ewe_prompt_3,acc,0.3350,0.0193
afrixnli_ewe_prompt_3,f1,0.2680,
afrixnli_ewe_prompt_4,acc,0.3483,0.0195
afrixnli_ewe_prompt_4,f1,0.2770,
afrixnli_ewe_prompt_5,acc,0.3233,0.0191
afrixnli_ewe_prompt_5,f1,0.1629,
afrixnli_fra_prompt_1,acc,0.3333,0.0193
afrixnli_fra_prompt_1,f1,0.1667,
afrixnli_fra_prompt_2,acc,0.4733,0.0204
afrixnli_fra_prompt_2,f1,0.3806,
afrixnli_fra_prompt_3,acc,0.3367,0.0193
afrixnli_fra_prompt_3,f1,0.1769,
afrixnli_fra_prompt_4,acc,0.3367,0.0193
afrixnli_fra_prompt_4,f1,0.1767,
afrixnli_fra_prompt_5,acc,0.3417,0.0194
afrixnli_fra_prompt_5,f1,0.2022,
afrixnli_hau_prompt_1,acc,0.3333,0.0193
afrixnli_hau_prompt_1,f1,0.1667,
afrixnli_hau_prompt_2,acc,0.3283,0.0192
afrixnli_hau_prompt_2,f1,0.1796,
afrixnli_hau_prompt_3,acc,0.3250,0.0191
afrixnli_hau_prompt_3,f1,0.1896,
afrixnli_hau_prompt_4,acc,0.3317,0.0192
afrixnli_hau_prompt_4,f1,0.1753,
afrixnli_hau_prompt_5,acc,0.3250,0.0191
afrixnli_hau_prompt_5,f1,0.2029,
afrixnli_ibo_prompt_1,acc,0.3333,0.0193
afrixnli_ibo_prompt_1,f1,0.1667,
afrixnli_ibo_prompt_2,acc,0.3383,0.0193
afrixnli_ibo_prompt_2,f1,0.1800,
afrixnli_ibo_prompt_3,acc,0.3317,0.0192
afrixnli_ibo_prompt_3,f1,0.2015,
afrixnli_ibo_prompt_4,acc,0.3283,0.0192
afrixnli_ibo_prompt_4,f1,0.1684,
afrixnli_ibo_prompt_5,acc,0.3300,0.0192
afrixnli_ibo_prompt_5,f1,0.1686,
afrixnli_kin_prompt_1,acc,0.3333,0.0193
afrixnli_kin_prompt_1,f1,0.1667,
afrixnli_kin_prompt_2,acc,0.3283,0.0192
afrixnli_kin_prompt_2,f1,0.1678,
afrixnli_kin_prompt_3,acc,0.3383,0.0193
afrixnli_kin_prompt_3,f1,0.2311,
afrixnli_kin_prompt_4,acc,0.3500,0.0195
afrixnli_kin_prompt_4,f1,0.2984,
afrixnli_kin_prompt_5,acc,0.3267,0.0192
afrixnli_kin_prompt_5,f1,0.2585,
afrixnli_lin_prompt_1,acc,0.3333,0.0193
afrixnli_lin_prompt_1,f1,0.1667,
afrixnli_lin_prompt_2,acc,0.3517,0.0195
afrixnli_lin_prompt_2,f1,0.2432,
afrixnli_lin_prompt_3,acc,0.3250,0.0191
afrixnli_lin_prompt_3,f1,0.2557,
afrixnli_lin_prompt_4,acc,0.3300,0.0192
afrixnli_lin_prompt_4,f1,0.2663,
afrixnli_lin_prompt_5,acc,0.3417,0.0194
afrixnli_lin_prompt_5,f1,0.2187,
afrixnli_lug_prompt_1,acc,0.3333,0.0193
afrixnli_lug_prompt_1,f1,0.1667,
afrixnli_lug_prompt_2,acc,0.3367,0.0193
afrixnli_lug_prompt_2,f1,0.1740,
afrixnli_lug_prompt_3,acc,0.3333,0.0193
afrixnli_lug_prompt_3,f1,0.1892,
afrixnli_lug_prompt_4,acc,0.3333,0.0193
afrixnli_lug_prompt_4,f1,0.1811,
afrixnli_lug_prompt_5,acc,0.3333,0.0193
afrixnli_lug_prompt_5,f1,0.1695,
afrixnli_orm_prompt_1,acc,0.3333,0.0193
afrixnli_orm_prompt_1,f1,0.1667,
afrixnli_orm_prompt_2,acc,0.3400,0.0194
afrixnli_orm_prompt_2,f1,0.2284,
afrixnli_orm_prompt_3,acc,0.3367,0.0193
afrixnli_orm_prompt_3,f1,0.1739,
afrixnli_orm_prompt_4,acc,0.3350,0.0193
afrixnli_orm_prompt_4,f1,0.1704,
afrixnli_orm_prompt_5,acc,0.3350,0.0193
afrixnli_orm_prompt_5,f1,0.2240,
afrixnli_sna_prompt_1,acc,0.3333,0.0193
afrixnli_sna_prompt_1,f1,0.1667,
afrixnli_sna_prompt_2,acc,0.3300,0.0192
afrixnli_sna_prompt_2,f1,0.1683,
afrixnli_sna_prompt_3,acc,0.3383,0.0193
afrixnli_sna_prompt_3,f1,0.2161,
afrixnli_sna_prompt_4,acc,0.3317,0.0192
afrixnli_sna_prompt_4,f1,0.2037,
afrixnli_sna_prompt_5,acc,0.3350,0.0193
afrixnli_sna_prompt_5,f1,0.1822,
afrixnli_sot_prompt_1,acc,0.3333,0.0193
afrixnli_sot_prompt_1,f1,0.1667,
afrixnli_sot_prompt_2,acc,0.3333,0.0193
afrixnli_sot_prompt_2,f1,0.2335,
afrixnli_sot_prompt_3,acc,0.3333,0.0193
afrixnli_sot_prompt_3,f1,0.1756,
afrixnli_sot_prompt_4,acc,0.3333,0.0193
afrixnli_sot_prompt_4,f1,0.1756,
afrixnli_sot_prompt_5,acc,0.3333,0.0193
afrixnli_sot_prompt_5,f1,0.1780,
afrixnli_swa_prompt_1,acc,0.3333,0.0193
afrixnli_swa_prompt_1,f1,0.1667,
afrixnli_swa_prompt_2,acc,0.3450,0.0194
afrixnli_swa_prompt_2,f1,0.1960,
afrixnli_swa_prompt_3,acc,0.3467,0.0194
afrixnli_swa_prompt_3,f1,0.2240,
afrixnli_swa_prompt_4,acc,0.3467,0.0194
afrixnli_swa_prompt_4,f1,0.2240,
afrixnli_swa_prompt_5,acc,0.3433,0.0194
afrixnli_swa_prompt_5,f1,0.2189,
afrixnli_twi_prompt_1,acc,0.3333,0.0193
afrixnli_twi_prompt_1,f1,0.1667,
afrixnli_twi_prompt_2,acc,0.3300,0.0192
afrixnli_twi_prompt_2,f1,0.1712,
afrixnli_twi_prompt_3,acc,0.3300,0.0192
afrixnli_twi_prompt_3,f1,0.2635,
afrixnli_twi_prompt_4,acc,0.3367,0.0193
afrixnli_twi_prompt_4,f1,0.2680,
afrixnli_twi_prompt_5,acc,0.3150,0.0190
afrixnli_twi_prompt_5,f1,0.1802,
afrixnli_wol_prompt_1,acc,0.3333,0.0193
