Tasks,Metric,Value,Stderr
afrixnli_translate_amh_prompt_1,acc,0.3333,0.0193
afrixnli_translate_amh_prompt_1,f1,0.1667,
afrixnli_translate_amh_prompt_2,acc,0.3883,0.0199
afrixnli_translate_amh_prompt_2,f1,0.3549,
afrixnli_translate_amh_prompt_3,acc,0.3200,0.0191
afrixnli_translate_amh_prompt_3,f1,0.2720,
afrixnli_translate_amh_prompt_4,acc,0.3650,0.0197
afrixnli_translate_amh_prompt_4,f1,0.3393,
afrixnli_translate_amh_prompt_5,acc,0.3483,0.0195
afrixnli_translate_amh_prompt_5,f1,0.2381,
afrixnli_translate_ewe_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ewe_prompt_1,f1,0.1667,
afrixnli_translate_ewe_prompt_2,acc,0.3850,0.0199
afrixnli_translate_ewe_prompt_2,f1,0.3413,
afrixnli_translate_ewe_prompt_3,acc,0.3083,0.0189
afrixnli_translate_ewe_prompt_3,f1,0.2718,
afrixnli_translate_ewe_prompt_4,acc,0.3317,0.0192
afrixnli_translate_ewe_prompt_4,f1,0.3075,
afrixnli_translate_ewe_prompt_5,acc,0.3333,0.0193
afrixnli_translate_ewe_prompt_5,f1,0.2251,
afrixnli_translate_fra_prompt_1,acc,0.3333,0.0193
afrixnli_translate_fra_prompt_1,f1,0.1667,
afrixnli_translate_fra_prompt_2,acc,0.4417,0.0203
afrixnli_translate_fra_prompt_2,f1,0.4165,
afrixnli_translate_fra_prompt_3,acc,0.3300,0.0192
afrixnli_translate_fra_prompt_3,f1,0.2150,
afrixnli_translate_fra_prompt_4,acc,0.3967,0.0200
afrixnli_translate_fra_prompt_4,f1,0.3280,
afrixnli_translate_fra_prompt_5,acc,0.3517,0.0195
afrixnli_translate_fra_prompt_5,f1,0.2256,
afrixnli_translate_hau_prompt_1,acc,0.3333,0.0193
afrixnli_translate_hau_prompt_1,f1,0.1667,
afrixnli_translate_hau_prompt_2,acc,0.4150,0.0201
afrixnli_translate_hau_prompt_2,f1,0.3728,
afrixnli_translate_hau_prompt_3,acc,0.3350,0.0193
afrixnli_translate_hau_prompt_3,f1,0.1960,
afrixnli_translate_hau_prompt_4,acc,0.3733,0.0198
afrixnli_translate_hau_prompt_4,f1,0.2998,
afrixnli_translate_hau_prompt_5,acc,0.3350,0.0193
afrixnli_translate_hau_prompt_5,f1,0.2061,
afrixnli_translate_ibo_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ibo_prompt_1,f1,0.1667,
afrixnli_translate_ibo_prompt_2,acc,0.4367,0.0203
afrixnli_translate_ibo_prompt_2,f1,0.4065,
afrixnli_translate_ibo_prompt_3,acc,0.3233,0.0191
afrixnli_translate_ibo_prompt_3,f1,0.2009,
afrixnli_translate_ibo_prompt_4,acc,0.3417,0.0194
afrixnli_translate_ibo_prompt_4,f1,0.2793,
afrixnli_translate_ibo_prompt_5,acc,0.3300,0.0192
afrixnli_translate_ibo_prompt_5,f1,0.1926,
afrixnli_translate_kin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_kin_prompt_1,f1,0.1667,
afrixnli_translate_kin_prompt_2,acc,0.3817,0.0198
afrixnli_translate_kin_prompt_2,f1,0.3448,
afrixnli_translate_kin_prompt_3,acc,0.3133,0.0190
afrixnli_translate_kin_prompt_3,f1,0.3110,
afrixnli_translate_kin_prompt_4,acc,0.3367,0.0193
afrixnli_translate_kin_prompt_4,f1,0.3153,
afrixnli_translate_kin_prompt_5,acc,0.3517,0.0195
afrixnli_translate_kin_prompt_5,f1,0.2567,
afrixnli_translate_lin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lin_prompt_1,f1,0.1667,
afrixnli_translate_lin_prompt_2,acc,0.3283,0.0192
afrixnli_translate_lin_prompt_2,f1,0.2837,
afrixnli_translate_lin_prompt_3,acc,0.3317,0.0192
afrixnli_translate_lin_prompt_3,f1,0.3145,
afrixnli_translate_lin_prompt_4,acc,0.3583,0.0196
afrixnli_translate_lin_prompt_4,f1,0.3337,
afrixnli_translate_lin_prompt_5,acc,0.3383,0.0193
afrixnli_translate_lin_prompt_5,f1,0.2398,
afrixnli_translate_lug_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lug_prompt_1,f1,0.1667,
afrixnli_translate_lug_prompt_2,acc,0.4233,0.0202
afrixnli_translate_lug_prompt_2,f1,0.3879,
afrixnli_translate_lug_prompt_3,acc,0.3383,0.0193
afrixnli_translate_lug_prompt_3,f1,0.1971,
afrixnli_translate_lug_prompt_4,acc,0.3600,0.0196
afrixnli_translate_lug_prompt_4,f1,0.2707,
afrixnli_translate_lug_prompt_5,acc,0.3450,0.0194
afrixnli_translate_lug_prompt_5,f1,0.2130,
afrixnli_translate_orm_prompt_1,acc,0.3333,0.0193
afrixnli_translate_orm_prompt_1,f1,0.1667,
afrixnli_translate_orm_prompt_2,acc,0.4167,0.0201
afrixnli_translate_orm_prompt_2,f1,0.3839,
afrixnli_translate_orm_prompt_3,acc,0.3317,0.0192
afrixnli_translate_orm_prompt_3,f1,0.1955,
afrixnli_translate_orm_prompt_4,acc,0.3517,0.0195
afrixnli_translate_orm_prompt_4,f1,0.2721,
afrixnli_translate_orm_prompt_5,acc,0.3500,0.0195
afrixnli_translate_orm_prompt_5,f1,0.2225,
afrixnli_translate_sna_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sna_prompt_1,f1,0.1667,
afrixnli_translate_sna_prompt_2,acc,0.4167,0.0201
afrixnli_translate_sna_prompt_2,f1,0.3871,
afrixnli_translate_sna_prompt_3,acc,0.3250,0.0191
afrixnli_translate_sna_prompt_3,f1,0.2033,
afrixnli_translate_sna_prompt_4,acc,0.3567,0.0196
afrixnli_translate_sna_prompt_4,f1,0.2747,
afrixnli_translate_sna_prompt_5,acc,0.3400,0.0194
afrixnli_translate_sna_prompt_5,f1,0.2095,
afrixnli_translate_sot_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sot_prompt_1,f1,0.1667,
afrixnli_translate_sot_prompt_2,acc,0.4000,0.0200
afrixnli_translate_sot_prompt_2,f1,0.3605,
afrixnli_translate_sot_prompt_3,acc,0.3333,0.0193
afrixnli_translate_sot_prompt_3,f1,0.2025,
afrixnli_translate_sot_prompt_4,acc,0.3683,0.0197
afrixnli_translate_sot_prompt_4,f1,0.2911,
afrixnli_translate_sot_prompt_5,acc,0.3317,0.0192
afrixnli_translate_sot_prompt_5,f1,0.2032,
afrixnli_translate_swa_prompt_1,acc,0.3333,0.0193
afrixnli_translate_swa_prompt_1,f1,0.1667,
afrixnli_translate_swa_prompt_2,acc,0.4050,0.0201
afrixnli_translate_swa_prompt_2,f1,0.3673,
afrixnli_translate_swa_prompt_3,acc,0.3433,0.0194
afrixnli_translate_swa_prompt_3,f1,0.2264,
afrixnli_translate_swa_prompt_4,acc,0.3850,0.0199
afrixnli_translate_swa_prompt_4,f1,0.3118,
afrixnli_translate_swa_prompt_5,acc,0.3250,0.0191
afrixnli_translate_swa_prompt_5,f1,0.1980,
afrixnli_translate_twi_prompt_1,acc,0.3333,0.0193
afrixnli_translate_twi_prompt_1,f1,0.1667,
afrixnli_translate_twi_prompt_2,acc,0.4033,0.0200
afrixnli_translate_twi_prompt_2,f1,0.3756,
afrixnli_translate_twi_prompt_3,acc,0.3083,0.0189
afrixnli_translate_twi_prompt_3,f1,0.2626,
afrixnli_translate_twi_prompt_4,acc,0.3300,0.0192
afrixnli_translate_twi_prompt_4,f1,0.3020,
afrixnli_translate_twi_prompt_5,acc,0.3350,0.0193
afrixnli_translate_twi_prompt_5,f1,0.2117,
afrixnli_translate_wol_prompt_1,acc,0.3333,0.0193
afrixnli_translate_wol_prompt_1,f1,0.1667,
afrixnli_translate_wol_prompt_2,acc,0.3667,0.0197
afrixnli_translate_wol_prompt_2,f1,0.3167,
afrixnli_translate_wol_prompt_3,acc,0.3150,0.0190
afrixnli_translate_wol_prompt_3,f1,0.3028,
afrixnli_translate_wol_prompt_4,acc,0.3050,0.0188
afrixnli_translate_wol_prompt_4,f1,0.2822,
afrixnli_translate_wol_prompt_5,acc,0.3450,0.0194
afrixnli_translate_wol_prompt_5,f1,0.2497,
afrixnli_translate_xho_prompt_1,acc,0.3333,0.0193
afrixnli_translate_xho_prompt_1,f1,0.1667,
afrixnli_translate_xho_prompt_2,acc,0.4117,0.0201
afrixnli_translate_xho_prompt_2,f1,0.3822,
afrixnli_translate_xho_prompt_3,acc,0.3450,0.0194
afrixnli_translate_xho_prompt_3,f1,0.2815,
afrixnli_translate_xho_prompt_4,acc,0.3800,0.0198
afrixnli_translate_xho_prompt_4,f1,0.3228,
afrixnli_translate_xho_prompt_5,acc,0.3450,0.0194
afrixnli_translate_xho_prompt_5,f1,0.2288,
afrixnli_translate_yor_prompt_1,acc,0.3333,0.0193
afrixnli_translate_yor_prompt_1,f1,0.1667,
afrixnli_translate_yor_prompt_2,acc,0.4017,0.0200
afrixnli_translate_yor_prompt_2,f1,0.3748,
afrixnli_translate_yor_prompt_3,acc,0.3467,0.0194
afrixnli_translate_yor_prompt_3,f1,0.2181,
afrixnli_translate_yor_prompt_4,acc,0.3600,0.0196
afrixnli_translate_yor_prompt_4,f1,0.2806,
afrixnli_translate_yor_prompt_5,acc,0.3533,0.0195
afrixnli_translate_yor_prompt_5,f1,0.2271,
afrixnli_translate_zul_prompt_1,acc,0.3333,0.0193
afrixnli_translate_zul_prompt_1,f1,0.1667,
afrixnli_translate_zul_prompt_2,acc,0.4233,0.0202
afrixnli_translate_zul_prompt_2,f1,0.3991,
afrixnli_translate_zul_prompt_3,acc,0.3217,0.0191
afrixnli_translate_zul_prompt_3,f1,0.2760,
afrixnli_translate_zul_prompt_4,acc,0.3383,0.0193
afrixnli_translate_zul_prompt_4,f1,0.2992,
afrixnli_translate_zul_prompt_5,acc,0.3417,0.0194
afrixnli_translate_zul_prompt_5,f1,0.2155,
