Tasks,Metric,Value,Stderr
afrixnli_translate_amh_prompt_1,acc,0.3333,0.0193
afrixnli_translate_amh_prompt_1,f1,0.1667,
afrixnli_translate_amh_prompt_2,acc,0.5617,0.0203
afrixnli_translate_amh_prompt_2,f1,0.5577,
afrixnli_translate_amh_prompt_3,acc,0.4067,0.0201
afrixnli_translate_amh_prompt_3,f1,0.3879,
afrixnli_translate_amh_prompt_4,acc,0.3667,0.0197
afrixnli_translate_amh_prompt_4,f1,0.3205,
afrixnli_translate_amh_prompt_5,acc,0.3500,0.0195
afrixnli_translate_amh_prompt_5,f1,0.2790,
afrixnli_translate_ewe_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ewe_prompt_1,f1,0.1667,
afrixnli_translate_ewe_prompt_2,acc,0.4700,0.0204
afrixnli_translate_ewe_prompt_2,f1,0.4464,
afrixnli_translate_ewe_prompt_3,acc,0.3950,0.0200
afrixnli_translate_ewe_prompt_3,f1,0.3812,
afrixnli_translate_ewe_prompt_4,acc,0.3600,0.0196
afrixnli_translate_ewe_prompt_4,f1,0.3136,
afrixnli_translate_ewe_prompt_5,acc,0.3550,0.0196
afrixnli_translate_ewe_prompt_5,f1,0.2932,
afrixnli_translate_fra_prompt_1,acc,0.3333,0.0193
afrixnli_translate_fra_prompt_1,f1,0.1667,
afrixnli_translate_fra_prompt_2,acc,0.6283,0.0197
afrixnli_translate_fra_prompt_2,f1,0.6282,
afrixnli_translate_fra_prompt_3,acc,0.4733,0.0204
afrixnli_translate_fra_prompt_3,f1,0.4470,
afrixnli_translate_fra_prompt_4,acc,0.4850,0.0204
afrixnli_translate_fra_prompt_4,f1,0.4277,
afrixnli_translate_fra_prompt_5,acc,0.4383,0.0203
afrixnli_translate_fra_prompt_5,f1,0.3731,
afrixnli_translate_hau_prompt_1,acc,0.3333,0.0193
afrixnli_translate_hau_prompt_1,f1,0.1667,
afrixnli_translate_hau_prompt_2,acc,0.5250,0.0204
afrixnli_translate_hau_prompt_2,f1,0.5132,
afrixnli_translate_hau_prompt_3,acc,0.4283,0.0202
afrixnli_translate_hau_prompt_3,f1,0.4116,
afrixnli_translate_hau_prompt_4,acc,0.4500,0.0203
afrixnli_translate_hau_prompt_4,f1,0.4388,
afrixnli_translate_hau_prompt_5,acc,0.3917,0.0199
afrixnli_translate_hau_prompt_5,f1,0.3335,
afrixnli_translate_ibo_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ibo_prompt_1,f1,0.1667,
afrixnli_translate_ibo_prompt_2,acc,0.5317,0.0204
afrixnli_translate_ibo_prompt_2,f1,0.5217,
afrixnli_translate_ibo_prompt_3,acc,0.4200,0.0202
afrixnli_translate_ibo_prompt_3,f1,0.4145,
afrixnli_translate_ibo_prompt_4,acc,0.4250,0.0202
afrixnli_translate_ibo_prompt_4,f1,0.3793,
afrixnli_translate_ibo_prompt_5,acc,0.4017,0.0200
afrixnli_translate_ibo_prompt_5,f1,0.3366,
afrixnli_translate_kin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_kin_prompt_1,f1,0.1667,
afrixnli_translate_kin_prompt_2,acc,0.4783,0.0204
afrixnli_translate_kin_prompt_2,f1,0.4662,
afrixnli_translate_kin_prompt_3,acc,0.3583,0.0196
afrixnli_translate_kin_prompt_3,f1,0.3267,
afrixnli_translate_kin_prompt_4,acc,0.3433,0.0194
afrixnli_translate_kin_prompt_4,f1,0.3127,
afrixnli_translate_kin_prompt_5,acc,0.3483,0.0195
afrixnli_translate_kin_prompt_5,f1,0.2690,
afrixnli_translate_lin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lin_prompt_1,f1,0.1667,
afrixnli_translate_lin_prompt_2,acc,0.3033,0.0188
afrixnli_translate_lin_prompt_2,f1,0.2626,
afrixnli_translate_lin_prompt_3,acc,0.3383,0.0193
afrixnli_translate_lin_prompt_3,f1,0.3283,
afrixnli_translate_lin_prompt_4,acc,0.3217,0.0191
afrixnli_translate_lin_prompt_4,f1,0.3127,
afrixnli_translate_lin_prompt_5,acc,0.3233,0.0191
afrixnli_translate_lin_prompt_5,f1,0.2555,
afrixnli_translate_lug_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lug_prompt_1,f1,0.1667,
afrixnli_translate_lug_prompt_2,acc,0.5067,0.0204
afrixnli_translate_lug_prompt_2,f1,0.4927,
afrixnli_translate_lug_prompt_3,acc,0.4350,0.0203
afrixnli_translate_lug_prompt_3,f1,0.4287,
afrixnli_translate_lug_prompt_4,acc,0.3917,0.0199
afrixnli_translate_lug_prompt_4,f1,0.3503,
afrixnli_translate_lug_prompt_5,acc,0.3967,0.0200
afrixnli_translate_lug_prompt_5,f1,0.3290,
afrixnli_translate_orm_prompt_1,acc,0.3333,0.0193
afrixnli_translate_orm_prompt_1,f1,0.1667,
afrixnli_translate_orm_prompt_2,acc,0.5283,0.0204
afrixnli_translate_orm_prompt_2,f1,0.5246,
afrixnli_translate_orm_prompt_3,acc,0.4433,0.0203
afrixnli_translate_orm_prompt_3,f1,0.4388,
afrixnli_translate_orm_prompt_4,acc,0.4017,0.0200
afrixnli_translate_orm_prompt_4,f1,0.3446,
afrixnli_translate_orm_prompt_5,acc,0.3883,0.0199
afrixnli_translate_orm_prompt_5,f1,0.3271,
afrixnli_translate_sna_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sna_prompt_1,f1,0.1667,
afrixnli_translate_sna_prompt_2,acc,0.5400,0.0204
afrixnli_translate_sna_prompt_2,f1,0.5376,
afrixnli_translate_sna_prompt_3,acc,0.4200,0.0202
afrixnli_translate_sna_prompt_3,f1,0.4058,
afrixnli_translate_sna_prompt_4,acc,0.4300,0.0202
afrixnli_translate_sna_prompt_4,f1,0.4036,
afrixnli_translate_sna_prompt_5,acc,0.4000,0.0200
afrixnli_translate_sna_prompt_5,f1,0.3347,
afrixnli_translate_sot_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sot_prompt_1,f1,0.1667,
afrixnli_translate_sot_prompt_2,acc,0.5400,0.0204
afrixnli_translate_sot_prompt_2,f1,0.5327,
afrixnli_translate_sot_prompt_3,acc,0.4183,0.0202
afrixnli_translate_sot_prompt_3,f1,0.3934,
afrixnli_translate_sot_prompt_4,acc,0.4267,0.0202
afrixnli_translate_sot_prompt_4,f1,0.3710,
afrixnli_translate_sot_prompt_5,acc,0.4333,0.0202
afrixnli_translate_sot_prompt_5,f1,0.3762,
afrixnli_translate_swa_prompt_1,acc,0.3333,0.0193
afrixnli_translate_swa_prompt_1,f1,0.1667,
afrixnli_translate_swa_prompt_2,acc,0.5700,0.0202
afrixnli_translate_swa_prompt_2,f1,0.5703,
afrixnli_translate_swa_prompt_3,acc,0.4367,0.0203
afrixnli_translate_swa_prompt_3,f1,0.4273,
afrixnli_translate_swa_prompt_4,acc,0.4450,0.0203
afrixnli_translate_swa_prompt_4,f1,0.3930,
afrixnli_translate_swa_prompt_5,acc,0.3967,0.0200
afrixnli_translate_swa_prompt_5,f1,0.3311,
afrixnli_translate_twi_prompt_1,acc,0.3333,0.0193
afrixnli_translate_twi_prompt_1,f1,0.1667,
afrixnli_translate_twi_prompt_2,acc,0.4500,0.0203
afrixnli_translate_twi_prompt_2,f1,0.4299,
afrixnli_translate_twi_prompt_3,acc,0.3450,0.0194
afrixnli_translate_twi_prompt_3,f1,0.3340,
afrixnli_translate_twi_prompt_4,acc,0.3267,0.0192
afrixnli_translate_twi_prompt_4,f1,0.2856,
afrixnli_translate_twi_prompt_5,acc,0.3333,0.0193
afrixnli_translate_twi_prompt_5,f1,0.2740,
afrixnli_translate_wol_prompt_1,acc,0.3333,0.0193
afrixnli_translate_wol_prompt_1,f1,0.1667,
afrixnli_translate_wol_prompt_2,acc,0.3967,0.0200
afrixnli_translate_wol_prompt_2,f1,0.3466,
afrixnli_translate_wol_prompt_3,acc,0.3367,0.0193
afrixnli_translate_wol_prompt_3,f1,0.3000,
afrixnli_translate_wol_prompt_4,acc,0.3400,0.0194
afrixnli_translate_wol_prompt_4,f1,0.3078,
afrixnli_translate_wol_prompt_5,acc,0.3433,0.0194
afrixnli_translate_wol_prompt_5,f1,0.2590,
afrixnli_translate_xho_prompt_1,acc,0.3333,0.0193
afrixnli_translate_xho_prompt_1,f1,0.1667,
afrixnli_translate_xho_prompt_2,acc,0.5517,0.0203
afrixnli_translate_xho_prompt_2,f1,0.5477,
afrixnli_translate_xho_prompt_3,acc,0.4283,0.0202
afrixnli_translate_xho_prompt_3,f1,0.4222,
afrixnli_translate_xho_prompt_4,acc,0.4150,0.0201
afrixnli_translate_xho_prompt_4,f1,0.4026,
afrixnli_translate_xho_prompt_5,acc,0.3867,0.0199
afrixnli_translate_xho_prompt_5,f1,0.3140,
afrixnli_translate_yor_prompt_1,acc,0.3333,0.0193
afrixnli_translate_yor_prompt_1,f1,0.1667,
afrixnli_translate_yor_prompt_2,acc,0.5183,0.0204
afrixnli_translate_yor_prompt_2,f1,0.5150,
afrixnli_translate_yor_prompt_3,acc,0.4217,0.0202
afrixnli_translate_yor_prompt_3,f1,0.3958,
afrixnli_translate_yor_prompt_4,acc,0.4450,0.0203
afrixnli_translate_yor_prompt_4,f1,0.4135,
afrixnli_translate_yor_prompt_5,acc,0.3833,0.0199
afrixnli_translate_yor_prompt_5,f1,0.3256,
afrixnli_translate_zul_prompt_1,acc,0.3333,0.0193
afrixnli_translate_zul_prompt_1,f1,0.1667,
afrixnli_translate_zul_prompt_2,acc,0.5500,0.0203
afrixnli_translate_zul_prompt_2,f1,0.5436,
afrixnli_translate_zul_prompt_3,acc,0.4200,0.0202
afrixnli_translate_zul_prompt_3,f1,0.4141,
afrixnli_translate_zul_prompt_4,acc,0.4067,0.0201
afrixnli_translate_zul_prompt_4,f1,0.3955,
afrixnli_translate_zul_prompt_5,acc,0.3917,0.0199
afrixnli_translate_zul_prompt_5,f1,0.3187,
