|        Tasks        |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------------------|------:|------|-----:|------|---|-----:|---|------|
|afrixnli_amh_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_amh_prompt_2|      1|none  |     0|acc   |↑  |0.3800|±  |0.0198|
|                     |       |none  |     0|f1    |↑  |0.3382|±  |   N/A|
|afrixnli_amh_prompt_3|      1|none  |     0|acc   |↑  |0.3400|±  |0.0194|
|                     |       |none  |     0|f1    |↑  |0.3296|±  |   N/A|
|afrixnli_amh_prompt_4|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.3225|±  |   N/A|
|afrixnli_amh_prompt_5|      1|none  |     0|acc   |↑  |0.3567|±  |0.0196|
|                     |       |none  |     0|f1    |↑  |0.2721|±  |   N/A|
|afrixnli_eng_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_eng_prompt_2|      1|none  |     0|acc   |↑  |0.5650|±  |0.0203|
|                     |       |none  |     0|f1    |↑  |0.5468|±  |   N/A|
|afrixnli_eng_prompt_3|      1|none  |     0|acc   |↑  |0.4117|±  |0.0201|
|                     |       |none  |     0|f1    |↑  |0.3380|±  |   N/A|
|afrixnli_eng_prompt_4|      1|none  |     0|acc   |↑  |0.4567|±  |0.0204|
|                     |       |none  |     0|f1    |↑  |0.4433|±  |   N/A|
|afrixnli_eng_prompt_5|      1|none  |     0|acc   |↑  |0.3550|±  |0.0196|
|                     |       |none  |     0|f1    |↑  |0.2260|±  |   N/A|
|afrixnli_ewe_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_ewe_prompt_2|      1|none  |     0|acc   |↑  |0.3550|±  |0.0196|
|                     |       |none  |     0|f1    |↑  |0.2438|±  |   N/A|
|afrixnli_ewe_prompt_3|      1|none  |     0|acc   |↑  |0.3367|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.2336|±  |   N/A|
|afrixnli_ewe_prompt_4|      1|none  |     0|acc   |↑  |0.3350|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1732|±  |   N/A|
|afrixnli_ewe_prompt_5|      1|none  |     0|acc   |↑  |0.3400|±  |0.0194|
|                     |       |none  |     0|f1    |↑  |0.1947|±  |   N/A|
|afrixnli_fra_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_fra_prompt_2|      1|none  |     0|acc   |↑  |0.5050|±  |0.0204|
|                     |       |none  |     0|f1    |↑  |0.4824|±  |   N/A|
|afrixnli_fra_prompt_3|      1|none  |     0|acc   |↑  |0.4583|±  |0.0204|
|                     |       |none  |     0|f1    |↑  |0.4451|±  |   N/A|
|afrixnli_fra_prompt_4|      1|none  |     0|acc   |↑  |0.4150|±  |0.0201|
|                     |       |none  |     0|f1    |↑  |0.3785|±  |   N/A|
|afrixnli_fra_prompt_5|      1|none  |     0|acc   |↑  |0.3350|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1790|±  |   N/A|
|afrixnli_hau_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_hau_prompt_2|      1|none  |     0|acc   |↑  |0.3700|±  |0.0197|
|                     |       |none  |     0|f1    |↑  |0.2971|±  |   N/A|
|afrixnli_hau_prompt_3|      1|none  |     0|acc   |↑  |0.3233|±  |0.0191|
|                     |       |none  |     0|f1    |↑  |0.2857|±  |   N/A|
|afrixnli_hau_prompt_4|      1|none  |     0|acc   |↑  |0.3150|±  |0.0190|
|                     |       |none  |     0|f1    |↑  |0.2100|±  |   N/A|
|afrixnli_hau_prompt_5|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1726|±  |   N/A|
|afrixnli_ibo_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_ibo_prompt_2|      1|none  |     0|acc   |↑  |0.3883|±  |0.0199|
|                     |       |none  |     0|f1    |↑  |0.3262|±  |   N/A|
|afrixnli_ibo_prompt_3|      1|none  |     0|acc   |↑  |0.3617|±  |0.0196|
|                     |       |none  |     0|f1    |↑  |0.3328|±  |   N/A|
|afrixnli_ibo_prompt_4|      1|none  |     0|acc   |↑  |0.3467|±  |0.0194|
|                     |       |none  |     0|f1    |↑  |0.3101|±  |   N/A|
|afrixnli_ibo_prompt_5|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_kin_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_kin_prompt_2|      1|none  |     0|acc   |↑  |0.3700|±  |0.0197|
|                     |       |none  |     0|f1    |↑  |0.3182|±  |   N/A|
|afrixnli_kin_prompt_3|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.2065|±  |   N/A|
|afrixnli_kin_prompt_4|      1|none  |     0|acc   |↑  |0.3300|±  |0.0192|
|                     |       |none  |     0|f1    |↑  |0.1911|±  |   N/A|
|afrixnli_kin_prompt_5|      1|none  |     0|acc   |↑  |0.3700|±  |0.0197|
|                     |       |none  |     0|f1    |↑  |0.3506|±  |   N/A|
|afrixnli_lin_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_lin_prompt_2|      1|none  |     0|acc   |↑  |0.3100|±  |0.0189|
|                     |       |none  |     0|f1    |↑  |0.2156|±  |   N/A|
|afrixnli_lin_prompt_3|      1|none  |     0|acc   |↑  |0.3483|±  |0.0195|
|                     |       |none  |     0|f1    |↑  |0.3146|±  |   N/A|
