Tasks,Metric,Value,Stderr
afrimgsm_amh_prompt_1,exact_match,0.012,0.0069
afrimgsm_amh_prompt_2,exact_match,0.008,0.0056
afrimgsm_amh_prompt_3,exact_match,0.012,0.0069
afrimgsm_amh_prompt_4,exact_match,0.008,0.0056
afrimgsm_amh_prompt_5,exact_match,0.028,0.0105
afrimgsm_eng_prompt_1,exact_match,0.068,0.0160
afrimgsm_eng_prompt_2,exact_match,0.116,0.0203
afrimgsm_eng_prompt_3,exact_match,0.052,0.0141
afrimgsm_eng_prompt_4,exact_match,0.056,0.0146
afrimgsm_eng_prompt_5,exact_match,0.100,0.0190
afrimgsm_ewe_prompt_1,exact_match,0.028,0.0105
afrimgsm_ewe_prompt_2,exact_match,0.016,0.0080
afrimgsm_ewe_prompt_3,exact_match,0.024,0.0097
afrimgsm_ewe_prompt_4,exact_match,0.012,0.0069
afrimgsm_ewe_prompt_5,exact_match,0.028,0.0105
afrimgsm_fra_prompt_1,exact_match,0.044,0.0130
afrimgsm_fra_prompt_2,exact_match,0.084,0.0176
afrimgsm_fra_prompt_3,exact_match,0.040,0.0124
afrimgsm_fra_prompt_4,exact_match,0.064,0.0155
afrimgsm_fra_prompt_5,exact_match,0.080,0.0172
afrimgsm_hau_prompt_1,exact_match,0.008,0.0056
afrimgsm_hau_prompt_2,exact_match,0.004,0.0040
afrimgsm_hau_prompt_3,exact_match,0.008,0.0056
afrimgsm_hau_prompt_4,exact_match,0.000,0.0000
afrimgsm_hau_prompt_5,exact_match,0.024,0.0097
afrimgsm_ibo_prompt_1,exact_match,0.008,0.0056
afrimgsm_ibo_prompt_2,exact_match,0.008,0.0056
afrimgsm_ibo_prompt_3,exact_match,0.008,0.0056
afrimgsm_ibo_prompt_4,exact_match,0.004,0.0040
afrimgsm_ibo_prompt_5,exact_match,0.040,0.0124
afrimgsm_kin_prompt_1,exact_match,0.020,0.0089
afrimgsm_kin_prompt_2,exact_match,0.000,0.0000
afrimgsm_kin_prompt_3,exact_match,0.016,0.0080
afrimgsm_kin_prompt_4,exact_match,0.012,0.0069
afrimgsm_kin_prompt_5,exact_match,0.024,0.0097
afrimgsm_lin_prompt_1,exact_match,0.008,0.0056
afrimgsm_lin_prompt_2,exact_match,0.016,0.0080
afrimgsm_lin_prompt_3,exact_match,0.016,0.0080
afrimgsm_lin_prompt_4,exact_match,0.000,0.0000
afrimgsm_lin_prompt_5,exact_match,0.036,0.0118
afrimgsm_lug_prompt_1,exact_match,0.004,0.0040
