Tasks,Metric,Value,Stderr
afrisenti_amh_prompt_1,acc,0.2191,0.0093
afrisenti_amh_prompt_1,f1,0.0788,
afrisenti_amh_prompt_2,acc,0.2266,0.0094
afrisenti_amh_prompt_2,f1,0.0964,
afrisenti_amh_prompt_3,acc,0.7874,0.0092
afrisenti_amh_prompt_3,f1,0.7537,
afrisenti_amh_prompt_4,acc,0.7864,0.0092
afrisenti_amh_prompt_4,f1,0.7679,
afrisenti_amh_prompt_5,acc,0.7754,0.0093
afrisenti_amh_prompt_5,f1,0.7726,
afrisenti_arq_prompt_1,acc,0.3434,0.0153
afrisenti_arq_prompt_1,f1,0.1756,
afrisenti_arq_prompt_2,acc,0.3445,0.0154
afrisenti_arq_prompt_2,f1,0.1782,
afrisenti_arq_prompt_3,acc,0.7140,0.0146
afrisenti_arq_prompt_3,f1,0.6795,
afrisenti_arq_prompt_4,acc,0.7098,0.0147
afrisenti_arq_prompt_4,f1,0.7081,
afrisenti_arq_prompt_5,acc,0.7004,0.0148
afrisenti_arq_prompt_5,f1,0.7029,
afrisenti_ary_prompt_1,acc,0.3887,0.0090
afrisenti_ary_prompt_1,f1,0.2204,
afrisenti_ary_prompt_2,acc,0.3928,0.0090
afrisenti_ary_prompt_2,f1,0.2308,
afrisenti_ary_prompt_3,acc,0.5518,0.0091
afrisenti_ary_prompt_3,f1,0.5033,
afrisenti_ary_prompt_4,acc,0.5572,0.0091
afrisenti_ary_prompt_4,f1,0.5433,
afrisenti_ary_prompt_5,acc,0.6028,0.0090
afrisenti_ary_prompt_5,f1,0.5972,
afrisenti_hau_prompt_1,acc,0.3311,0.0065
afrisenti_hau_prompt_1,f1,0.1657,
afrisenti_hau_prompt_2,acc,0.3538,0.0066
afrisenti_hau_prompt_2,f1,0.2140,
afrisenti_hau_prompt_3,acc,0.5750,0.0068
afrisenti_hau_prompt_3,f1,0.5236,
afrisenti_hau_prompt_4,acc,0.5463,0.0068
afrisenti_hau_prompt_4,f1,0.5377,
afrisenti_hau_prompt_5,acc,0.6274,0.0066
afrisenti_hau_prompt_5,f1,0.6210,
afrisenti_ibo_prompt_1,acc,0.3053,0.0076
afrisenti_ibo_prompt_1,f1,0.1450,
afrisenti_ibo_prompt_2,acc,0.3373,0.0078
afrisenti_ibo_prompt_2,f1,0.2152,
afrisenti_ibo_prompt_3,acc,0.5337,0.0082
afrisenti_ibo_prompt_3,f1,0.4810,
afrisenti_ibo_prompt_4,acc,0.4799,0.0082
afrisenti_ibo_prompt_4,f1,0.4803,
afrisenti_ibo_prompt_5,acc,0.5978,0.0081
afrisenti_ibo_prompt_5,f1,0.5877,
afrisenti_kin_prompt_1,acc,0.2729,0.0139
afrisenti_kin_prompt_1,f1,0.1196,
afrisenti_kin_prompt_2,acc,0.2817,0.0140
afrisenti_kin_prompt_2,f1,0.1374,
afrisenti_kin_prompt_3,acc,0.5780,0.0154
afrisenti_kin_prompt_3,f1,0.5278,
afrisenti_kin_prompt_4,acc,0.6140,0.0152
afrisenti_kin_prompt_4,f1,0.6040,
afrisenti_kin_prompt_5,acc,0.6384,0.0150
afrisenti_kin_prompt_5,f1,0.6307,
afrisenti_orm_prompt_1,acc,0.2219,0.0091
afrisenti_orm_prompt_1,f1,0.0826,
afrisenti_orm_prompt_2,acc,0.2271,0.0092
afrisenti_orm_prompt_2,f1,0.0950,
afrisenti_orm_prompt_3,acc,0.3879,0.0106
afrisenti_orm_prompt_3,f1,0.3218,
afrisenti_orm_prompt_4,acc,0.4094,0.0107
afrisenti_orm_prompt_4,f1,0.3802,
afrisenti_orm_prompt_5,acc,0.4008,0.0107
afrisenti_orm_prompt_5,f1,0.3634,
afrisenti_pcm_prompt_1,acc,0.3370,0.0073
afrisenti_pcm_prompt_1,f1,0.1709,
afrisenti_pcm_prompt_2,acc,0.3804,0.0075
afrisenti_pcm_prompt_2,f1,0.2610,
afrisenti_pcm_prompt_3,acc,0.7706,0.0065
afrisenti_pcm_prompt_3,f1,0.7567,
afrisenti_pcm_prompt_4,acc,0.6745,0.0073
afrisenti_pcm_prompt_4,f1,0.6549,
afrisenti_pcm_prompt_5,acc,0.7256,0.0069
afrisenti_pcm_prompt_5,f1,0.7360,
afrisenti_por_prompt_1,acc,0.1723,0.0062
afrisenti_por_prompt_1,f1,0.0519,
afrisenti_por_prompt_2,acc,0.1742,0.0063
afrisenti_por_prompt_2,f1,0.0558,
afrisenti_por_prompt_3,acc,0.3487,0.0079
afrisenti_por_prompt_3,f1,0.2377,
afrisenti_por_prompt_4,acc,0.4126,0.0081
afrisenti_por_prompt_4,f1,0.3584,
afrisenti_por_prompt_5,acc,0.4386,0.0082
afrisenti_por_prompt_5,f1,0.3905,
afrisenti_swa_prompt_1,acc,0.2995,0.0168
afrisenti_swa_prompt_1,f1,0.1428,
afrisenti_swa_prompt_2,acc,0.3088,0.0169
afrisenti_swa_prompt_2,f1,0.1643,
afrisenti_swa_prompt_3,acc,0.4011,0.0179
afrisenti_swa_prompt_3,f1,0.3834,
afrisenti_swa_prompt_4,acc,0.5401,0.0182
afrisenti_swa_prompt_4,f1,0.5498,
afrisenti_swa_prompt_5,acc,0.5374,0.0182
afrisenti_swa_prompt_5,f1,0.5419,
afrisenti_tir_prompt_1,acc,0.3215,0.0104
afrisenti_tir_prompt_1,f1,0.1564,
afrisenti_tir_prompt_2,acc,0.3260,0.0105
afrisenti_tir_prompt_2,f1,0.1723,
afrisenti_tir_prompt_3,acc,0.6465,0.0107
afrisenti_tir_prompt_3,f1,0.5813,
afrisenti_tir_prompt_4,acc,0.6395,0.0107
afrisenti_tir_prompt_4,f1,0.6012,
afrisenti_tir_prompt_5,acc,0.6620,0.0106
afrisenti_tir_prompt_5,f1,0.6352,
afrisenti_tso_prompt_1,acc,0.4764,0.0314
afrisenti_tso_prompt_1,f1,0.3074,
afrisenti_tso_prompt_2,acc,0.4764,0.0314
afrisenti_tso_prompt_2,f1,0.3074,
afrisenti_tso_prompt_3,acc,0.5630,0.0312
afrisenti_tso_prompt_3,f1,0.5566,
afrisenti_tso_prompt_4,acc,0.3780,0.0305
afrisenti_tso_prompt_4,f1,0.3829,
afrisenti_tso_prompt_5,acc,0.4882,0.0314
afrisenti_tso_prompt_5,f1,0.5008,
afrisenti_twi_prompt_1,acc,0.4731,0.0162
afrisenti_twi_prompt_1,f1,0.3046,
afrisenti_twi_prompt_2,acc,0.4710,0.0162
afrisenti_twi_prompt_2,f1,0.3141,
afrisenti_twi_prompt_3,acc,0.5479,0.0162
afrisenti_twi_prompt_3,f1,0.5074,
afrisenti_twi_prompt_4,acc,0.4194,0.0160
afrisenti_twi_prompt_4,f1,0.4308,
afrisenti_twi_prompt_5,acc,0.5311,0.0162
afrisenti_twi_prompt_5,f1,0.5290,
afrisenti_yor_prompt_1,acc,0.4257,0.0074
afrisenti_yor_prompt_1,f1,0.2557,
afrisenti_yor_prompt_2,acc,0.4481,0.0074
afrisenti_yor_prompt_2,f1,0.3063,
afrisenti_yor_prompt_3,acc,0.5298,0.0074
afrisenti_yor_prompt_3,f1,0.5249,
afrisenti_yor_prompt_4,acc,0.5340,0.0074
afrisenti_yor_prompt_4,f1,0.5206,
afrisenti_yor_prompt_5,acc,0.6193,0.0072
afrisenti_yor_prompt_5,f1,0.6279,
