|       Tasks       |Version|     Filter      |n-shot|  Metric   |   |Value |   |Stderr|
|-------------------|------:|-----------------|-----:|-----------|---|-----:|---|------|
|afriqa_bem_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.1266|±  |0.0190|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1980|±  |   N/A|
|afriqa_bem_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.1591|±  |0.0209|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2471|±  |   N/A|
|afriqa_bem_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0455|±  |0.0119|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1452|±  |   N/A|
|afriqa_bem_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.0909|±  |0.0164|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1921|±  |   N/A|
|afriqa_bem_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.0974|±  |0.0169|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1686|±  |   N/A|
|afriqa_fon_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.1140|±  |0.0162|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1949|±  |   N/A|
|afriqa_fon_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.1166|±  |0.0164|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1997|±  |   N/A|
|afriqa_fon_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0337|±  |0.0092|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1621|±  |   N/A|
|afriqa_fon_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.0907|±  |0.0146|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2044|±  |   N/A|
|afriqa_fon_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.0803|±  |0.0139|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1360|±  |   N/A|
