Tasks,Metric,Value,Stderr
afrixnli_amh_prompt_1,acc,0.3333,0.0193
afrixnli_amh_prompt_1,f1,0.1667,
afrixnli_amh_prompt_2,acc,0.4367,0.0203
afrixnli_amh_prompt_2,f1,0.4384,
afrixnli_amh_prompt_3,acc,0.3450,0.0194
afrixnli_amh_prompt_3,f1,0.2736,
afrixnli_amh_prompt_4,acc,0.3517,0.0195
afrixnli_amh_prompt_4,f1,0.3347,
afrixnli_amh_prompt_5,acc,0.3567,0.0196
afrixnli_amh_prompt_5,f1,0.2854,
afrixnli_eng_prompt_1,acc,0.3333,0.0193
afrixnli_eng_prompt_1,f1,0.1667,
afrixnli_eng_prompt_2,acc,0.6267,0.0198
afrixnli_eng_prompt_2,f1,0.6175,
afrixnli_eng_prompt_3,acc,0.3400,0.0194
afrixnli_eng_prompt_3,f1,0.1918,
afrixnli_eng_prompt_4,acc,0.5300,0.0204
afrixnli_eng_prompt_4,f1,0.5397,
afrixnli_eng_prompt_5,acc,0.3383,0.0193
afrixnli_eng_prompt_5,f1,0.2018,
afrixnli_ewe_prompt_1,acc,0.3333,0.0193
afrixnli_ewe_prompt_1,f1,0.1667,
afrixnli_ewe_prompt_2,acc,0.3767,0.0198
afrixnli_ewe_prompt_2,f1,0.3304,
afrixnli_ewe_prompt_3,acc,0.3250,0.0191
afrixnli_ewe_prompt_3,f1,0.2600,
afrixnli_ewe_prompt_4,acc,0.3367,0.0193
afrixnli_ewe_prompt_4,f1,0.2461,
afrixnli_ewe_prompt_5,acc,0.3350,0.0193
afrixnli_ewe_prompt_5,f1,0.1732,
afrixnli_fra_prompt_1,acc,0.3333,0.0193
afrixnli_fra_prompt_1,f1,0.1667,
afrixnli_fra_prompt_2,acc,0.5917,0.0201
afrixnli_fra_prompt_2,f1,0.5921,
afrixnli_fra_prompt_3,acc,0.4117,0.0201
afrixnli_fra_prompt_3,f1,0.3679,
afrixnli_fra_prompt_4,acc,0.4050,0.0201
afrixnli_fra_prompt_4,f1,0.3512,
afrixnli_fra_prompt_5,acc,0.3367,0.0193
afrixnli_fra_prompt_5,f1,0.1876,
afrixnli_hau_prompt_1,acc,0.3333,0.0193
afrixnli_hau_prompt_1,f1,0.1667,
afrixnli_hau_prompt_2,acc,0.3817,0.0198
afrixnli_hau_prompt_2,f1,0.2954,
afrixnli_hau_prompt_3,acc,0.3317,0.0192
afrixnli_hau_prompt_3,f1,0.2216,
afrixnli_hau_prompt_4,acc,0.3333,0.0193
afrixnli_hau_prompt_4,f1,0.3041,
afrixnli_hau_prompt_5,acc,0.3350,0.0193
afrixnli_hau_prompt_5,f1,0.1734,
afrixnli_ibo_prompt_1,acc,0.3333,0.0193
afrixnli_ibo_prompt_1,f1,0.1667,
afrixnli_ibo_prompt_2,acc,0.3750,0.0198
afrixnli_ibo_prompt_2,f1,0.2811,
afrixnli_ibo_prompt_3,acc,0.3517,0.0195
afrixnli_ibo_prompt_3,f1,0.2264,
afrixnli_ibo_prompt_4,acc,0.3617,0.0196
afrixnli_ibo_prompt_4,f1,0.3278,
afrixnli_ibo_prompt_5,acc,0.3333,0.0193
afrixnli_ibo_prompt_5,f1,0.1667,
afrixnli_kin_prompt_1,acc,0.3333,0.0193
afrixnli_kin_prompt_1,f1,0.1667,
afrixnli_kin_prompt_2,acc,0.3450,0.0194
afrixnli_kin_prompt_2,f1,0.3107,
afrixnli_kin_prompt_3,acc,0.3550,0.0196
afrixnli_kin_prompt_3,f1,0.3261,
afrixnli_kin_prompt_4,acc,0.3500,0.0195
afrixnli_kin_prompt_4,f1,0.3072,
afrixnli_kin_prompt_5,acc,0.3533,0.0195
afrixnli_kin_prompt_5,f1,0.3155,
afrixnli_lin_prompt_1,acc,0.3333,0.0193
afrixnli_lin_prompt_1,f1,0.1667,
afrixnli_lin_prompt_2,acc,0.3233,0.0191
afrixnli_lin_prompt_2,f1,0.2869,
afrixnli_lin_prompt_3,acc,0.3117,0.0189
afrixnli_lin_prompt_3,f1,0.2808,
afrixnli_lin_prompt_4,acc,0.3183,0.0190
afrixnli_lin_prompt_4,f1,0.3041,
afrixnli_lin_prompt_5,acc,0.3300,0.0192
afrixnli_lin_prompt_5,f1,0.2523,
afrixnli_lug_prompt_1,acc,0.3333,0.0193
afrixnli_lug_prompt_1,f1,0.1667,
afrixnli_lug_prompt_2,acc,0.3867,0.0199
afrixnli_lug_prompt_2,f1,0.2941,
afrixnli_lug_prompt_3,acc,0.3317,0.0192
afrixnli_lug_prompt_3,f1,0.2192,
afrixnli_lug_prompt_4,acc,0.3183,0.0190
afrixnli_lug_prompt_4,f1,0.3003,
afrixnli_lug_prompt_5,acc,0.3400,0.0194
afrixnli_lug_prompt_5,f1,0.1810,
afrixnli_orm_prompt_1,acc,0.3333,0.0193
afrixnli_orm_prompt_1,f1,0.1667,
afrixnli_orm_prompt_2,acc,0.3417,0.0194
afrixnli_orm_prompt_2,f1,0.2139,
afrixnli_orm_prompt_3,acc,0.3283,0.0192
afrixnli_orm_prompt_3,f1,0.2002,
afrixnli_orm_prompt_4,acc,0.3833,0.0199
afrixnli_orm_prompt_4,f1,0.3002,
afrixnli_orm_prompt_5,acc,0.3333,0.0193
afrixnli_orm_prompt_5,f1,0.1701,
afrixnli_sna_prompt_1,acc,0.3333,0.0193
afrixnli_sna_prompt_1,f1,0.1667,
afrixnli_sna_prompt_2,acc,0.3800,0.0198
afrixnli_sna_prompt_2,f1,0.2953,
afrixnli_sna_prompt_3,acc,0.3433,0.0194
afrixnli_sna_prompt_3,f1,0.2595,
afrixnli_sna_prompt_4,acc,0.3467,0.0194
afrixnli_sna_prompt_4,f1,0.3361,
afrixnli_sna_prompt_5,acc,0.3433,0.0194
afrixnli_sna_prompt_5,f1,0.2286,
afrixnli_sot_prompt_1,acc,0.3333,0.0193
afrixnli_sot_prompt_1,f1,0.1667,
afrixnli_sot_prompt_2,acc,0.3717,0.0197
afrixnli_sot_prompt_2,f1,0.3113,
afrixnli_sot_prompt_3,acc,0.3283,0.0192
afrixnli_sot_prompt_3,f1,0.1798,
afrixnli_sot_prompt_4,acc,0.3533,0.0195
afrixnli_sot_prompt_4,f1,0.3048,
afrixnli_sot_prompt_5,acc,0.3350,0.0193
afrixnli_sot_prompt_5,f1,0.1821,
afrixnli_swa_prompt_1,acc,0.3333,0.0193
afrixnli_swa_prompt_1,f1,0.1667,
afrixnli_swa_prompt_2,acc,0.4200,0.0202
afrixnli_swa_prompt_2,f1,0.3784,
afrixnli_swa_prompt_3,acc,0.3733,0.0198
afrixnli_swa_prompt_3,f1,0.3398,
afrixnli_swa_prompt_4,acc,0.3550,0.0196
afrixnli_swa_prompt_4,f1,0.3242,
afrixnli_swa_prompt_5,acc,0.3383,0.0193
afrixnli_swa_prompt_5,f1,0.2250,
afrixnli_twi_prompt_1,acc,0.3333,0.0193
afrixnli_twi_prompt_1,f1,0.1667,
afrixnli_twi_prompt_2,acc,0.3700,0.0197
afrixnli_twi_prompt_2,f1,0.3040,
afrixnli_twi_prompt_3,acc,0.3267,0.0192
afrixnli_twi_prompt_3,f1,0.2588,
afrixnli_twi_prompt_4,acc,0.3350,0.0193
afrixnli_twi_prompt_4,f1,0.2409,
afrixnli_twi_prompt_5,acc,0.3333,0.0193
afrixnli_twi_prompt_5,f1,0.1667,
afrixnli_wol_prompt_1,acc,0.3333,0.0193
