Tasks,Metric,Value,Stderr
afrisenti_amh_prompt_1,acc,0.2191,0.0093
afrisenti_amh_prompt_1,f1,0.0788,
afrisenti_amh_prompt_2,acc,0.2191,0.0093
afrisenti_amh_prompt_2,f1,0.0788,
afrisenti_amh_prompt_3,acc,0.2096,0.0091
afrisenti_amh_prompt_3,f1,0.1967,
afrisenti_amh_prompt_4,acc,0.1931,0.0088
afrisenti_amh_prompt_4,f1,0.1644,
afrisenti_amh_prompt_5,acc,0.2671,0.0099
afrisenti_amh_prompt_5,f1,0.2140,
afrisenti_arq_prompt_1,acc,0.3434,0.0153
afrisenti_arq_prompt_1,f1,0.1756,
afrisenti_arq_prompt_2,acc,0.3434,0.0153
afrisenti_arq_prompt_2,f1,0.1756,
afrisenti_arq_prompt_3,acc,0.4718,0.0161
afrisenti_arq_prompt_3,f1,0.4832,
afrisenti_arq_prompt_4,acc,0.4322,0.0160
afrisenti_arq_prompt_4,f1,0.4565,
afrisenti_arq_prompt_5,acc,0.5125,0.0162
afrisenti_arq_prompt_5,f1,0.5169,
afrisenti_ary_prompt_1,acc,0.3864,0.0089
afrisenti_ary_prompt_1,f1,0.2153,
afrisenti_ary_prompt_2,acc,0.3864,0.0089
afrisenti_ary_prompt_2,f1,0.2153,
afrisenti_ary_prompt_3,acc,0.4870,0.0092
afrisenti_ary_prompt_3,f1,0.4826,
afrisenti_ary_prompt_4,acc,0.4282,0.0091
afrisenti_ary_prompt_4,f1,0.4019,
afrisenti_ary_prompt_5,acc,0.4573,0.0092
afrisenti_ary_prompt_5,f1,0.4529,
afrisenti_hau_prompt_1,acc,0.3309,0.0065
afrisenti_hau_prompt_1,f1,0.1646,
afrisenti_hau_prompt_2,acc,0.3309,0.0065
afrisenti_hau_prompt_2,f1,0.1646,
afrisenti_hau_prompt_3,acc,0.4333,0.0068
afrisenti_hau_prompt_3,f1,0.3805,
afrisenti_hau_prompt_4,acc,0.3719,0.0066
afrisenti_hau_prompt_4,f1,0.2515,
afrisenti_hau_prompt_5,acc,0.4513,0.0068
afrisenti_hau_prompt_5,f1,0.3951,
afrisenti_ibo_prompt_1,acc,0.3039,0.0076
afrisenti_ibo_prompt_1,f1,0.1420,
afrisenti_ibo_prompt_2,acc,0.3039,0.0076
afrisenti_ibo_prompt_2,f1,0.1420,
afrisenti_ibo_prompt_3,acc,0.4826,0.0082
afrisenti_ibo_prompt_3,f1,0.4417,
afrisenti_ibo_prompt_4,acc,0.4734,0.0082
afrisenti_ibo_prompt_4,f1,0.3623,
afrisenti_ibo_prompt_5,acc,0.4701,0.0082
afrisenti_ibo_prompt_5,f1,0.4337,
afrisenti_kin_prompt_1,acc,0.2719,0.0139
afrisenti_kin_prompt_1,f1,0.1176,
afrisenti_kin_prompt_2,acc,0.2719,0.0139
afrisenti_kin_prompt_2,f1,0.1176,
afrisenti_kin_prompt_3,acc,0.4454,0.0155
afrisenti_kin_prompt_3,f1,0.4152,
afrisenti_kin_prompt_4,acc,0.4269,0.0154
afrisenti_kin_prompt_4,f1,0.3457,
afrisenti_kin_prompt_5,acc,0.4113,0.0154
afrisenti_kin_prompt_5,f1,0.3669,
afrisenti_orm_prompt_1,acc,0.2204,0.0091
afrisenti_orm_prompt_1,f1,0.0796,
afrisenti_orm_prompt_2,acc,0.2204,0.0091
afrisenti_orm_prompt_2,f1,0.0796,
afrisenti_orm_prompt_3,acc,0.3874,0.0106
afrisenti_orm_prompt_3,f1,0.3759,
afrisenti_orm_prompt_4,acc,0.4175,0.0108
afrisenti_orm_prompt_4,f1,0.3132,
afrisenti_orm_prompt_5,acc,0.3082,0.0101
afrisenti_orm_prompt_5,f1,0.2834,
afrisenti_pcm_prompt_1,acc,0.3368,0.0073
afrisenti_pcm_prompt_1,f1,0.1703,
afrisenti_pcm_prompt_2,acc,0.3370,0.0073
afrisenti_pcm_prompt_2,f1,0.1708,
afrisenti_pcm_prompt_3,acc,0.5929,0.0076
afrisenti_pcm_prompt_3,f1,0.6393,
afrisenti_pcm_prompt_4,acc,0.3813,0.0075
afrisenti_pcm_prompt_4,f1,0.4403,
afrisenti_pcm_prompt_5,acc,0.6141,0.0076
afrisenti_pcm_prompt_5,f1,0.6551,
afrisenti_por_prompt_1,acc,0.1726,0.0062
afrisenti_por_prompt_1,f1,0.0524,
afrisenti_por_prompt_2,acc,0.1720,0.0062
afrisenti_por_prompt_2,f1,0.0513,
afrisenti_por_prompt_3,acc,0.5396,0.0082
afrisenti_por_prompt_3,f1,0.5548,
afrisenti_por_prompt_4,acc,0.6551,0.0079
afrisenti_por_prompt_4,f1,0.6578,
afrisenti_por_prompt_5,acc,0.4683,0.0082
afrisenti_por_prompt_5,f1,0.4678,
afrisenti_swa_prompt_1,acc,0.2995,0.0168
afrisenti_swa_prompt_1,f1,0.1380,
afrisenti_swa_prompt_2,acc,0.2995,0.0168
afrisenti_swa_prompt_2,f1,0.1380,
afrisenti_swa_prompt_3,acc,0.5174,0.0183
afrisenti_swa_prompt_3,f1,0.4975,
afrisenti_swa_prompt_4,acc,0.5749,0.0181
afrisenti_swa_prompt_4,f1,0.5111,
afrisenti_swa_prompt_5,acc,0.4078,0.0180
afrisenti_swa_prompt_5,f1,0.4121,
afrisenti_tir_prompt_1,acc,0.3215,0.0104
afrisenti_tir_prompt_1,f1,0.1564,
afrisenti_tir_prompt_2,acc,0.3215,0.0104
afrisenti_tir_prompt_2,f1,0.1564,
afrisenti_tir_prompt_3,acc,0.2315,0.0094
afrisenti_tir_prompt_3,f1,0.1622,
afrisenti_tir_prompt_4,acc,0.2260,0.0094
afrisenti_tir_prompt_4,f1,0.1412,
afrisenti_tir_prompt_5,acc,0.3165,0.0104
afrisenti_tir_prompt_5,f1,0.2325,
afrisenti_tso_prompt_1,acc,0.4764,0.0314
afrisenti_tso_prompt_1,f1,0.3074,
afrisenti_tso_prompt_2,acc,0.4764,0.0314
afrisenti_tso_prompt_2,f1,0.3074,
afrisenti_tso_prompt_3,acc,0.3465,0.0299
afrisenti_tso_prompt_3,f1,0.3377,
afrisenti_tso_prompt_4,acc,0.2283,0.0264
afrisenti_tso_prompt_4,f1,0.1748,
afrisenti_tso_prompt_5,acc,0.4094,0.0309
afrisenti_tso_prompt_5,f1,0.3848,
afrisenti_twi_prompt_1,acc,0.4742,0.0162
afrisenti_twi_prompt_1,f1,0.3051,
afrisenti_twi_prompt_2,acc,0.4742,0.0162
afrisenti_twi_prompt_2,f1,0.3051,
afrisenti_twi_prompt_3,acc,0.2993,0.0149
afrisenti_twi_prompt_3,f1,0.3023,
afrisenti_twi_prompt_4,acc,0.2171,0.0134
afrisenti_twi_prompt_4,f1,0.1794,
afrisenti_twi_prompt_5,acc,0.3562,0.0156
afrisenti_twi_prompt_5,f1,0.3669,
afrisenti_yor_prompt_1,acc,0.4248,0.0074
afrisenti_yor_prompt_1,f1,0.2533,
afrisenti_yor_prompt_2,acc,0.4248,0.0074
afrisenti_yor_prompt_2,f1,0.2533,
afrisenti_yor_prompt_3,acc,0.4100,0.0073
afrisenti_yor_prompt_3,f1,0.3402,
afrisenti_yor_prompt_4,acc,0.3843,0.0072
afrisenti_yor_prompt_4,f1,0.2496,
afrisenti_yor_prompt_5,acc,0.4560,0.0074
afrisenti_yor_prompt_5,f1,0.4353,
