|        Tasks        |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|---------------------|------:|------|-----:|------|---|-----:|---|------|
|afrixnli_amh_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_amh_prompt_2|      1|none  |     0|acc   |↑  |0.3367|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1895|±  |   N/A|
|afrixnli_amh_prompt_3|      1|none  |     0|acc   |↑  |0.3367|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.2711|±  |   N/A|
|afrixnli_amh_prompt_4|      1|none  |     0|acc   |↑  |0.3483|±  |0.0195|
|                     |       |none  |     0|f1    |↑  |0.2326|±  |   N/A|
|afrixnli_amh_prompt_5|      1|none  |     0|acc   |↑  |0.3500|±  |0.0195|
|                     |       |none  |     0|f1    |↑  |0.2460|±  |   N/A|
|afrixnli_eng_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_eng_prompt_2|      1|none  |     0|acc   |↑  |0.4333|±  |0.0202|
|                     |       |none  |     0|f1    |↑  |0.3436|±  |   N/A|
|afrixnli_eng_prompt_3|      1|none  |     0|acc   |↑  |0.3383|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1831|±  |   N/A|
|afrixnli_eng_prompt_4|      1|none  |     0|acc   |↑  |0.3383|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1859|±  |   N/A|
|afrixnli_eng_prompt_5|      1|none  |     0|acc   |↑  |0.3467|±  |0.0194|
|                     |       |none  |     0|f1    |↑  |0.2061|±  |   N/A|
|afrixnli_ewe_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_ewe_prompt_2|      1|none  |     0|acc   |↑  |0.3233|±  |0.0191|
|                     |       |none  |     0|f1    |↑  |0.2050|±  |   N/A|
|afrixnli_ewe_prompt_3|      1|none  |     0|acc   |↑  |0.3350|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.2680|±  |   N/A|
|afrixnli_ewe_prompt_4|      1|none  |     0|acc   |↑  |0.3483|±  |0.0195|
|                     |       |none  |     0|f1    |↑  |0.2770|±  |   N/A|
|afrixnli_ewe_prompt_5|      1|none  |     0|acc   |↑  |0.3233|±  |0.0191|
|                     |       |none  |     0|f1    |↑  |0.1629|±  |   N/A|
|afrixnli_fra_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_fra_prompt_2|      1|none  |     0|acc   |↑  |0.4733|±  |0.0204|
|                     |       |none  |     0|f1    |↑  |0.3806|±  |   N/A|
|afrixnli_fra_prompt_3|      1|none  |     0|acc   |↑  |0.3367|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1769|±  |   N/A|
|afrixnli_fra_prompt_4|      1|none  |     0|acc   |↑  |0.3367|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1767|±  |   N/A|
|afrixnli_fra_prompt_5|      1|none  |     0|acc   |↑  |0.3417|±  |0.0194|
|                     |       |none  |     0|f1    |↑  |0.2022|±  |   N/A|
|afrixnli_hau_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_hau_prompt_2|      1|none  |     0|acc   |↑  |0.3283|±  |0.0192|
|                     |       |none  |     0|f1    |↑  |0.1796|±  |   N/A|
|afrixnli_hau_prompt_3|      1|none  |     0|acc   |↑  |0.3250|±  |0.0191|
|                     |       |none  |     0|f1    |↑  |0.1896|±  |   N/A|
|afrixnli_hau_prompt_4|      1|none  |     0|acc   |↑  |0.3317|±  |0.0192|
|                     |       |none  |     0|f1    |↑  |0.1753|±  |   N/A|
|afrixnli_hau_prompt_5|      1|none  |     0|acc   |↑  |0.3250|±  |0.0191|
|                     |       |none  |     0|f1    |↑  |0.2029|±  |   N/A|
|afrixnli_ibo_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_ibo_prompt_2|      1|none  |     0|acc   |↑  |0.3383|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1800|±  |   N/A|
|afrixnli_ibo_prompt_3|      1|none  |     0|acc   |↑  |0.3317|±  |0.0192|
|                     |       |none  |     0|f1    |↑  |0.2015|±  |   N/A|
|afrixnli_ibo_prompt_4|      1|none  |     0|acc   |↑  |0.3283|±  |0.0192|
|                     |       |none  |     0|f1    |↑  |0.1684|±  |   N/A|
|afrixnli_ibo_prompt_5|      1|none  |     0|acc   |↑  |0.3300|±  |0.0192|
|                     |       |none  |     0|f1    |↑  |0.1686|±  |   N/A|
|afrixnli_kin_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_kin_prompt_2|      1|none  |     0|acc   |↑  |0.3283|±  |0.0192|
|                     |       |none  |     0|f1    |↑  |0.1678|±  |   N/A|
|afrixnli_kin_prompt_3|      1|none  |     0|acc   |↑  |0.3383|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.2311|±  |   N/A|
|afrixnli_kin_prompt_4|      1|none  |     0|acc   |↑  |0.3500|±  |0.0195|
|                     |       |none  |     0|f1    |↑  |0.2984|±  |   N/A|
|afrixnli_kin_prompt_5|      1|none  |     0|acc   |↑  |0.3267|±  |0.0192|
|                     |       |none  |     0|f1    |↑  |0.2585|±  |   N/A|
|afrixnli_lin_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                     |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_lin_prompt_2|      1|none  |     0|acc   |↑  |0.3517|±  |0.0195|
|                     |       |none  |     0|f1    |↑  |0.2432|±  |   N/A|
|afrixnli_lin_prompt_3|      1|none  |     0|acc   |↑  |0.3250|±  |0.0191|
|                     |       |none  |     0|f1    |↑  |0.2557|±  |   N/A|
