|             Tasks             |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|-------------------------------|------:|------|-----:|------|---|-----:|---|------|
|afrixnli_translate_amh_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_amh_prompt_2|      1|none  |     0|acc   |↑  |0.5233|±  |0.0204|
|                               |       |none  |     0|f1    |↑  |0.5221|±  |   N/A|
|afrixnli_translate_amh_prompt_3|      1|none  |     0|acc   |↑  |0.3550|±  |0.0196|
|                               |       |none  |     0|f1    |↑  |0.3029|±  |   N/A|
|afrixnli_translate_amh_prompt_4|      1|none  |     0|acc   |↑  |0.4117|±  |0.0201|
|                               |       |none  |     0|f1    |↑  |0.4079|±  |   N/A|
|afrixnli_translate_amh_prompt_5|      1|none  |     0|acc   |↑  |0.3417|±  |0.0194|
|                               |       |none  |     0|f1    |↑  |0.2122|±  |   N/A|
|afrixnli_translate_ewe_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_ewe_prompt_2|      1|none  |     0|acc   |↑  |0.4383|±  |0.0203|
|                               |       |none  |     0|f1    |↑  |0.4335|±  |   N/A|
|afrixnli_translate_ewe_prompt_3|      1|none  |     0|acc   |↑  |0.3717|±  |0.0197|
|                               |       |none  |     0|f1    |↑  |0.3409|±  |   N/A|
|afrixnli_translate_ewe_prompt_4|      1|none  |     0|acc   |↑  |0.3750|±  |0.0198|
|                               |       |none  |     0|f1    |↑  |0.3174|±  |   N/A|
|afrixnli_translate_ewe_prompt_5|      1|none  |     0|acc   |↑  |0.3200|±  |0.0191|
|                               |       |none  |     0|f1    |↑  |0.1873|±  |   N/A|
|afrixnli_translate_fra_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_fra_prompt_2|      1|none  |     0|acc   |↑  |0.5450|±  |0.0203|
|                               |       |none  |     0|f1    |↑  |0.5269|±  |   N/A|
|afrixnli_translate_fra_prompt_3|      1|none  |     0|acc   |↑  |0.4450|±  |0.0203|
|                               |       |none  |     0|f1    |↑  |0.4308|±  |   N/A|
|afrixnli_translate_fra_prompt_4|      1|none  |     0|acc   |↑  |0.4300|±  |0.0202|
|                               |       |none  |     0|f1    |↑  |0.3926|±  |   N/A|
|afrixnli_translate_fra_prompt_5|      1|none  |     0|acc   |↑  |0.3483|±  |0.0195|
|                               |       |none  |     0|f1    |↑  |0.2209|±  |   N/A|
|afrixnli_translate_hau_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_hau_prompt_2|      1|none  |     0|acc   |↑  |0.4933|±  |0.0204|
|                               |       |none  |     0|f1    |↑  |0.4815|±  |   N/A|
|afrixnli_translate_hau_prompt_3|      1|none  |     0|acc   |↑  |0.3750|±  |0.0198|
|                               |       |none  |     0|f1    |↑  |0.3483|±  |   N/A|
|afrixnli_translate_hau_prompt_4|      1|none  |     0|acc   |↑  |0.3950|±  |0.0200|
|                               |       |none  |     0|f1    |↑  |0.3569|±  |   N/A|
|afrixnli_translate_hau_prompt_5|      1|none  |     0|acc   |↑  |0.3450|±  |0.0194|
|                               |       |none  |     0|f1    |↑  |0.2137|±  |   N/A|
|afrixnli_translate_ibo_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_ibo_prompt_2|      1|none  |     0|acc   |↑  |0.4567|±  |0.0204|
|                               |       |none  |     0|f1    |↑  |0.4458|±  |   N/A|
|afrixnli_translate_ibo_prompt_3|      1|none  |     0|acc   |↑  |0.3567|±  |0.0196|
|                               |       |none  |     0|f1    |↑  |0.3154|±  |   N/A|
|afrixnli_translate_ibo_prompt_4|      1|none  |     0|acc   |↑  |0.3600|±  |0.0196|
|                               |       |none  |     0|f1    |↑  |0.3371|±  |   N/A|
|afrixnli_translate_ibo_prompt_5|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1991|±  |   N/A|
|afrixnli_translate_kin_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_kin_prompt_2|      1|none  |     0|acc   |↑  |0.4817|±  |0.0204|
|                               |       |none  |     0|f1    |↑  |0.4811|±  |   N/A|
|afrixnli_translate_kin_prompt_3|      1|none  |     0|acc   |↑  |0.3550|±  |0.0196|
|                               |       |none  |     0|f1    |↑  |0.3226|±  |   N/A|
|afrixnli_translate_kin_prompt_4|      1|none  |     0|acc   |↑  |0.3583|±  |0.0196|
|                               |       |none  |     0|f1    |↑  |0.3125|±  |   N/A|
|afrixnli_translate_kin_prompt_5|      1|none  |     0|acc   |↑  |0.3400|±  |0.0194|
|                               |       |none  |     0|f1    |↑  |0.2139|±  |   N/A|
|afrixnli_translate_lin_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_lin_prompt_2|      1|none  |     0|acc   |↑  |0.3467|±  |0.0194|
|                               |       |none  |     0|f1    |↑  |0.3315|±  |   N/A|
|afrixnli_translate_lin_prompt_3|      1|none  |     0|acc   |↑  |0.3567|±  |0.0196|
|                               |       |none  |     0|f1    |↑  |0.3388|±  |   N/A|
|afrixnli_translate_lin_prompt_4|      1|none  |     0|acc   |↑  |0.3300|±  |0.0192|
|                               |       |none  |     0|f1    |↑  |0.2704|±  |   N/A|
|afrixnli_translate_lin_prompt_5|      1|none  |     0|acc   |↑  |0.3150|±  |0.0190|
|                               |       |none  |     0|f1    |↑  |0.1904|±  |   N/A|
|afrixnli_translate_lug_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_lug_prompt_2|      1|none  |     0|acc   |↑  |0.4733|±  |0.0204|
|                               |       |none  |     0|f1    |↑  |0.4553|±  |   N/A|
|afrixnli_translate_lug_prompt_3|      1|none  |     0|acc   |↑  |0.3950|±  |0.0200|
|                               |       |none  |     0|f1    |↑  |0.3901|±  |   N/A|
|afrixnli_translate_lug_prompt_4|      1|none  |     0|acc   |↑  |0.3900|±  |0.0199|
|                               |       |none  |     0|f1    |↑  |0.3646|±  |   N/A|
|afrixnli_translate_lug_prompt_5|      1|none  |     0|acc   |↑  |0.3433|±  |0.0194|
|                               |       |none  |     0|f1    |↑  |0.2178|±  |   N/A|
|afrixnli_translate_orm_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_orm_prompt_2|      1|none  |     0|acc   |↑  |0.4817|±  |0.0204|
|                               |       |none  |     0|f1    |↑  |0.4675|±  |   N/A|
|afrixnli_translate_orm_prompt_3|      1|none  |     0|acc   |↑  |0.3833|±  |0.0199|
|                               |       |none  |     0|f1    |↑  |0.3491|±  |   N/A|
|afrixnli_translate_orm_prompt_4|      1|none  |     0|acc   |↑  |0.3833|±  |0.0199|
|                               |       |none  |     0|f1    |↑  |0.3720|±  |   N/A|
|afrixnli_translate_orm_prompt_5|      1|none  |     0|acc   |↑  |0.3350|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.2108|±  |   N/A|
|afrixnli_translate_sna_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_sna_prompt_2|      1|none  |     0|acc   |↑  |0.4933|±  |0.0204|
|                               |       |none  |     0|f1    |↑  |0.4785|±  |   N/A|
|afrixnli_translate_sna_prompt_3|      1|none  |     0|acc   |↑  |0.3967|±  |0.0200|
