Tasks,Metric,Value,Stderr
afrisenti_amh_prompt_1,acc,0.2191,0.0093
afrisenti_amh_prompt_1,f1,0.0788,
afrisenti_amh_prompt_2,acc,0.2226,0.0093
afrisenti_amh_prompt_2,f1,0.0860,
afrisenti_amh_prompt_3,acc,0.7874,0.0092
afrisenti_amh_prompt_3,f1,0.7526,
afrisenti_amh_prompt_4,acc,0.7864,0.0092
afrisenti_amh_prompt_4,f1,0.7427,
afrisenti_amh_prompt_5,acc,0.7699,0.0094
afrisenti_amh_prompt_5,f1,0.7250,
afrisenti_arq_prompt_1,acc,0.3434,0.0153
afrisenti_arq_prompt_1,f1,0.1756,
afrisenti_arq_prompt_2,acc,0.3434,0.0153
afrisenti_arq_prompt_2,f1,0.1756,
afrisenti_arq_prompt_3,acc,0.7255,0.0144
afrisenti_arq_prompt_3,f1,0.6762,
afrisenti_arq_prompt_4,acc,0.7109,0.0147
afrisenti_arq_prompt_4,f1,0.6649,
afrisenti_arq_prompt_5,acc,0.7109,0.0147
afrisenti_arq_prompt_5,f1,0.6645,
afrisenti_ary_prompt_1,acc,0.3864,0.0089
afrisenti_ary_prompt_1,f1,0.2154,
afrisenti_ary_prompt_2,acc,0.3870,0.0090
afrisenti_ary_prompt_2,f1,0.2168,
afrisenti_ary_prompt_3,acc,0.5157,0.0092
afrisenti_ary_prompt_3,f1,0.4560,
afrisenti_ary_prompt_4,acc,0.4941,0.0092
afrisenti_ary_prompt_4,f1,0.4379,
afrisenti_ary_prompt_5,acc,0.5093,0.0092
afrisenti_ary_prompt_5,f1,0.4706,
afrisenti_hau_prompt_1,acc,0.3309,0.0065
afrisenti_hau_prompt_1,f1,0.1646,
afrisenti_hau_prompt_2,acc,0.3309,0.0065
afrisenti_hau_prompt_2,f1,0.1646,
afrisenti_hau_prompt_3,acc,0.5444,0.0068
afrisenti_hau_prompt_3,f1,0.4857,
afrisenti_hau_prompt_4,acc,0.4720,0.0069
afrisenti_hau_prompt_4,f1,0.3923,
afrisenti_hau_prompt_5,acc,0.5188,0.0069
afrisenti_hau_prompt_5,f1,0.4410,
afrisenti_ibo_prompt_1,acc,0.3036,0.0076
afrisenti_ibo_prompt_1,f1,0.1414,
afrisenti_ibo_prompt_2,acc,0.3036,0.0076
afrisenti_ibo_prompt_2,f1,0.1414,
afrisenti_ibo_prompt_3,acc,0.5435,0.0082
afrisenti_ibo_prompt_3,f1,0.5262,
afrisenti_ibo_prompt_4,acc,0.3892,0.0080
afrisenti_ibo_prompt_4,f1,0.3276,
afrisenti_ibo_prompt_5,acc,0.4650,0.0082
afrisenti_ibo_prompt_5,f1,0.3941,
afrisenti_kin_prompt_1,acc,0.2710,0.0139
afrisenti_kin_prompt_1,f1,0.1155,
afrisenti_kin_prompt_2,acc,0.2710,0.0139
afrisenti_kin_prompt_2,f1,0.1155,
afrisenti_kin_prompt_3,acc,0.5789,0.0154
afrisenti_kin_prompt_3,f1,0.5338,
afrisenti_kin_prompt_4,acc,0.5419,0.0156
afrisenti_kin_prompt_4,f1,0.4730,
afrisenti_kin_prompt_5,acc,0.5731,0.0154
afrisenti_kin_prompt_5,f1,0.5155,
afrisenti_orm_prompt_1,acc,0.2204,0.0091
afrisenti_orm_prompt_1,f1,0.0796,
afrisenti_orm_prompt_2,acc,0.2204,0.0091
afrisenti_orm_prompt_2,f1,0.0796,
afrisenti_orm_prompt_3,acc,0.3831,0.0106
afrisenti_orm_prompt_3,f1,0.3224,
afrisenti_orm_prompt_4,acc,0.3693,0.0105
afrisenti_orm_prompt_4,f1,0.2683,
afrisenti_orm_prompt_5,acc,0.3874,0.0106
afrisenti_orm_prompt_5,f1,0.3022,
afrisenti_pcm_prompt_1,acc,0.3397,0.0073
afrisenti_pcm_prompt_1,f1,0.1764,
afrisenti_pcm_prompt_2,acc,0.4015,0.0076
afrisenti_pcm_prompt_2,f1,0.2984,
afrisenti_pcm_prompt_3,acc,0.7549,0.0067
afrisenti_pcm_prompt_3,f1,0.7339,
afrisenti_pcm_prompt_4,acc,0.6579,0.0074
afrisenti_pcm_prompt_4,f1,0.5934,
afrisenti_pcm_prompt_5,acc,0.7325,0.0069
afrisenti_pcm_prompt_5,f1,0.7041,
afrisenti_por_prompt_1,acc,0.1715,0.0062
afrisenti_por_prompt_1,f1,0.0502,
afrisenti_por_prompt_2,acc,0.1723,0.0062
afrisenti_por_prompt_2,f1,0.0519,
afrisenti_por_prompt_3,acc,0.3509,0.0079
afrisenti_por_prompt_3,f1,0.2379,
afrisenti_por_prompt_4,acc,0.3299,0.0078
afrisenti_por_prompt_4,f1,0.2174,
afrisenti_por_prompt_5,acc,0.3394,0.0078
afrisenti_por_prompt_5,f1,0.2368,
afrisenti_swa_prompt_1,acc,0.2995,0.0168
afrisenti_swa_prompt_1,f1,0.1380,
afrisenti_swa_prompt_2,acc,0.3035,0.0168
afrisenti_swa_prompt_2,f1,0.1463,
afrisenti_swa_prompt_3,acc,0.3783,0.0177
afrisenti_swa_prompt_3,f1,0.3642,
afrisenti_swa_prompt_4,acc,0.3757,0.0177
afrisenti_swa_prompt_4,f1,0.3445,
afrisenti_swa_prompt_5,acc,0.4051,0.0180
afrisenti_swa_prompt_5,f1,0.4043,
afrisenti_tir_prompt_1,acc,0.3215,0.0104
afrisenti_tir_prompt_1,f1,0.1564,
afrisenti_tir_prompt_2,acc,0.3215,0.0104
afrisenti_tir_prompt_2,f1,0.1564,
afrisenti_tir_prompt_3,acc,0.6440,0.0107
afrisenti_tir_prompt_3,f1,0.5806,
afrisenti_tir_prompt_4,acc,0.5955,0.0110
afrisenti_tir_prompt_4,f1,0.5122,
afrisenti_tir_prompt_5,acc,0.5730,0.0111
afrisenti_tir_prompt_5,f1,0.4847,
afrisenti_tso_prompt_1,acc,0.4764,0.0314
afrisenti_tso_prompt_1,f1,0.3074,
afrisenti_tso_prompt_2,acc,0.4764,0.0314
afrisenti_tso_prompt_2,f1,0.3074,
afrisenti_tso_prompt_3,acc,0.6024,0.0308
afrisenti_tso_prompt_3,f1,0.5984,
afrisenti_tso_prompt_4,acc,0.4409,0.0312
afrisenti_tso_prompt_4,f1,0.4069,
afrisenti_tso_prompt_5,acc,0.5669,0.0312
afrisenti_tso_prompt_5,f1,0.5516,
afrisenti_twi_prompt_1,acc,0.4742,0.0162
afrisenti_twi_prompt_1,f1,0.3051,
afrisenti_twi_prompt_2,acc,0.4742,0.0162
afrisenti_twi_prompt_2,f1,0.3051,
afrisenti_twi_prompt_3,acc,0.5448,0.0162
afrisenti_twi_prompt_3,f1,0.5203,
afrisenti_twi_prompt_4,acc,0.4837,0.0162
afrisenti_twi_prompt_4,f1,0.4207,
afrisenti_twi_prompt_5,acc,0.5090,0.0162
afrisenti_twi_prompt_5,f1,0.4532,
afrisenti_yor_prompt_1,acc,0.4248,0.0074
afrisenti_yor_prompt_1,f1,0.2533,
afrisenti_yor_prompt_2,acc,0.4248,0.0074
afrisenti_yor_prompt_2,f1,0.2533,
afrisenti_yor_prompt_3,acc,0.5141,0.0074
afrisenti_yor_prompt_3,f1,0.5170,
afrisenti_yor_prompt_4,acc,0.3805,0.0072
afrisenti_yor_prompt_4,f1,0.3379,
afrisenti_yor_prompt_5,acc,0.4454,0.0074
afrisenti_yor_prompt_5,f1,0.4316,
