Tasks,Metric,Value,Stderr
afrixnli_amh_prompt_1,acc,0.3333,0.0193
afrixnli_amh_prompt_1,f1,0.1667,
afrixnli_amh_prompt_2,acc,0.3333,0.0193
afrixnli_amh_prompt_2,f1,0.1667,
afrixnli_amh_prompt_3,acc,0.3233,0.0191
afrixnli_amh_prompt_3,f1,0.2348,
afrixnli_amh_prompt_4,acc,0.3100,0.0189
afrixnli_amh_prompt_4,f1,0.2757,
afrixnli_amh_prompt_5,acc,0.3450,0.0194
afrixnli_amh_prompt_5,f1,0.1972,
afrixnli_eng_prompt_1,acc,0.3333,0.0193
afrixnli_eng_prompt_1,f1,0.1667,
afrixnli_eng_prompt_2,acc,0.5000,0.0204
afrixnli_eng_prompt_2,f1,0.4091,
afrixnli_eng_prompt_3,acc,0.4600,0.0204
afrixnli_eng_prompt_3,f1,0.3659,
afrixnli_eng_prompt_4,acc,0.4567,0.0204
afrixnli_eng_prompt_4,f1,0.3741,
afrixnli_eng_prompt_5,acc,0.3683,0.0197
afrixnli_eng_prompt_5,f1,0.2562,
afrixnli_ewe_prompt_1,acc,0.3333,0.0193
afrixnli_ewe_prompt_1,f1,0.1667,
afrixnli_ewe_prompt_2,acc,0.3567,0.0196
afrixnli_ewe_prompt_2,f1,0.2470,
afrixnli_ewe_prompt_3,acc,0.3217,0.0191
afrixnli_ewe_prompt_3,f1,0.3054,
afrixnli_ewe_prompt_4,acc,0.3467,0.0194
afrixnli_ewe_prompt_4,f1,0.3302,
afrixnli_ewe_prompt_5,acc,0.3583,0.0196
afrixnli_ewe_prompt_5,f1,0.2868,
afrixnli_fra_prompt_1,acc,0.3333,0.0193
afrixnli_fra_prompt_1,f1,0.1667,
afrixnli_fra_prompt_2,acc,0.4533,0.0203
afrixnli_fra_prompt_2,f1,0.3637,
afrixnli_fra_prompt_3,acc,0.4133,0.0201
afrixnli_fra_prompt_3,f1,0.3295,
afrixnli_fra_prompt_4,acc,0.3933,0.0200
afrixnli_fra_prompt_4,f1,0.3186,
afrixnli_fra_prompt_5,acc,0.3967,0.0200
afrixnli_fra_prompt_5,f1,0.3388,
afrixnli_hau_prompt_1,acc,0.3333,0.0193
afrixnli_hau_prompt_1,f1,0.1667,
afrixnli_hau_prompt_2,acc,0.3450,0.0194
afrixnli_hau_prompt_2,f1,0.2642,
afrixnli_hau_prompt_3,acc,0.3500,0.0195
afrixnli_hau_prompt_3,f1,0.3289,
afrixnli_hau_prompt_4,acc,0.3700,0.0197
afrixnli_hau_prompt_4,f1,0.3412,
afrixnli_hau_prompt_5,acc,0.3767,0.0198
afrixnli_hau_prompt_5,f1,0.3145,
afrixnli_ibo_prompt_1,acc,0.3333,0.0193
afrixnli_ibo_prompt_1,f1,0.1667,
afrixnli_ibo_prompt_2,acc,0.3733,0.0198
afrixnli_ibo_prompt_2,f1,0.2822,
afrixnli_ibo_prompt_3,acc,0.3400,0.0194
afrixnli_ibo_prompt_3,f1,0.2528,
afrixnli_ibo_prompt_4,acc,0.3467,0.0194
afrixnli_ibo_prompt_4,f1,0.2820,
afrixnli_ibo_prompt_5,acc,0.3467,0.0194
afrixnli_ibo_prompt_5,f1,0.2147,
afrixnli_kin_prompt_1,acc,0.3333,0.0193
afrixnli_kin_prompt_1,f1,0.1667,
afrixnli_kin_prompt_2,acc,0.3317,0.0192
afrixnli_kin_prompt_2,f1,0.1938,
afrixnli_kin_prompt_3,acc,0.3483,0.0195
afrixnli_kin_prompt_3,f1,0.2935,
afrixnli_kin_prompt_4,acc,0.3433,0.0194
afrixnli_kin_prompt_4,f1,0.3052,
afrixnli_kin_prompt_5,acc,0.3200,0.0191
afrixnli_kin_prompt_5,f1,0.2833,
afrixnli_lin_prompt_1,acc,0.3333,0.0193
afrixnli_lin_prompt_1,f1,0.1667,
afrixnli_lin_prompt_2,acc,0.3433,0.0194
afrixnli_lin_prompt_2,f1,0.2711,
afrixnli_lin_prompt_3,acc,0.3550,0.0196
afrixnli_lin_prompt_3,f1,0.3168,
afrixnli_lin_prompt_4,acc,0.3333,0.0193
afrixnli_lin_prompt_4,f1,0.2922,
afrixnli_lin_prompt_5,acc,0.3200,0.0191
afrixnli_lin_prompt_5,f1,0.2736,
afrixnli_lug_prompt_1,acc,0.3333,0.0193
afrixnli_lug_prompt_1,f1,0.1667,
afrixnli_lug_prompt_2,acc,0.3300,0.0192
afrixnli_lug_prompt_2,f1,0.2188,
afrixnli_lug_prompt_3,acc,0.3467,0.0194
afrixnli_lug_prompt_3,f1,0.2787,
afrixnli_lug_prompt_4,acc,0.3200,0.0191
afrixnli_lug_prompt_4,f1,0.2587,
afrixnli_lug_prompt_5,acc,0.3433,0.0194
afrixnli_lug_prompt_5,f1,0.2007,
afrixnli_orm_prompt_1,acc,0.3333,0.0193
afrixnli_orm_prompt_1,f1,0.1667,
afrixnli_orm_prompt_2,acc,0.3450,0.0194
afrixnli_orm_prompt_2,f1,0.2533,
afrixnli_orm_prompt_3,acc,0.3233,0.0191
afrixnli_orm_prompt_3,f1,0.2659,
afrixnli_orm_prompt_4,acc,0.3217,0.0191
afrixnli_orm_prompt_4,f1,0.2526,
afrixnli_orm_prompt_5,acc,0.3617,0.0196
afrixnli_orm_prompt_5,f1,0.2630,
afrixnli_sna_prompt_1,acc,0.3333,0.0193
afrixnli_sna_prompt_1,f1,0.1667,
afrixnli_sna_prompt_2,acc,0.3300,0.0192
afrixnli_sna_prompt_2,f1,0.2174,
afrixnli_sna_prompt_3,acc,0.3467,0.0194
afrixnli_sna_prompt_3,f1,0.3007,
afrixnli_sna_prompt_4,acc,0.3300,0.0192
afrixnli_sna_prompt_4,f1,0.2692,
afrixnli_sna_prompt_5,acc,0.3350,0.0193
afrixnli_sna_prompt_5,f1,0.2310,
afrixnli_sot_prompt_1,acc,0.3333,0.0193
afrixnli_sot_prompt_1,f1,0.1667,
afrixnli_sot_prompt_2,acc,0.3450,0.0194
afrixnli_sot_prompt_2,f1,0.2995,
afrixnli_sot_prompt_3,acc,0.3350,0.0193
afrixnli_sot_prompt_3,f1,0.2746,
afrixnli_sot_prompt_4,acc,0.3350,0.0193
afrixnli_sot_prompt_4,f1,0.2731,
afrixnli_sot_prompt_5,acc,0.3400,0.0194
afrixnli_sot_prompt_5,f1,0.2159,
afrixnli_swa_prompt_1,acc,0.3333,0.0193
afrixnli_swa_prompt_1,f1,0.1667,
afrixnli_swa_prompt_2,acc,0.3333,0.0193
afrixnli_swa_prompt_2,f1,0.2124,
afrixnli_swa_prompt_3,acc,0.3483,0.0195
afrixnli_swa_prompt_3,f1,0.2835,
afrixnli_swa_prompt_4,acc,0.3550,0.0196
afrixnli_swa_prompt_4,f1,0.2859,
afrixnli_swa_prompt_5,acc,0.3583,0.0196
afrixnli_swa_prompt_5,f1,0.2601,
afrixnli_twi_prompt_1,acc,0.3333,0.0193
afrixnli_twi_prompt_1,f1,0.1667,
afrixnli_twi_prompt_2,acc,0.3350,0.0193
afrixnli_twi_prompt_2,f1,0.2225,
afrixnli_twi_prompt_3,acc,0.3217,0.0191
afrixnli_twi_prompt_3,f1,0.3130,
afrixnli_twi_prompt_4,acc,0.3150,0.0190
afrixnli_twi_prompt_4,f1,0.3051,
afrixnli_twi_prompt_5,acc,0.3733,0.0198
afrixnli_twi_prompt_5,f1,0.3083,
afrixnli_wol_prompt_1,acc,0.3333,0.0193
