Language,Prompt,F1_Score
bem,prompt_1,0.198
bem,prompt_2,0.2471
bem,prompt_3,0.1452
bem,prompt_4,0.1921
bem,prompt_5,0.1686
fon,prompt_1,0.1949
fon,prompt_2,0.1997
fon,prompt_3,0.1621
fon,prompt_4,0.2044
fon,prompt_5,0.136
hau,prompt_1,0.1647
hau,prompt_2,0.1916
hau,prompt_3,0.1231
hau,prompt_4,0.1551
hau,prompt_5,0.1793
ibo,prompt_1,0.2341
ibo,prompt_2,0.2367
ibo,prompt_3,0.1692
ibo,prompt_4,0.2301
ibo,prompt_5,0.1933
kin,prompt_1,0.2584
kin,prompt_2,0.2426
kin,prompt_3,0.1933
kin,prompt_4,0.2624
kin,prompt_5,0.1886
swa,prompt_1,0.3708
swa,prompt_2,0.424
swa,prompt_3,0.2721
swa,prompt_4,0.3524
swa,prompt_5,0.3541
twi,prompt_1,0.1772
twi,prompt_2,0.1824
twi,prompt_3,0.1358
twi,prompt_4,0.1612
twi,prompt_5,0.124
yor,prompt_1,0.1803
yor,prompt_2,0.1707
yor,prompt_3,0.0978
yor,prompt_4,0.1696
yor,prompt_5,0.1687
zul,prompt_1,0.1624
zul,prompt_2,0.167
zul,prompt_3,0.1106
zul,prompt_4,0.1777
zul,prompt_5,0.1347
