Language,Prompt,F1_Score
bem,prompt_1,0.0547
bem,prompt_2,0.0633
bem,prompt_3,0.0589
bem,prompt_4,0.09
bem,prompt_5,0.124
fon,prompt_1,0.0683
fon,prompt_2,0.0582
fon,prompt_3,0.0443
fon,prompt_4,0.082
fon,prompt_5,0.0934
hau,prompt_1,0.0984
hau,prompt_2,0.09
hau,prompt_3,0.0583
hau,prompt_4,0.0674
hau,prompt_5,0.154
ibo,prompt_1,0.1836
ibo,prompt_2,0.0634
ibo,prompt_3,0.1149
ibo,prompt_4,0.2105
ibo,prompt_5,0.2845
kin,prompt_1,0.1269
kin,prompt_2,0.1279
kin,prompt_3,0.1145
kin,prompt_4,0.1554
kin,prompt_5,0.1886
swa,prompt_1,0.3571
swa,prompt_2,0.4109
swa,prompt_3,0.295
swa,prompt_4,0.3065
swa,prompt_5,0.373
twi,prompt_1,0.0636
twi,prompt_2,0.0511
twi,prompt_3,0.0339
twi,prompt_4,0.0626
twi,prompt_5,0.0767
yor,prompt_1,0.0503
yor,prompt_2,0.0491
yor,prompt_3,0.0228
yor,prompt_4,0.0593
yor,prompt_5,0.1618
zul,prompt_1,0.1005
zul,prompt_2,0.1273
zul,prompt_3,0.0769
zul,prompt_4,0.1133
zul,prompt_5,0.144
