Tasks,Metric,Value,Stderr
afrixnli_translate_amh_prompt_1,acc,0.3333,0.0193
afrixnli_translate_amh_prompt_1,f1,0.1667,
afrixnli_translate_amh_prompt_2,acc,0.4800,0.0204
afrixnli_translate_amh_prompt_2,f1,0.3866,
afrixnli_translate_amh_prompt_3,acc,0.3400,0.0194
afrixnli_translate_amh_prompt_3,f1,0.2358,
afrixnli_translate_amh_prompt_4,acc,0.3283,0.0192
afrixnli_translate_amh_prompt_4,f1,0.2066,
afrixnli_translate_amh_prompt_5,acc,0.3400,0.0194
afrixnli_translate_amh_prompt_5,f1,0.2066,
afrixnli_translate_ewe_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ewe_prompt_1,f1,0.1667,
afrixnli_translate_ewe_prompt_2,acc,0.4233,0.0202
afrixnli_translate_ewe_prompt_2,f1,0.3341,
afrixnli_translate_ewe_prompt_3,acc,0.3417,0.0194
afrixnli_translate_ewe_prompt_3,f1,0.2483,
afrixnli_translate_ewe_prompt_4,acc,0.3283,0.0192
afrixnli_translate_ewe_prompt_4,f1,0.2356,
afrixnli_translate_ewe_prompt_5,acc,0.3317,0.0192
afrixnli_translate_ewe_prompt_5,f1,0.2020,
afrixnli_translate_fra_prompt_1,acc,0.3333,0.0193
afrixnli_translate_fra_prompt_1,f1,0.1667,
afrixnli_translate_fra_prompt_2,acc,0.4917,0.0204
afrixnli_translate_fra_prompt_2,f1,0.3986,
afrixnli_translate_fra_prompt_3,acc,0.3300,0.0192
afrixnli_translate_fra_prompt_3,f1,0.1654,
afrixnli_translate_fra_prompt_4,acc,0.3317,0.0192
afrixnli_translate_fra_prompt_4,f1,0.1689,
afrixnli_translate_fra_prompt_5,acc,0.3400,0.0194
afrixnli_translate_fra_prompt_5,f1,0.2131,
afrixnli_translate_hau_prompt_1,acc,0.3333,0.0193
afrixnli_translate_hau_prompt_1,f1,0.1667,
afrixnli_translate_hau_prompt_2,acc,0.4517,0.0203
afrixnli_translate_hau_prompt_2,f1,0.3551,
afrixnli_translate_hau_prompt_3,acc,0.3333,0.0193
afrixnli_translate_hau_prompt_3,f1,0.1754,
afrixnli_translate_hau_prompt_4,acc,0.3317,0.0192
afrixnli_translate_hau_prompt_4,f1,0.1750,
afrixnli_translate_hau_prompt_5,acc,0.3433,0.0194
afrixnli_translate_hau_prompt_5,f1,0.2092,
afrixnli_translate_ibo_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ibo_prompt_1,f1,0.1667,
afrixnli_translate_ibo_prompt_2,acc,0.4383,0.0203
afrixnli_translate_ibo_prompt_2,f1,0.3476,
afrixnli_translate_ibo_prompt_3,acc,0.3317,0.0192
afrixnli_translate_ibo_prompt_3,f1,0.1695,
afrixnli_translate_ibo_prompt_4,acc,0.3317,0.0192
afrixnli_translate_ibo_prompt_4,f1,0.1693,
afrixnli_translate_ibo_prompt_5,acc,0.3400,0.0194
afrixnli_translate_ibo_prompt_5,f1,0.2051,
afrixnli_translate_kin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_kin_prompt_1,f1,0.1667,
afrixnli_translate_kin_prompt_2,acc,0.4450,0.0203
afrixnli_translate_kin_prompt_2,f1,0.3545,
afrixnli_translate_kin_prompt_3,acc,0.3250,0.0191
afrixnli_translate_kin_prompt_3,f1,0.2513,
afrixnli_translate_kin_prompt_4,acc,0.3317,0.0192
afrixnli_translate_kin_prompt_4,f1,0.2430,
afrixnli_translate_kin_prompt_5,acc,0.3367,0.0193
afrixnli_translate_kin_prompt_5,f1,0.2196,
afrixnli_translate_lin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lin_prompt_1,f1,0.1667,
afrixnli_translate_lin_prompt_2,acc,0.3350,0.0193
afrixnli_translate_lin_prompt_2,f1,0.2537,
afrixnli_translate_lin_prompt_3,acc,0.3533,0.0195
afrixnli_translate_lin_prompt_3,f1,0.2752,
afrixnli_translate_lin_prompt_4,acc,0.3500,0.0195
afrixnli_translate_lin_prompt_4,f1,0.2941,
afrixnli_translate_lin_prompt_5,acc,0.3217,0.0191
afrixnli_translate_lin_prompt_5,f1,0.2136,
afrixnli_translate_lug_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lug_prompt_1,f1,0.1667,
afrixnli_translate_lug_prompt_2,acc,0.4317,0.0202
afrixnli_translate_lug_prompt_2,f1,0.3418,
afrixnli_translate_lug_prompt_3,acc,0.3367,0.0193
afrixnli_translate_lug_prompt_3,f1,0.1766,
afrixnli_translate_lug_prompt_4,acc,0.3333,0.0193
afrixnli_translate_lug_prompt_4,f1,0.1695,
afrixnli_translate_lug_prompt_5,acc,0.3450,0.0194
afrixnli_translate_lug_prompt_5,f1,0.2162,
afrixnli_translate_orm_prompt_1,acc,0.3333,0.0193
afrixnli_translate_orm_prompt_1,f1,0.1667,
afrixnli_translate_orm_prompt_2,acc,0.4317,0.0202
afrixnli_translate_orm_prompt_2,f1,0.3434,
afrixnli_translate_orm_prompt_3,acc,0.3333,0.0193
afrixnli_translate_orm_prompt_3,f1,0.1667,
afrixnli_translate_orm_prompt_4,acc,0.3333,0.0193
afrixnli_translate_orm_prompt_4,f1,0.1667,
afrixnli_translate_orm_prompt_5,acc,0.3417,0.0194
afrixnli_translate_orm_prompt_5,f1,0.2177,
afrixnli_translate_sna_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sna_prompt_1,f1,0.1667,
afrixnli_translate_sna_prompt_2,acc,0.4550,0.0203
afrixnli_translate_sna_prompt_2,f1,0.3656,
afrixnli_translate_sna_prompt_3,acc,0.3317,0.0192
afrixnli_translate_sna_prompt_3,f1,0.1885,
afrixnli_translate_sna_prompt_4,acc,0.3250,0.0191
afrixnli_translate_sna_prompt_4,f1,0.1877,
afrixnli_translate_sna_prompt_5,acc,0.3383,0.0193
afrixnli_translate_sna_prompt_5,f1,0.1984,
afrixnli_translate_sot_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sot_prompt_1,f1,0.1667,
afrixnli_translate_sot_prompt_2,acc,0.4800,0.0204
afrixnli_translate_sot_prompt_2,f1,0.3847,
afrixnli_translate_sot_prompt_3,acc,0.3350,0.0193
afrixnli_translate_sot_prompt_3,f1,0.1736,
afrixnli_translate_sot_prompt_4,acc,0.3433,0.0194
afrixnli_translate_sot_prompt_4,f1,0.2025,
afrixnli_translate_sot_prompt_5,acc,0.3200,0.0191
afrixnli_translate_sot_prompt_5,f1,0.1939,
afrixnli_translate_swa_prompt_1,acc,0.3333,0.0193
afrixnli_translate_swa_prompt_1,f1,0.1667,
afrixnli_translate_swa_prompt_2,acc,0.4783,0.0204
afrixnli_translate_swa_prompt_2,f1,0.3849,
afrixnli_translate_swa_prompt_3,acc,0.3450,0.0194
afrixnli_translate_swa_prompt_3,f1,0.1992,
afrixnli_translate_swa_prompt_4,acc,0.3350,0.0193
afrixnli_translate_swa_prompt_4,f1,0.1823,
afrixnli_translate_swa_prompt_5,acc,0.3500,0.0195
afrixnli_translate_swa_prompt_5,f1,0.2258,
afrixnli_translate_twi_prompt_1,acc,0.3333,0.0193
afrixnli_translate_twi_prompt_1,f1,0.1667,
afrixnli_translate_twi_prompt_2,acc,0.4133,0.0201
afrixnli_translate_twi_prompt_2,f1,0.3199,
afrixnli_translate_twi_prompt_3,acc,0.3267,0.0192
afrixnli_translate_twi_prompt_3,f1,0.2420,
afrixnli_translate_twi_prompt_4,acc,0.3317,0.0192
afrixnli_translate_twi_prompt_4,f1,0.2385,
afrixnli_translate_twi_prompt_5,acc,0.3300,0.0192
afrixnli_translate_twi_prompt_5,f1,0.1983,
afrixnli_translate_wol_prompt_1,acc,0.3333,0.0193
afrixnli_translate_wol_prompt_1,f1,0.1667,
afrixnli_translate_wol_prompt_2,acc,0.3667,0.0197
afrixnli_translate_wol_prompt_2,f1,0.2823,
afrixnli_translate_wol_prompt_3,acc,0.3133,0.0190
afrixnli_translate_wol_prompt_3,f1,0.2493,
afrixnli_translate_wol_prompt_4,acc,0.3000,0.0187
afrixnli_translate_wol_prompt_4,f1,0.2392,
afrixnli_translate_wol_prompt_5,acc,0.3500,0.0195
afrixnli_translate_wol_prompt_5,f1,0.2341,
afrixnli_translate_xho_prompt_1,acc,0.3333,0.0193
afrixnli_translate_xho_prompt_1,f1,0.1667,
afrixnli_translate_xho_prompt_2,acc,0.4533,0.0203
afrixnli_translate_xho_prompt_2,f1,0.3614,
afrixnli_translate_xho_prompt_3,acc,0.3400,0.0194
afrixnli_translate_xho_prompt_3,f1,0.2210,
afrixnli_translate_xho_prompt_4,acc,0.3383,0.0193
afrixnli_translate_xho_prompt_4,f1,0.2119,
afrixnli_translate_xho_prompt_5,acc,0.3333,0.0193
afrixnli_translate_xho_prompt_5,f1,0.2039,
afrixnli_translate_yor_prompt_1,acc,0.3333,0.0193
afrixnli_translate_yor_prompt_1,f1,0.1667,
afrixnli_translate_yor_prompt_2,acc,0.4150,0.0201
afrixnli_translate_yor_prompt_2,f1,0.3313,
afrixnli_translate_yor_prompt_3,acc,0.3350,0.0193
afrixnli_translate_yor_prompt_3,f1,0.1704,
afrixnli_translate_yor_prompt_4,acc,0.3317,0.0192
afrixnli_translate_yor_prompt_4,f1,0.1722,
afrixnli_translate_yor_prompt_5,acc,0.3300,0.0192
afrixnli_translate_yor_prompt_5,f1,0.2044,
afrixnli_translate_zul_prompt_1,acc,0.3333,0.0193
afrixnli_translate_zul_prompt_1,f1,0.1667,
afrixnli_translate_zul_prompt_2,acc,0.4567,0.0204
afrixnli_translate_zul_prompt_2,f1,0.3654,
afrixnli_translate_zul_prompt_3,acc,0.3467,0.0194
afrixnli_translate_zul_prompt_3,f1,0.2427,
afrixnli_translate_zul_prompt_4,acc,0.3467,0.0194
afrixnli_translate_zul_prompt_4,f1,0.2474,
afrixnli_translate_zul_prompt_5,acc,0.3433,0.0194
afrixnli_translate_zul_prompt_5,f1,0.2190,
