Tasks,Metric,Value,Stderr
afrimmlu_direct_amh_prompt_1,acc,0.2840,0.0202
afrimmlu_direct_amh_prompt_1,f1,0.2826,
afrimmlu_direct_amh_prompt_2,acc,0.2760,0.0200
afrimmlu_direct_amh_prompt_2,f1,0.2767,
afrimmlu_direct_amh_prompt_3,acc,0.2720,0.0199
afrimmlu_direct_amh_prompt_3,f1,0.2706,
afrimmlu_direct_amh_prompt_4,acc,0.2620,0.0197
afrimmlu_direct_amh_prompt_4,f1,0.2597,
afrimmlu_direct_amh_prompt_5,acc,0.2800,0.0201
afrimmlu_direct_amh_prompt_5,f1,0.2808,
afrimmlu_direct_eng_prompt_1,acc,0.4980,0.0224
afrimmlu_direct_eng_prompt_1,f1,0.5006,
afrimmlu_direct_eng_prompt_2,acc,0.5380,0.0223
afrimmlu_direct_eng_prompt_2,f1,0.5410,
afrimmlu_direct_eng_prompt_3,acc,0.5200,0.0224
afrimmlu_direct_eng_prompt_3,f1,0.5230,
afrimmlu_direct_eng_prompt_4,acc,0.5280,0.0223
afrimmlu_direct_eng_prompt_4,f1,0.5297,
afrimmlu_direct_eng_prompt_5,acc,0.5020,0.0224
afrimmlu_direct_eng_prompt_5,f1,0.5054,
afrimmlu_direct_ewe_prompt_1,acc,0.2720,0.0199
afrimmlu_direct_ewe_prompt_1,f1,0.2701,
afrimmlu_direct_ewe_prompt_2,acc,0.2640,0.0197
afrimmlu_direct_ewe_prompt_2,f1,0.2607,
afrimmlu_direct_ewe_prompt_3,acc,0.2620,0.0197
afrimmlu_direct_ewe_prompt_3,f1,0.2593,
afrimmlu_direct_ewe_prompt_4,acc,0.2780,0.0201
afrimmlu_direct_ewe_prompt_4,f1,0.2745,
afrimmlu_direct_ewe_prompt_5,acc,0.2720,0.0199
afrimmlu_direct_ewe_prompt_5,f1,0.2658,
afrimmlu_direct_fra_prompt_1,acc,0.4700,0.0223
afrimmlu_direct_fra_prompt_1,f1,0.4723,
afrimmlu_direct_fra_prompt_2,acc,0.4680,0.0223
afrimmlu_direct_fra_prompt_2,f1,0.4706,
