Tasks,Metric,Value,Stderr
afrisenti_amh_prompt_1,acc,0.2201,0.0093
afrisenti_amh_prompt_1,f1,0.0817,
afrisenti_amh_prompt_2,acc,0.2211,0.0093
afrisenti_amh_prompt_2,f1,0.0983,
afrisenti_amh_prompt_3,acc,0.1126,0.0071
afrisenti_amh_prompt_3,f1,0.0236,
afrisenti_amh_prompt_4,acc,0.1166,0.0072
afrisenti_amh_prompt_4,f1,0.0316,
afrisenti_amh_prompt_5,acc,0.6868,0.0104
afrisenti_amh_prompt_5,f1,0.6039,
afrisenti_arq_prompt_1,acc,0.3413,0.0153
afrisenti_arq_prompt_1,f1,0.1749,
afrisenti_arq_prompt_2,acc,0.3434,0.0153
afrisenti_arq_prompt_2,f1,0.1775,
afrisenti_arq_prompt_3,acc,0.5219,0.0161
afrisenti_arq_prompt_3,f1,0.5560,
afrisenti_arq_prompt_4,acc,0.4958,0.0162
afrisenti_arq_prompt_4,f1,0.5329,
afrisenti_arq_prompt_5,acc,0.6326,0.0156
afrisenti_arq_prompt_5,f1,0.5932,
afrisenti_ary_prompt_1,acc,0.3877,0.0090
afrisenti_ary_prompt_1,f1,0.2195,
afrisenti_ary_prompt_2,acc,0.3880,0.0090
afrisenti_ary_prompt_2,f1,0.2196,
afrisenti_ary_prompt_3,acc,0.4265,0.0091
afrisenti_ary_prompt_3,f1,0.4300,
afrisenti_ary_prompt_4,acc,0.4235,0.0091
afrisenti_ary_prompt_4,f1,0.4201,
afrisenti_ary_prompt_5,acc,0.4387,0.0091
afrisenti_ary_prompt_5,f1,0.3714,
afrisenti_hau_prompt_1,acc,0.3440,0.0065
afrisenti_hau_prompt_1,f1,0.1978,
afrisenti_hau_prompt_2,acc,0.3317,0.0065
afrisenti_hau_prompt_2,f1,0.1677,
afrisenti_hau_prompt_3,acc,0.4173,0.0068
afrisenti_hau_prompt_3,f1,0.3754,
afrisenti_hau_prompt_4,acc,0.3553,0.0066
afrisenti_hau_prompt_4,f1,0.2145,
afrisenti_hau_prompt_5,acc,0.4426,0.0068
afrisenti_hau_prompt_5,f1,0.3576,
afrisenti_ibo_prompt_1,acc,0.3112,0.0076
afrisenti_ibo_prompt_1,f1,0.1734,
afrisenti_ibo_prompt_2,acc,0.3039,0.0076
afrisenti_ibo_prompt_2,f1,0.1420,
afrisenti_ibo_prompt_3,acc,0.4718,0.0082
afrisenti_ibo_prompt_3,f1,0.4073,
afrisenti_ibo_prompt_4,acc,0.4565,0.0082
afrisenti_ibo_prompt_4,f1,0.3197,
afrisenti_ibo_prompt_5,acc,0.3495,0.0079
afrisenti_ibo_prompt_5,f1,0.2543,
afrisenti_kin_prompt_1,acc,0.2739,0.0139
afrisenti_kin_prompt_1,f1,0.1233,
afrisenti_kin_prompt_2,acc,0.2690,0.0139
afrisenti_kin_prompt_2,f1,0.1185,
afrisenti_kin_prompt_3,acc,0.3967,0.0153
afrisenti_kin_prompt_3,f1,0.2462,
