Tasks,Metric,Value,Stderr
afrisenti_amh_prompt_1,acc,0.2191,0.0093
afrisenti_amh_prompt_1,f1,0.0788,
afrisenti_amh_prompt_2,acc,0.2191,0.0093
afrisenti_amh_prompt_2,f1,0.0788,
afrisenti_amh_prompt_3,acc,0.3022,0.0103
afrisenti_amh_prompt_3,f1,0.3099,
afrisenti_amh_prompt_4,acc,0.2336,0.0095
afrisenti_amh_prompt_4,f1,0.2485,
afrisenti_amh_prompt_5,acc,0.3252,0.0105
afrisenti_amh_prompt_5,f1,0.3089,
afrisenti_arq_prompt_1,acc,0.3434,0.0153
afrisenti_arq_prompt_1,f1,0.1756,
afrisenti_arq_prompt_2,acc,0.3424,0.0153
afrisenti_arq_prompt_2,f1,0.1752,
afrisenti_arq_prompt_3,acc,0.5397,0.0161
afrisenti_arq_prompt_3,f1,0.5288,
afrisenti_arq_prompt_4,acc,0.4102,0.0159
afrisenti_arq_prompt_4,f1,0.4422,
afrisenti_arq_prompt_5,acc,0.5459,0.0161
afrisenti_arq_prompt_5,f1,0.5408,
afrisenti_ary_prompt_1,acc,0.3880,0.0090
afrisenti_ary_prompt_1,f1,0.2209,
afrisenti_ary_prompt_2,acc,0.3864,0.0089
afrisenti_ary_prompt_2,f1,0.2193,
afrisenti_ary_prompt_3,acc,0.5008,0.0092
afrisenti_ary_prompt_3,f1,0.4913,
afrisenti_ary_prompt_4,acc,0.4262,0.0091
afrisenti_ary_prompt_4,f1,0.4158,
afrisenti_ary_prompt_5,acc,0.4498,0.0091
afrisenti_ary_prompt_5,f1,0.4347,
afrisenti_hau_prompt_1,acc,0.3308,0.0065
afrisenti_hau_prompt_1,f1,0.1646,
afrisenti_hau_prompt_2,acc,0.3323,0.0065
afrisenti_hau_prompt_2,f1,0.1674,
afrisenti_hau_prompt_3,acc,0.4916,0.0069
afrisenti_hau_prompt_3,f1,0.4819,
afrisenti_hau_prompt_4,acc,0.3773,0.0067
afrisenti_hau_prompt_4,f1,0.2682,
afrisenti_hau_prompt_5,acc,0.4431,0.0068
afrisenti_hau_prompt_5,f1,0.4421,
afrisenti_ibo_prompt_1,acc,0.3036,0.0076
afrisenti_ibo_prompt_1,f1,0.1414,
afrisenti_ibo_prompt_2,acc,0.3596,0.0079
afrisenti_ibo_prompt_2,f1,0.2881,
afrisenti_ibo_prompt_3,acc,0.4935,0.0082
afrisenti_ibo_prompt_3,f1,0.4803,
afrisenti_ibo_prompt_4,acc,0.4807,0.0082
afrisenti_ibo_prompt_4,f1,0.3926,
afrisenti_ibo_prompt_5,acc,0.4443,0.0082
afrisenti_ibo_prompt_5,f1,0.4358,
afrisenti_kin_prompt_1,acc,0.2778,0.0140
afrisenti_kin_prompt_1,f1,0.1345,
afrisenti_kin_prompt_2,acc,0.2739,0.0139
afrisenti_kin_prompt_2,f1,0.1675,
afrisenti_kin_prompt_3,acc,0.4376,0.0155
afrisenti_kin_prompt_3,f1,0.4115,
afrisenti_kin_prompt_4,acc,0.4493,0.0155
afrisenti_kin_prompt_4,f1,0.3811,
afrisenti_kin_prompt_5,acc,0.4084,0.0154
afrisenti_kin_prompt_5,f1,0.3779,
afrisenti_orm_prompt_1,acc,0.2204,0.0091
afrisenti_orm_prompt_1,f1,0.0805,
afrisenti_orm_prompt_2,acc,0.2209,0.0091
afrisenti_orm_prompt_2,f1,0.0850,
afrisenti_orm_prompt_3,acc,0.3230,0.0102
afrisenti_orm_prompt_3,f1,0.3075,
afrisenti_orm_prompt_4,acc,0.4237,0.0108
afrisenti_orm_prompt_4,f1,0.3308,
afrisenti_orm_prompt_5,acc,0.3139,0.0101
afrisenti_orm_prompt_5,f1,0.2862,
afrisenti_pcm_prompt_1,acc,0.3370,0.0073
afrisenti_pcm_prompt_1,f1,0.1708,
afrisenti_pcm_prompt_2,acc,0.3365,0.0073
afrisenti_pcm_prompt_2,f1,0.1698,
afrisenti_pcm_prompt_3,acc,0.6651,0.0073
afrisenti_pcm_prompt_3,f1,0.6873,
afrisenti_pcm_prompt_4,acc,0.3556,0.0074
afrisenti_pcm_prompt_4,f1,0.4124,
afrisenti_pcm_prompt_5,acc,0.6478,0.0074
afrisenti_pcm_prompt_5,f1,0.6785,
afrisenti_por_prompt_1,acc,0.2013,0.0066
afrisenti_por_prompt_1,f1,0.1136,
afrisenti_por_prompt_2,acc,0.1868,0.0064
afrisenti_por_prompt_2,f1,0.0843,
afrisenti_por_prompt_3,acc,0.4134,0.0081
afrisenti_por_prompt_3,f1,0.4074,
afrisenti_por_prompt_4,acc,0.6587,0.0078
afrisenti_por_prompt_4,f1,0.6630,
afrisenti_por_prompt_5,acc,0.4036,0.0081
afrisenti_por_prompt_5,f1,0.3740,
afrisenti_swa_prompt_1,acc,0.2995,0.0168
afrisenti_swa_prompt_1,f1,0.1380,
afrisenti_swa_prompt_2,acc,0.2995,0.0168
afrisenti_swa_prompt_2,f1,0.1380,
afrisenti_swa_prompt_3,acc,0.4358,0.0181
afrisenti_swa_prompt_3,f1,0.4483,
afrisenti_swa_prompt_4,acc,0.5481,0.0182
afrisenti_swa_prompt_4,f1,0.5212,
afrisenti_swa_prompt_5,acc,0.3289,0.0172
afrisenti_swa_prompt_5,f1,0.3184,
afrisenti_tir_prompt_1,acc,0.3215,0.0104
afrisenti_tir_prompt_1,f1,0.1564,
afrisenti_tir_prompt_2,acc,0.3210,0.0104
afrisenti_tir_prompt_2,f1,0.1572,
afrisenti_tir_prompt_3,acc,0.3130,0.0104
afrisenti_tir_prompt_3,f1,0.3021,
afrisenti_tir_prompt_4,acc,0.2365,0.0095
afrisenti_tir_prompt_4,f1,0.1713,
afrisenti_tir_prompt_5,acc,0.3575,0.0107
afrisenti_tir_prompt_5,f1,0.3002,
afrisenti_tso_prompt_1,acc,0.4803,0.0314
afrisenti_tso_prompt_1,f1,0.3420,
afrisenti_tso_prompt_2,acc,0.4843,0.0314
afrisenti_tso_prompt_2,f1,0.3366,
afrisenti_tso_prompt_3,acc,0.4528,0.0313
afrisenti_tso_prompt_3,f1,0.4537,
afrisenti_tso_prompt_4,acc,0.2559,0.0274
afrisenti_tso_prompt_4,f1,0.2294,
afrisenti_tso_prompt_5,acc,0.4409,0.0312
afrisenti_tso_prompt_5,f1,0.4276,
afrisenti_twi_prompt_1,acc,0.4731,0.0162
afrisenti_twi_prompt_1,f1,0.3048,
afrisenti_twi_prompt_2,acc,0.4742,0.0162
afrisenti_twi_prompt_2,f1,0.3071,
afrisenti_twi_prompt_3,acc,0.3878,0.0158
afrisenti_twi_prompt_3,f1,0.4065,
afrisenti_twi_prompt_4,acc,0.2266,0.0136
afrisenti_twi_prompt_4,f1,0.1986,
afrisenti_twi_prompt_5,acc,0.4226,0.0160
afrisenti_twi_prompt_5,f1,0.4238,
afrisenti_yor_prompt_1,acc,0.4248,0.0074
afrisenti_yor_prompt_1,f1,0.2533,
afrisenti_yor_prompt_2,acc,0.4133,0.0073
afrisenti_yor_prompt_2,f1,0.2525,
afrisenti_yor_prompt_3,acc,0.4093,0.0073
afrisenti_yor_prompt_3,f1,0.3982,
afrisenti_yor_prompt_4,acc,0.3816,0.0072
afrisenti_yor_prompt_4,f1,0.2511,
afrisenti_yor_prompt_5,acc,0.4310,0.0074
afrisenti_yor_prompt_5,f1,0.4299,
