|        Tasks        |Version|     Filter      |n-shot|  Metric   |   |Value|   |Stderr|
|---------------------|------:|-----------------|-----:|-----------|---|----:|---|-----:|
|afrimgsm_amh_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.000|±  |0.0000|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_amh_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_amh_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_amh_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.000|±  |0.0000|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_amh_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_eng_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.016|±  |0.0080|
|afrimgsm_eng_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.020|±  |0.0089|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.012|±  |0.0069|
|afrimgsm_eng_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.052|±  |0.0141|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.012|±  |0.0069|
|afrimgsm_eng_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_eng_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ewe_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ewe_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ewe_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.000|±  |0.0000|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ewe_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_ewe_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_fra_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_fra_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_fra_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.020|±  |0.0089|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_fra_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_fra_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_hau_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_hau_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_hau_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_hau_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_hau_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ibo_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_ibo_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.000|±  |0.0000|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ibo_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_ibo_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_ibo_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.020|±  |0.0089|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_kin_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_kin_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_kin_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_kin_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_kin_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_lin_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_lin_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_lin_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lin_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lin_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lug_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.000|±  |0.0000|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lug_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lug_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.000|±  |0.0000|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_lug_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_lug_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_orm_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_orm_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_orm_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_orm_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_orm_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_sna_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_sna_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_sna_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_sna_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_sna_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_sot_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_sot_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_sot_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.016|±  |0.0080|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.016|±  |0.0080|
|afrimgsm_sot_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_sot_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_swa_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_swa_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_swa_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_swa_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_swa_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_twi_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_twi_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_twi_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_twi_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_twi_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_vai_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_vai_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_vai_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_vai_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_vai_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_wol_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_wol_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_wol_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_wol_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_wol_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_xho_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_xho_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_xho_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_xho_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_xho_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_yor_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_yor_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_yor_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.000|±  |0.0000|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_yor_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_yor_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.012|±  |0.0069|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_zul_prompt_1|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.008|±  |0.0056|
|afrimgsm_zul_prompt_2|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_zul_prompt_3|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
|afrimgsm_zul_prompt_4|      2|flexible-extract |     0|exact_match|↑  |0.008|±  |0.0056|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.004|±  |0.0040|
|afrimgsm_zul_prompt_5|      2|flexible-extract |     0|exact_match|↑  |0.004|±  |0.0040|
|                     |       |remove_whitespace|     0|exact_match|↑  |0.000|±  |0.0000|
