Tasks,Metric,Value,Stderr
afrixnli_translate_amh_prompt_1,acc,0.3333,0.0193
afrixnli_translate_amh_prompt_1,f1,0.1667,
afrixnli_translate_amh_prompt_2,acc,0.5767,0.0202
afrixnli_translate_amh_prompt_2,f1,0.5729,
afrixnli_translate_amh_prompt_3,acc,0.3933,0.0200
afrixnli_translate_amh_prompt_3,f1,0.3511,
afrixnli_translate_amh_prompt_4,acc,0.4150,0.0201
afrixnli_translate_amh_prompt_4,f1,0.3797,
afrixnli_translate_amh_prompt_5,acc,0.3700,0.0197
afrixnli_translate_amh_prompt_5,f1,0.2933,
afrixnli_translate_ewe_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ewe_prompt_1,f1,0.1667,
afrixnli_translate_ewe_prompt_2,acc,0.4667,0.0204
afrixnli_translate_ewe_prompt_2,f1,0.4493,
afrixnli_translate_ewe_prompt_3,acc,0.3800,0.0198
afrixnli_translate_ewe_prompt_3,f1,0.3562,
afrixnli_translate_ewe_prompt_4,acc,0.3767,0.0198
afrixnli_translate_ewe_prompt_4,f1,0.3312,
afrixnli_translate_ewe_prompt_5,acc,0.3683,0.0197
afrixnli_translate_ewe_prompt_5,f1,0.2998,
afrixnli_translate_fra_prompt_1,acc,0.3333,0.0193
afrixnli_translate_fra_prompt_1,f1,0.1667,
afrixnli_translate_fra_prompt_2,acc,0.6333,0.0197
afrixnli_translate_fra_prompt_2,f1,0.6285,
afrixnli_translate_fra_prompt_3,acc,0.5233,0.0204
afrixnli_translate_fra_prompt_3,f1,0.4997,
afrixnli_translate_fra_prompt_4,acc,0.5550,0.0203
afrixnli_translate_fra_prompt_4,f1,0.5442,
afrixnli_translate_fra_prompt_5,acc,0.4383,0.0203
afrixnli_translate_fra_prompt_5,f1,0.3547,
afrixnli_translate_hau_prompt_1,acc,0.3333,0.0193
afrixnli_translate_hau_prompt_1,f1,0.1667,
afrixnli_translate_hau_prompt_2,acc,0.5433,0.0204
afrixnli_translate_hau_prompt_2,f1,0.5356,
afrixnli_translate_hau_prompt_3,acc,0.4467,0.0203
afrixnli_translate_hau_prompt_3,f1,0.4450,
afrixnli_translate_hau_prompt_4,acc,0.4800,0.0204
afrixnli_translate_hau_prompt_4,f1,0.4780,
afrixnli_translate_hau_prompt_5,acc,0.4067,0.0201
afrixnli_translate_hau_prompt_5,f1,0.3351,
afrixnli_translate_ibo_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ibo_prompt_1,f1,0.1667,
afrixnli_translate_ibo_prompt_2,acc,0.5383,0.0204
afrixnli_translate_ibo_prompt_2,f1,0.5305,
afrixnli_translate_ibo_prompt_3,acc,0.4433,0.0203
afrixnli_translate_ibo_prompt_3,f1,0.4431,
afrixnli_translate_ibo_prompt_4,acc,0.5183,0.0204
afrixnli_translate_ibo_prompt_4,f1,0.5162,
afrixnli_translate_ibo_prompt_5,acc,0.4200,0.0202
afrixnli_translate_ibo_prompt_5,f1,0.3413,
afrixnli_translate_kin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_kin_prompt_1,f1,0.1667,
afrixnli_translate_kin_prompt_2,acc,0.5050,0.0204
afrixnli_translate_kin_prompt_2,f1,0.4951,
afrixnli_translate_kin_prompt_3,acc,0.3583,0.0196
afrixnli_translate_kin_prompt_3,f1,0.3262,
afrixnli_translate_kin_prompt_4,acc,0.3617,0.0196
afrixnli_translate_kin_prompt_4,f1,0.3090,
afrixnli_translate_kin_prompt_5,acc,0.3433,0.0194
afrixnli_translate_kin_prompt_5,f1,0.2658,
afrixnli_translate_lin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lin_prompt_1,f1,0.1667,
afrixnli_translate_lin_prompt_2,acc,0.3017,0.0188
afrixnli_translate_lin_prompt_2,f1,0.2651,
afrixnli_translate_lin_prompt_3,acc,0.3400,0.0194
afrixnli_translate_lin_prompt_3,f1,0.3002,
afrixnli_translate_lin_prompt_4,acc,0.3267,0.0192
afrixnli_translate_lin_prompt_4,f1,0.2836,
afrixnli_translate_lin_prompt_5,acc,0.3267,0.0192
afrixnli_translate_lin_prompt_5,f1,0.2618,
afrixnli_translate_lug_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lug_prompt_1,f1,0.1667,
afrixnli_translate_lug_prompt_2,acc,0.5417,0.0204
afrixnli_translate_lug_prompt_2,f1,0.5355,
afrixnli_translate_lug_prompt_3,acc,0.4300,0.0202
afrixnli_translate_lug_prompt_3,f1,0.4241,
afrixnli_translate_lug_prompt_4,acc,0.4600,0.0204
afrixnli_translate_lug_prompt_4,f1,0.4615,
afrixnli_translate_lug_prompt_5,acc,0.4067,0.0201
afrixnli_translate_lug_prompt_5,f1,0.3276,
afrixnli_translate_orm_prompt_1,acc,0.3333,0.0193
afrixnli_translate_orm_prompt_1,f1,0.1667,
afrixnli_translate_orm_prompt_2,acc,0.5267,0.0204
afrixnli_translate_orm_prompt_2,f1,0.5243,
afrixnli_translate_orm_prompt_3,acc,0.4500,0.0203
afrixnli_translate_orm_prompt_3,f1,0.4245,
afrixnli_translate_orm_prompt_4,acc,0.4683,0.0204
afrixnli_translate_orm_prompt_4,f1,0.4648,
afrixnli_translate_orm_prompt_5,acc,0.3700,0.0197
afrixnli_translate_orm_prompt_5,f1,0.3003,
afrixnli_translate_sna_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sna_prompt_1,f1,0.1667,
afrixnli_translate_sna_prompt_2,acc,0.5617,0.0203
afrixnli_translate_sna_prompt_2,f1,0.5575,
afrixnli_translate_sna_prompt_3,acc,0.4650,0.0204
afrixnli_translate_sna_prompt_3,f1,0.4614,
afrixnli_translate_sna_prompt_4,acc,0.4717,0.0204
afrixnli_translate_sna_prompt_4,f1,0.4731,
afrixnli_translate_sna_prompt_5,acc,0.4017,0.0200
afrixnli_translate_sna_prompt_5,f1,0.3278,
afrixnli_translate_sot_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sot_prompt_1,f1,0.1667,
afrixnli_translate_sot_prompt_2,acc,0.5633,0.0203
afrixnli_translate_sot_prompt_2,f1,0.5581,
afrixnli_translate_sot_prompt_3,acc,0.4583,0.0204
afrixnli_translate_sot_prompt_3,f1,0.4384,
afrixnli_translate_sot_prompt_4,acc,0.4900,0.0204
afrixnli_translate_sot_prompt_4,f1,0.4898,
afrixnli_translate_sot_prompt_5,acc,0.4083,0.0201
afrixnli_translate_sot_prompt_5,f1,0.3358,
afrixnli_translate_swa_prompt_1,acc,0.3333,0.0193
afrixnli_translate_swa_prompt_1,f1,0.1667,
afrixnli_translate_swa_prompt_2,acc,0.5783,0.0202
afrixnli_translate_swa_prompt_2,f1,0.5769,
afrixnli_translate_swa_prompt_3,acc,0.4883,0.0204
afrixnli_translate_swa_prompt_3,f1,0.4863,
afrixnli_translate_swa_prompt_4,acc,0.5033,0.0204
afrixnli_translate_swa_prompt_4,f1,0.5005,
afrixnli_translate_swa_prompt_5,acc,0.4267,0.0202
afrixnli_translate_swa_prompt_5,f1,0.3434,
afrixnli_translate_twi_prompt_1,acc,0.3333,0.0193
afrixnli_translate_twi_prompt_1,f1,0.1667,
afrixnli_translate_twi_prompt_2,acc,0.4583,0.0204
afrixnli_translate_twi_prompt_2,f1,0.4431,
afrixnli_translate_twi_prompt_3,acc,0.3450,0.0194
afrixnli_translate_twi_prompt_3,f1,0.3360,
afrixnli_translate_twi_prompt_4,acc,0.3717,0.0197
afrixnli_translate_twi_prompt_4,f1,0.3627,
afrixnli_translate_twi_prompt_5,acc,0.3433,0.0194
afrixnli_translate_twi_prompt_5,f1,0.2761,
afrixnli_translate_wol_prompt_1,acc,0.3333,0.0193
afrixnli_translate_wol_prompt_1,f1,0.1667,
afrixnli_translate_wol_prompt_2,acc,0.4017,0.0200
afrixnli_translate_wol_prompt_2,f1,0.3726,
afrixnli_translate_wol_prompt_3,acc,0.3633,0.0197
afrixnli_translate_wol_prompt_3,f1,0.3126,
afrixnli_translate_wol_prompt_4,acc,0.3333,0.0193
afrixnli_translate_wol_prompt_4,f1,0.2680,
afrixnli_translate_wol_prompt_5,acc,0.3200,0.0191
afrixnli_translate_wol_prompt_5,f1,0.2313,
afrixnli_translate_xho_prompt_1,acc,0.3333,0.0193
afrixnli_translate_xho_prompt_1,f1,0.1667,
afrixnli_translate_xho_prompt_2,acc,0.5717,0.0202
afrixnli_translate_xho_prompt_2,f1,0.5676,
afrixnli_translate_xho_prompt_3,acc,0.4450,0.0203
afrixnli_translate_xho_prompt_3,f1,0.4432,
afrixnli_translate_xho_prompt_4,acc,0.4617,0.0204
afrixnli_translate_xho_prompt_4,f1,0.4632,
afrixnli_translate_xho_prompt_5,acc,0.3850,0.0199
afrixnli_translate_xho_prompt_5,f1,0.3107,
afrixnli_translate_yor_prompt_1,acc,0.3333,0.0193
afrixnli_translate_yor_prompt_1,f1,0.1667,
afrixnli_translate_yor_prompt_2,acc,0.5217,0.0204
afrixnli_translate_yor_prompt_2,f1,0.5182,
afrixnli_translate_yor_prompt_3,acc,0.4400,0.0203
afrixnli_translate_yor_prompt_3,f1,0.4348,
afrixnli_translate_yor_prompt_4,acc,0.4783,0.0204
afrixnli_translate_yor_prompt_4,f1,0.4800,
afrixnli_translate_yor_prompt_5,acc,0.4017,0.0200
afrixnli_translate_yor_prompt_5,f1,0.3302,
afrixnli_translate_zul_prompt_1,acc,0.3333,0.0193
afrixnli_translate_zul_prompt_1,f1,0.1667,
afrixnli_translate_zul_prompt_2,acc,0.5600,0.0203
afrixnli_translate_zul_prompt_2,f1,0.5535,
afrixnli_translate_zul_prompt_3,acc,0.4400,0.0203
afrixnli_translate_zul_prompt_3,f1,0.4367,
afrixnli_translate_zul_prompt_4,acc,0.4367,0.0203
afrixnli_translate_zul_prompt_4,f1,0.4369,
afrixnli_translate_zul_prompt_5,acc,0.4033,0.0200
afrixnli_translate_zul_prompt_5,f1,0.3216,
