Tasks,Metric,Value,Stderr
afrixnli_translate_amh_prompt_1,acc,0.3333,0.0193
afrixnli_translate_amh_prompt_1,f1,0.1667,
afrixnli_translate_amh_prompt_2,acc,0.5233,0.0204
afrixnli_translate_amh_prompt_2,f1,0.5221,
afrixnli_translate_amh_prompt_3,acc,0.3550,0.0196
afrixnli_translate_amh_prompt_3,f1,0.3029,
afrixnli_translate_amh_prompt_4,acc,0.4117,0.0201
afrixnli_translate_amh_prompt_4,f1,0.4079,
afrixnli_translate_amh_prompt_5,acc,0.3417,0.0194
afrixnli_translate_amh_prompt_5,f1,0.2122,
afrixnli_translate_ewe_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ewe_prompt_1,f1,0.1667,
afrixnli_translate_ewe_prompt_2,acc,0.4383,0.0203
afrixnli_translate_ewe_prompt_2,f1,0.4335,
afrixnli_translate_ewe_prompt_3,acc,0.3717,0.0197
afrixnli_translate_ewe_prompt_3,f1,0.3409,
afrixnli_translate_ewe_prompt_4,acc,0.3750,0.0198
afrixnli_translate_ewe_prompt_4,f1,0.3174,
afrixnli_translate_ewe_prompt_5,acc,0.3200,0.0191
afrixnli_translate_ewe_prompt_5,f1,0.1873,
afrixnli_translate_fra_prompt_1,acc,0.3333,0.0193
afrixnli_translate_fra_prompt_1,f1,0.1667,
afrixnli_translate_fra_prompt_2,acc,0.5450,0.0203
afrixnli_translate_fra_prompt_2,f1,0.5269,
afrixnli_translate_fra_prompt_3,acc,0.4450,0.0203
afrixnli_translate_fra_prompt_3,f1,0.4308,
afrixnli_translate_fra_prompt_4,acc,0.4300,0.0202
afrixnli_translate_fra_prompt_4,f1,0.3926,
afrixnli_translate_fra_prompt_5,acc,0.3483,0.0195
afrixnli_translate_fra_prompt_5,f1,0.2209,
afrixnli_translate_hau_prompt_1,acc,0.3333,0.0193
afrixnli_translate_hau_prompt_1,f1,0.1667,
afrixnli_translate_hau_prompt_2,acc,0.4933,0.0204
afrixnli_translate_hau_prompt_2,f1,0.4815,
afrixnli_translate_hau_prompt_3,acc,0.3750,0.0198
afrixnli_translate_hau_prompt_3,f1,0.3483,
afrixnli_translate_hau_prompt_4,acc,0.3950,0.0200
afrixnli_translate_hau_prompt_4,f1,0.3569,
afrixnli_translate_hau_prompt_5,acc,0.3450,0.0194
afrixnli_translate_hau_prompt_5,f1,0.2137,
afrixnli_translate_ibo_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ibo_prompt_1,f1,0.1667,
afrixnli_translate_ibo_prompt_2,acc,0.4567,0.0204
afrixnli_translate_ibo_prompt_2,f1,0.4458,
afrixnli_translate_ibo_prompt_3,acc,0.3567,0.0196
afrixnli_translate_ibo_prompt_3,f1,0.3154,
afrixnli_translate_ibo_prompt_4,acc,0.3600,0.0196
afrixnli_translate_ibo_prompt_4,f1,0.3371,
afrixnli_translate_ibo_prompt_5,acc,0.3333,0.0193
afrixnli_translate_ibo_prompt_5,f1,0.1991,
afrixnli_translate_kin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_kin_prompt_1,f1,0.1667,
afrixnli_translate_kin_prompt_2,acc,0.4817,0.0204
afrixnli_translate_kin_prompt_2,f1,0.4811,
afrixnli_translate_kin_prompt_3,acc,0.3550,0.0196
afrixnli_translate_kin_prompt_3,f1,0.3226,
afrixnli_translate_kin_prompt_4,acc,0.3583,0.0196
afrixnli_translate_kin_prompt_4,f1,0.3125,
afrixnli_translate_kin_prompt_5,acc,0.3400,0.0194
afrixnli_translate_kin_prompt_5,f1,0.2139,
afrixnli_translate_lin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lin_prompt_1,f1,0.1667,
afrixnli_translate_lin_prompt_2,acc,0.3467,0.0194
afrixnli_translate_lin_prompt_2,f1,0.3315,
afrixnli_translate_lin_prompt_3,acc,0.3567,0.0196
afrixnli_translate_lin_prompt_3,f1,0.3388,
afrixnli_translate_lin_prompt_4,acc,0.3300,0.0192
afrixnli_translate_lin_prompt_4,f1,0.2704,
afrixnli_translate_lin_prompt_5,acc,0.3150,0.0190
afrixnli_translate_lin_prompt_5,f1,0.1904,
afrixnli_translate_lug_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lug_prompt_1,f1,0.1667,
afrixnli_translate_lug_prompt_2,acc,0.4733,0.0204
afrixnli_translate_lug_prompt_2,f1,0.4553,
afrixnli_translate_lug_prompt_3,acc,0.3950,0.0200
afrixnli_translate_lug_prompt_3,f1,0.3901,
afrixnli_translate_lug_prompt_4,acc,0.3900,0.0199
afrixnli_translate_lug_prompt_4,f1,0.3646,
afrixnli_translate_lug_prompt_5,acc,0.3433,0.0194
afrixnli_translate_lug_prompt_5,f1,0.2178,
afrixnli_translate_orm_prompt_1,acc,0.3333,0.0193
afrixnli_translate_orm_prompt_1,f1,0.1667,
afrixnli_translate_orm_prompt_2,acc,0.4817,0.0204
afrixnli_translate_orm_prompt_2,f1,0.4675,
afrixnli_translate_orm_prompt_3,acc,0.3833,0.0199
afrixnli_translate_orm_prompt_3,f1,0.3491,
afrixnli_translate_orm_prompt_4,acc,0.3833,0.0199
afrixnli_translate_orm_prompt_4,f1,0.3720,
afrixnli_translate_orm_prompt_5,acc,0.3350,0.0193
afrixnli_translate_orm_prompt_5,f1,0.2108,
afrixnli_translate_sna_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sna_prompt_1,f1,0.1667,
afrixnli_translate_sna_prompt_2,acc,0.4933,0.0204
afrixnli_translate_sna_prompt_2,f1,0.4785,
afrixnli_translate_sna_prompt_3,acc,0.3967,0.0200
afrixnli_translate_sna_prompt_3,f1,0.3557,
afrixnli_translate_sna_prompt_4,acc,0.4033,0.0200
afrixnli_translate_sna_prompt_4,f1,0.3784,
afrixnli_translate_sna_prompt_5,acc,0.3433,0.0194
afrixnli_translate_sna_prompt_5,f1,0.2104,
afrixnli_translate_sot_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sot_prompt_1,f1,0.1667,
afrixnli_translate_sot_prompt_2,acc,0.5000,0.0204
afrixnli_translate_sot_prompt_2,f1,0.4836,
afrixnli_translate_sot_prompt_3,acc,0.3517,0.0195
afrixnli_translate_sot_prompt_3,f1,0.2859,
afrixnli_translate_sot_prompt_4,acc,0.3800,0.0198
afrixnli_translate_sot_prompt_4,f1,0.3618,
afrixnli_translate_sot_prompt_5,acc,0.3350,0.0193
afrixnli_translate_sot_prompt_5,f1,0.1993,
afrixnli_translate_swa_prompt_1,acc,0.3333,0.0193
afrixnli_translate_swa_prompt_1,f1,0.1667,
afrixnli_translate_swa_prompt_2,acc,0.5083,0.0204
afrixnli_translate_swa_prompt_2,f1,0.4966,
afrixnli_translate_swa_prompt_3,acc,0.3967,0.0200
afrixnli_translate_swa_prompt_3,f1,0.3750,
afrixnli_translate_swa_prompt_4,acc,0.4083,0.0201
afrixnli_translate_swa_prompt_4,f1,0.3887,
afrixnli_translate_swa_prompt_5,acc,0.3550,0.0196
afrixnli_translate_swa_prompt_5,f1,0.2318,
afrixnli_translate_twi_prompt_1,acc,0.3333,0.0193
afrixnli_translate_twi_prompt_1,f1,0.1667,
afrixnli_translate_twi_prompt_2,acc,0.4200,0.0202
afrixnli_translate_twi_prompt_2,f1,0.4102,
afrixnli_translate_twi_prompt_3,acc,0.3483,0.0195
afrixnli_translate_twi_prompt_3,f1,0.3208,
afrixnli_translate_twi_prompt_4,acc,0.3867,0.0199
afrixnli_translate_twi_prompt_4,f1,0.3486,
afrixnli_translate_twi_prompt_5,acc,0.3317,0.0192
afrixnli_translate_twi_prompt_5,f1,0.2015,
afrixnli_translate_wol_prompt_1,acc,0.3333,0.0193
afrixnli_translate_wol_prompt_1,f1,0.1667,
afrixnli_translate_wol_prompt_2,acc,0.3950,0.0200
afrixnli_translate_wol_prompt_2,f1,0.3884,
afrixnli_translate_wol_prompt_3,acc,0.3267,0.0192
afrixnli_translate_wol_prompt_3,f1,0.2711,
afrixnli_translate_wol_prompt_4,acc,0.3383,0.0193
afrixnli_translate_wol_prompt_4,f1,0.2581,
afrixnli_translate_wol_prompt_5,acc,0.3450,0.0194
afrixnli_translate_wol_prompt_5,f1,0.2121,
afrixnli_translate_xho_prompt_1,acc,0.3333,0.0193
afrixnli_translate_xho_prompt_1,f1,0.1667,
afrixnli_translate_xho_prompt_2,acc,0.4967,0.0204
afrixnli_translate_xho_prompt_2,f1,0.4903,
afrixnli_translate_xho_prompt_3,acc,0.3467,0.0194
afrixnli_translate_xho_prompt_3,f1,0.2887,
afrixnli_translate_xho_prompt_4,acc,0.3533,0.0195
afrixnli_translate_xho_prompt_4,f1,0.3464,
afrixnli_translate_xho_prompt_5,acc,0.3517,0.0195
afrixnli_translate_xho_prompt_5,f1,0.2285,
afrixnli_translate_yor_prompt_1,acc,0.3333,0.0193
afrixnli_translate_yor_prompt_1,f1,0.1667,
afrixnli_translate_yor_prompt_2,acc,0.4533,0.0203
afrixnli_translate_yor_prompt_2,f1,0.4418,
afrixnli_translate_yor_prompt_3,acc,0.3933,0.0200
afrixnli_translate_yor_prompt_3,f1,0.3471,
afrixnli_translate_yor_prompt_4,acc,0.3883,0.0199
afrixnli_translate_yor_prompt_4,f1,0.3813,
afrixnli_translate_yor_prompt_5,acc,0.3367,0.0193
afrixnli_translate_yor_prompt_5,f1,0.2061,
afrixnli_translate_zul_prompt_1,acc,0.3333,0.0193
afrixnli_translate_zul_prompt_1,f1,0.1667,
afrixnli_translate_zul_prompt_2,acc,0.5000,0.0204
afrixnli_translate_zul_prompt_2,f1,0.4940,
afrixnli_translate_zul_prompt_3,acc,0.3550,0.0196
afrixnli_translate_zul_prompt_3,f1,0.3081,
afrixnli_translate_zul_prompt_4,acc,0.3200,0.0191
afrixnli_translate_zul_prompt_4,f1,0.3002,
afrixnli_translate_zul_prompt_5,acc,0.3533,0.0195
afrixnli_translate_zul_prompt_5,f1,0.2272,
