Tasks,Metric,Value,Stderr
afrixnli_translate_amh_prompt_1,acc,0.3333,0.0193
afrixnli_translate_amh_prompt_1,f1,0.1667,
afrixnli_translate_amh_prompt_2,acc,0.5650,0.0203
afrixnli_translate_amh_prompt_2,f1,0.5714,
afrixnli_translate_amh_prompt_3,acc,0.4167,0.0201
afrixnli_translate_amh_prompt_3,f1,0.3690,
afrixnli_translate_amh_prompt_4,acc,0.3550,0.0196
afrixnli_translate_amh_prompt_4,f1,0.2727,
afrixnli_translate_amh_prompt_5,acc,0.3833,0.0199
afrixnli_translate_amh_prompt_5,f1,0.2902,
afrixnli_translate_ewe_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ewe_prompt_1,f1,0.1667,
afrixnli_translate_ewe_prompt_2,acc,0.4533,0.0203
afrixnli_translate_ewe_prompt_2,f1,0.4401,
afrixnli_translate_ewe_prompt_3,acc,0.3600,0.0196
afrixnli_translate_ewe_prompt_3,f1,0.2919,
afrixnli_translate_ewe_prompt_4,acc,0.3617,0.0196
afrixnli_translate_ewe_prompt_4,f1,0.2819,
afrixnli_translate_ewe_prompt_5,acc,0.3533,0.0195
afrixnli_translate_ewe_prompt_5,f1,0.2719,
afrixnli_translate_fra_prompt_1,acc,0.3333,0.0193
afrixnli_translate_fra_prompt_1,f1,0.1667,
afrixnli_translate_fra_prompt_2,acc,0.6300,0.0197
afrixnli_translate_fra_prompt_2,f1,0.6280,
afrixnli_translate_fra_prompt_3,acc,0.5233,0.0204
afrixnli_translate_fra_prompt_3,f1,0.5193,
afrixnli_translate_fra_prompt_4,acc,0.4150,0.0201
afrixnli_translate_fra_prompt_4,f1,0.3694,
afrixnli_translate_fra_prompt_5,acc,0.4150,0.0201
afrixnli_translate_fra_prompt_5,f1,0.3273,
afrixnli_translate_hau_prompt_1,acc,0.3333,0.0193
afrixnli_translate_hau_prompt_1,f1,0.1667,
afrixnli_translate_hau_prompt_2,acc,0.5333,0.0204
afrixnli_translate_hau_prompt_2,f1,0.5320,
afrixnli_translate_hau_prompt_3,acc,0.4350,0.0203
afrixnli_translate_hau_prompt_3,f1,0.3757,
afrixnli_translate_hau_prompt_4,acc,0.3533,0.0195
afrixnli_translate_hau_prompt_4,f1,0.2423,
afrixnli_translate_hau_prompt_5,acc,0.4067,0.0201
afrixnli_translate_hau_prompt_5,f1,0.3260,
afrixnli_translate_ibo_prompt_1,acc,0.3333,0.0193
afrixnli_translate_ibo_prompt_1,f1,0.1667,
afrixnli_translate_ibo_prompt_2,acc,0.5450,0.0203
afrixnli_translate_ibo_prompt_2,f1,0.5489,
afrixnli_translate_ibo_prompt_3,acc,0.3483,0.0195
afrixnli_translate_ibo_prompt_3,f1,0.2111,
afrixnli_translate_ibo_prompt_4,acc,0.3433,0.0194
afrixnli_translate_ibo_prompt_4,f1,0.2057,
afrixnli_translate_ibo_prompt_5,acc,0.3900,0.0199
afrixnli_translate_ibo_prompt_5,f1,0.3119,
afrixnli_translate_kin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_kin_prompt_1,f1,0.1667,
afrixnli_translate_kin_prompt_2,acc,0.4867,0.0204
afrixnli_translate_kin_prompt_2,f1,0.4826,
afrixnli_translate_kin_prompt_3,acc,0.3917,0.0199
afrixnli_translate_kin_prompt_3,f1,0.3506,
afrixnli_translate_kin_prompt_4,acc,0.3750,0.0198
afrixnli_translate_kin_prompt_4,f1,0.3482,
afrixnli_translate_kin_prompt_5,acc,0.3617,0.0196
afrixnli_translate_kin_prompt_5,f1,0.2587,
afrixnli_translate_lin_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lin_prompt_1,f1,0.1667,
afrixnli_translate_lin_prompt_2,acc,0.3383,0.0193
afrixnli_translate_lin_prompt_2,f1,0.2929,
afrixnli_translate_lin_prompt_3,acc,0.3317,0.0192
afrixnli_translate_lin_prompt_3,f1,0.2317,
afrixnli_translate_lin_prompt_4,acc,0.3133,0.0190
afrixnli_translate_lin_prompt_4,f1,0.2364,
afrixnli_translate_lin_prompt_5,acc,0.3217,0.0191
afrixnli_translate_lin_prompt_5,f1,0.2366,
afrixnli_translate_lug_prompt_1,acc,0.3333,0.0193
afrixnli_translate_lug_prompt_1,f1,0.1667,
afrixnli_translate_lug_prompt_2,acc,0.5050,0.0204
afrixnli_translate_lug_prompt_2,f1,0.5073,
afrixnli_translate_lug_prompt_3,acc,0.3983,0.0200
afrixnli_translate_lug_prompt_3,f1,0.3269,
afrixnli_translate_lug_prompt_4,acc,0.3583,0.0196
afrixnli_translate_lug_prompt_4,f1,0.2511,
afrixnli_translate_lug_prompt_5,acc,0.3933,0.0200
afrixnli_translate_lug_prompt_5,f1,0.3210,
afrixnli_translate_orm_prompt_1,acc,0.3333,0.0193
afrixnli_translate_orm_prompt_1,f1,0.1667,
afrixnli_translate_orm_prompt_2,acc,0.5083,0.0204
afrixnli_translate_orm_prompt_2,f1,0.5101,
afrixnli_translate_orm_prompt_3,acc,0.4183,0.0202
afrixnli_translate_orm_prompt_3,f1,0.3823,
afrixnli_translate_orm_prompt_4,acc,0.3967,0.0200
afrixnli_translate_orm_prompt_4,f1,0.3540,
afrixnli_translate_orm_prompt_5,acc,0.3783,0.0198
afrixnli_translate_orm_prompt_5,f1,0.3069,
afrixnli_translate_sna_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sna_prompt_1,f1,0.1667,
afrixnli_translate_sna_prompt_2,acc,0.5300,0.0204
afrixnli_translate_sna_prompt_2,f1,0.5318,
afrixnli_translate_sna_prompt_3,acc,0.3733,0.0198
afrixnli_translate_sna_prompt_3,f1,0.2659,
afrixnli_translate_sna_prompt_4,acc,0.4017,0.0200
afrixnli_translate_sna_prompt_4,f1,0.3240,
afrixnli_translate_sna_prompt_5,acc,0.4083,0.0201
afrixnli_translate_sna_prompt_5,f1,0.3279,
afrixnli_translate_sot_prompt_1,acc,0.3333,0.0193
afrixnli_translate_sot_prompt_1,f1,0.1667,
afrixnli_translate_sot_prompt_2,acc,0.5550,0.0203
afrixnli_translate_sot_prompt_2,f1,0.5568,
afrixnli_translate_sot_prompt_3,acc,0.4100,0.0201
afrixnli_translate_sot_prompt_3,f1,0.3384,
afrixnli_translate_sot_prompt_4,acc,0.4833,0.0204
afrixnli_translate_sot_prompt_4,f1,0.4621,
afrixnli_translate_sot_prompt_5,acc,0.3833,0.0199
afrixnli_translate_sot_prompt_5,f1,0.3030,
afrixnli_translate_swa_prompt_1,acc,0.3333,0.0193
afrixnli_translate_swa_prompt_1,f1,0.1667,
afrixnli_translate_swa_prompt_2,acc,0.5717,0.0202
afrixnli_translate_swa_prompt_2,f1,0.5748,
afrixnli_translate_swa_prompt_3,acc,0.4833,0.0204
afrixnli_translate_swa_prompt_3,f1,0.4596,
afrixnli_translate_swa_prompt_4,acc,0.3517,0.0195
afrixnli_translate_swa_prompt_4,f1,0.2719,
afrixnli_translate_swa_prompt_5,acc,0.3933,0.0200
afrixnli_translate_swa_prompt_5,f1,0.3145,
afrixnli_translate_twi_prompt_1,acc,0.3333,0.0193
afrixnli_translate_twi_prompt_1,f1,0.1667,
afrixnli_translate_twi_prompt_2,acc,0.4550,0.0203
afrixnli_translate_twi_prompt_2,f1,0.4484,
afrixnli_translate_twi_prompt_3,acc,0.3850,0.0199
afrixnli_translate_twi_prompt_3,f1,0.3587,
afrixnli_translate_twi_prompt_4,acc,0.3633,0.0197
afrixnli_translate_twi_prompt_4,f1,0.2916,
afrixnli_translate_twi_prompt_5,acc,0.3767,0.0198
afrixnli_translate_twi_prompt_5,f1,0.2939,
afrixnli_translate_wol_prompt_1,acc,0.3333,0.0193
afrixnli_translate_wol_prompt_1,f1,0.1667,
afrixnli_translate_wol_prompt_2,acc,0.3800,0.0198
afrixnli_translate_wol_prompt_2,f1,0.3405,
afrixnli_translate_wol_prompt_3,acc,0.3350,0.0193
afrixnli_translate_wol_prompt_3,f1,0.2726,
afrixnli_translate_wol_prompt_4,acc,0.3417,0.0194
afrixnli_translate_wol_prompt_4,f1,0.3096,
afrixnli_translate_wol_prompt_5,acc,0.3400,0.0194
afrixnli_translate_wol_prompt_5,f1,0.2293,
afrixnli_translate_xho_prompt_1,acc,0.3333,0.0193
afrixnli_translate_xho_prompt_1,f1,0.1667,
afrixnli_translate_xho_prompt_2,acc,0.5467,0.0203
afrixnli_translate_xho_prompt_2,f1,0.5507,
afrixnli_translate_xho_prompt_3,acc,0.3867,0.0199
afrixnli_translate_xho_prompt_3,f1,0.3186,
afrixnli_translate_xho_prompt_4,acc,0.3533,0.0195
afrixnli_translate_xho_prompt_4,f1,0.2823,
afrixnli_translate_xho_prompt_5,acc,0.4017,0.0200
afrixnli_translate_xho_prompt_5,f1,0.3113,
afrixnli_translate_yor_prompt_1,acc,0.3333,0.0193
afrixnli_translate_yor_prompt_1,f1,0.1667,
afrixnli_translate_yor_prompt_2,acc,0.5067,0.0204
afrixnli_translate_yor_prompt_2,f1,0.5079,
afrixnli_translate_yor_prompt_3,acc,0.4033,0.0200
afrixnli_translate_yor_prompt_3,f1,0.3266,
afrixnli_translate_yor_prompt_4,acc,0.3950,0.0200
afrixnli_translate_yor_prompt_4,f1,0.3411,
afrixnli_translate_yor_prompt_5,acc,0.3683,0.0197
afrixnli_translate_yor_prompt_5,f1,0.3027,
afrixnli_translate_zul_prompt_1,acc,0.3333,0.0193
afrixnli_translate_zul_prompt_1,f1,0.1667,
afrixnli_translate_zul_prompt_2,acc,0.5283,0.0204
afrixnli_translate_zul_prompt_2,f1,0.5341,
afrixnli_translate_zul_prompt_3,acc,0.4017,0.0200
afrixnli_translate_zul_prompt_3,f1,0.3423,
afrixnli_translate_zul_prompt_4,acc,0.3517,0.0195
afrixnli_translate_zul_prompt_4,f1,0.2755,
afrixnli_translate_zul_prompt_5,acc,0.3783,0.0198
afrixnli_translate_zul_prompt_5,f1,0.2842,
