|        Tasks         |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|----------------------|------:|------|-----:|------|---|-----:|---|------|
|afrisenti_amh_prompt_1|      1|none  |     0|acc   |↑  |0.2191|±  |0.0093|
|                      |       |none  |     0|f1    |↑  |0.0788|±  |   N/A|
|afrisenti_amh_prompt_2|      1|none  |     0|acc   |↑  |0.2191|±  |0.0093|
|                      |       |none  |     0|f1    |↑  |0.0788|±  |   N/A|
|afrisenti_amh_prompt_3|      1|none  |     0|acc   |↑  |0.3022|±  |0.0103|
|                      |       |none  |     0|f1    |↑  |0.3099|±  |   N/A|
|afrisenti_amh_prompt_4|      1|none  |     0|acc   |↑  |0.2336|±  |0.0095|
|                      |       |none  |     0|f1    |↑  |0.2485|±  |   N/A|
|afrisenti_amh_prompt_5|      1|none  |     0|acc   |↑  |0.3252|±  |0.0105|
|                      |       |none  |     0|f1    |↑  |0.3089|±  |   N/A|
|afrisenti_arq_prompt_1|      1|none  |     0|acc   |↑  |0.3434|±  |0.0153|
|                      |       |none  |     0|f1    |↑  |0.1756|±  |   N/A|
|afrisenti_arq_prompt_2|      1|none  |     0|acc   |↑  |0.3424|±  |0.0153|
|                      |       |none  |     0|f1    |↑  |0.1752|±  |   N/A|
|afrisenti_arq_prompt_3|      1|none  |     0|acc   |↑  |0.5397|±  |0.0161|
|                      |       |none  |     0|f1    |↑  |0.5288|±  |   N/A|
|afrisenti_arq_prompt_4|      1|none  |     0|acc   |↑  |0.4102|±  |0.0159|
|                      |       |none  |     0|f1    |↑  |0.4422|±  |   N/A|
|afrisenti_arq_prompt_5|      1|none  |     0|acc   |↑  |0.5459|±  |0.0161|
|                      |       |none  |     0|f1    |↑  |0.5408|±  |   N/A|
|afrisenti_ary_prompt_1|      1|none  |     0|acc   |↑  |0.3880|±  |0.0090|
|                      |       |none  |     0|f1    |↑  |0.2209|±  |   N/A|
|afrisenti_ary_prompt_2|      1|none  |     0|acc   |↑  |0.3864|±  |0.0089|
|                      |       |none  |     0|f1    |↑  |0.2193|±  |   N/A|
|afrisenti_ary_prompt_3|      1|none  |     0|acc   |↑  |0.5008|±  |0.0092|
|                      |       |none  |     0|f1    |↑  |0.4913|±  |   N/A|
|afrisenti_ary_prompt_4|      1|none  |     0|acc   |↑  |0.4262|±  |0.0091|
|                      |       |none  |     0|f1    |↑  |0.4158|±  |   N/A|
|afrisenti_ary_prompt_5|      1|none  |     0|acc   |↑  |0.4498|±  |0.0091|
|                      |       |none  |     0|f1    |↑  |0.4347|±  |   N/A|
|afrisenti_hau_prompt_1|      1|none  |     0|acc   |↑  |0.3308|±  |0.0065|
|                      |       |none  |     0|f1    |↑  |0.1646|±  |   N/A|
|afrisenti_hau_prompt_2|      1|none  |     0|acc   |↑  |0.3323|±  |0.0065|
|                      |       |none  |     0|f1    |↑  |0.1674|±  |   N/A|
|afrisenti_hau_prompt_3|      1|none  |     0|acc   |↑  |0.4916|±  |0.0069|
|                      |       |none  |     0|f1    |↑  |0.4819|±  |   N/A|
|afrisenti_hau_prompt_4|      1|none  |     0|acc   |↑  |0.3773|±  |0.0067|
|                      |       |none  |     0|f1    |↑  |0.2682|±  |   N/A|
|afrisenti_hau_prompt_5|      1|none  |     0|acc   |↑  |0.4431|±  |0.0068|
|                      |       |none  |     0|f1    |↑  |0.4421|±  |   N/A|
|afrisenti_ibo_prompt_1|      1|none  |     0|acc   |↑  |0.3036|±  |0.0076|
|                      |       |none  |     0|f1    |↑  |0.1414|±  |   N/A|
|afrisenti_ibo_prompt_2|      1|none  |     0|acc   |↑  |0.3596|±  |0.0079|
|                      |       |none  |     0|f1    |↑  |0.2881|±  |   N/A|
|afrisenti_ibo_prompt_3|      1|none  |     0|acc   |↑  |0.4935|±  |0.0082|
|                      |       |none  |     0|f1    |↑  |0.4803|±  |   N/A|
|afrisenti_ibo_prompt_4|      1|none  |     0|acc   |↑  |0.4807|±  |0.0082|
|                      |       |none  |     0|f1    |↑  |0.3926|±  |   N/A|
|afrisenti_ibo_prompt_5|      1|none  |     0|acc   |↑  |0.4443|±  |0.0082|
|                      |       |none  |     0|f1    |↑  |0.4358|±  |   N/A|
|afrisenti_kin_prompt_1|      1|none  |     0|acc   |↑  |0.2778|±  |0.0140|
|                      |       |none  |     0|f1    |↑  |0.1345|±  |   N/A|
|afrisenti_kin_prompt_2|      1|none  |     0|acc   |↑  |0.2739|±  |0.0139|
|                      |       |none  |     0|f1    |↑  |0.1675|±  |   N/A|
|afrisenti_kin_prompt_3|      1|none  |     0|acc   |↑  |0.4376|±  |0.0155|
|                      |       |none  |     0|f1    |↑  |0.4115|±  |   N/A|
|afrisenti_kin_prompt_4|      1|none  |     0|acc   |↑  |0.4493|±  |0.0155|
|                      |       |none  |     0|f1    |↑  |0.3811|±  |   N/A|
|afrisenti_kin_prompt_5|      1|none  |     0|acc   |↑  |0.4084|±  |0.0154|
|                      |       |none  |     0|f1    |↑  |0.3779|±  |   N/A|
|afrisenti_orm_prompt_1|      1|none  |     0|acc   |↑  |0.2204|±  |0.0091|
|                      |       |none  |     0|f1    |↑  |0.0805|±  |   N/A|
|afrisenti_orm_prompt_2|      1|none  |     0|acc   |↑  |0.2209|±  |0.0091|
|                      |       |none  |     0|f1    |↑  |0.0850|±  |   N/A|
|afrisenti_orm_prompt_3|      1|none  |     0|acc   |↑  |0.3230|±  |0.0102|
|                      |       |none  |     0|f1    |↑  |0.3075|±  |   N/A|
|afrisenti_orm_prompt_4|      1|none  |     0|acc   |↑  |0.4237|±  |0.0108|
|                      |       |none  |     0|f1    |↑  |0.3308|±  |   N/A|
|afrisenti_orm_prompt_5|      1|none  |     0|acc   |↑  |0.3139|±  |0.0101|
|                      |       |none  |     0|f1    |↑  |0.2862|±  |   N/A|
|afrisenti_pcm_prompt_1|      1|none  |     0|acc   |↑  |0.3370|±  |0.0073|
|                      |       |none  |     0|f1    |↑  |0.1708|±  |   N/A|
|afrisenti_pcm_prompt_2|      1|none  |     0|acc   |↑  |0.3365|±  |0.0073|
|                      |       |none  |     0|f1    |↑  |0.1698|±  |   N/A|
|afrisenti_pcm_prompt_3|      1|none  |     0|acc   |↑  |0.6651|±  |0.0073|
|                      |       |none  |     0|f1    |↑  |0.6873|±  |   N/A|
|afrisenti_pcm_prompt_4|      1|none  |     0|acc   |↑  |0.3556|±  |0.0074|
|                      |       |none  |     0|f1    |↑  |0.4124|±  |   N/A|
|afrisenti_pcm_prompt_5|      1|none  |     0|acc   |↑  |0.6478|±  |0.0074|
|                      |       |none  |     0|f1    |↑  |0.6785|±  |   N/A|
|afrisenti_por_prompt_1|      1|none  |     0|acc   |↑  |0.2013|±  |0.0066|
