Language,Prompt,F1_Score
bem,prompt_1,0.1893
bem,prompt_2,0.1837
bem,prompt_3,0.0918
bem,prompt_4,0.2048
bem,prompt_5,0.1505
fon,prompt_1,0.1697
fon,prompt_2,0.1912
fon,prompt_3,0.0629
fon,prompt_4,0.1759
fon,prompt_5,0.151
hau,prompt_1,0.1608
hau,prompt_2,0.2288
hau,prompt_3,0.0498
hau,prompt_4,0.198
hau,prompt_5,0.1157
ibo,prompt_1,0.3276
ibo,prompt_2,0.3535
ibo,prompt_3,0.1611
ibo,prompt_4,0.3811
ibo,prompt_5,0.3113
kin,prompt_1,0.2364
kin,prompt_2,0.2188
kin,prompt_3,0.0935
kin,prompt_4,0.2682
kin,prompt_5,0.2063
swa,prompt_1,0.4306
swa,prompt_2,0.5475
swa,prompt_3,0.1878
swa,prompt_4,0.4637
swa,prompt_5,0.3177
twi,prompt_1,0.1123
twi,prompt_2,0.1501
twi,prompt_3,0.0614
twi,prompt_4,0.1357
twi,prompt_5,0.1085
yor,prompt_1,0.1871
yor,prompt_2,0.2282
yor,prompt_3,0.083
yor,prompt_4,0.1975
yor,prompt_5,0.1408
zul,prompt_1,0.1925
zul,prompt_2,0.2134
zul,prompt_3,0.0873
zul,prompt_4,0.2463
zul,prompt_5,0.1579
