|        Tasks         |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|----------------------|------:|------|-----:|------|---|-----:|---|------|
|afrisenti_amh_prompt_1|      1|none  |     0|acc   |↑  |0.2181|±  |0.0092|
|                      |       |none  |     0|f1    |↑  |0.0951|±  |   N/A|
|afrisenti_amh_prompt_2|      1|none  |     0|acc   |↑  |0.2191|±  |0.0093|
|                      |       |none  |     0|f1    |↑  |0.0992|±  |   N/A|
|afrisenti_amh_prompt_3|      1|none  |     0|acc   |↑  |0.1676|±  |0.0084|
|                      |       |none  |     0|f1    |↑  |0.1329|±  |   N/A|
|afrisenti_amh_prompt_4|      1|none  |     0|acc   |↑  |0.1206|±  |0.0073|
|                      |       |none  |     0|f1    |↑  |0.0405|±  |   N/A|
|afrisenti_amh_prompt_5|      1|none  |     0|acc   |↑  |0.6788|±  |0.0104|
|                      |       |none  |     0|f1    |↑  |0.5881|±  |   N/A|
|afrisenti_arq_prompt_1|      1|none  |     0|acc   |↑  |0.3486|±  |0.0154|
|                      |       |none  |     0|f1    |↑  |0.1898|±  |   N/A|
|afrisenti_arq_prompt_2|      1|none  |     0|acc   |↑  |0.3549|±  |0.0155|
|                      |       |none  |     0|f1    |↑  |0.2000|±  |   N/A|
|afrisenti_arq_prompt_3|      1|none  |     0|acc   |↑  |0.5981|±  |0.0158|
|                      |       |none  |     0|f1    |↑  |0.5832|±  |   N/A|
|afrisenti_arq_prompt_4|      1|none  |     0|acc   |↑  |0.4061|±  |0.0159|
|                      |       |none  |     0|f1    |↑  |0.4372|±  |   N/A|
|afrisenti_arq_prompt_5|      1|none  |     0|acc   |↑  |0.5919|±  |0.0159|
|                      |       |none  |     0|f1    |↑  |0.5168|±  |   N/A|
|afrisenti_ary_prompt_1|      1|none  |     0|acc   |↑  |0.3921|±  |0.0090|
|                      |       |none  |     0|f1    |↑  |0.2559|±  |   N/A|
|afrisenti_ary_prompt_2|      1|none  |     0|acc   |↑  |0.4012|±  |0.0090|
|                      |       |none  |     0|f1    |↑  |0.3159|±  |   N/A|
|afrisenti_ary_prompt_3|      1|none  |     0|acc   |↑  |0.4708|±  |0.0092|
|                      |       |none  |     0|f1    |↑  |0.4654|±  |   N/A|
|afrisenti_ary_prompt_4|      1|none  |     0|acc   |↑  |0.3691|±  |0.0089|
|                      |       |none  |     0|f1    |↑  |0.3374|±  |   N/A|
|afrisenti_ary_prompt_5|      1|none  |     0|acc   |↑  |0.4049|±  |0.0090|
|                      |       |none  |     0|f1    |↑  |0.3289|±  |   N/A|
|afrisenti_hau_prompt_1|      1|none  |     0|acc   |↑  |0.3975|±  |0.0067|
|                      |       |none  |     0|f1    |↑  |0.3192|±  |   N/A|
|afrisenti_hau_prompt_2|      1|none  |     0|acc   |↑  |0.4262|±  |0.0068|
|                      |       |none  |     0|f1    |↑  |0.3395|±  |   N/A|
|afrisenti_hau_prompt_3|      1|none  |     0|acc   |↑  |0.3790|±  |0.0067|
|                      |       |none  |     0|f1    |↑  |0.3544|±  |   N/A|
|afrisenti_hau_prompt_4|      1|none  |     0|acc   |↑  |0.3432|±  |0.0065|
|                      |       |none  |     0|f1    |↑  |0.2116|±  |   N/A|
|afrisenti_hau_prompt_5|      1|none  |     0|acc   |↑  |0.4207|±  |0.0068|
