Language,Prompt,F1_Score
bem,prompt_1,0.1822
bem,prompt_2,0.2381
bem,prompt_3,0.0926
bem,prompt_4,0.2204
bem,prompt_5,0.1693
fon,prompt_1,0.1965
fon,prompt_2,0.2397
fon,prompt_3,0.0633
fon,prompt_4,0.2025
fon,prompt_5,0.1851
hau,prompt_1,0.1484
hau,prompt_2,0.1942
hau,prompt_3,0.0477
hau,prompt_4,0.146
hau,prompt_5,0.1086
ibo,prompt_1,0.3195
ibo,prompt_2,0.3902
ibo,prompt_3,0.0884
ibo,prompt_4,0.3748
ibo,prompt_5,0.3353
kin,prompt_1,0.2173
kin,prompt_2,0.2699
kin,prompt_3,0.1105
kin,prompt_4,0.2319
kin,prompt_5,0.1912
swa,prompt_1,0.3871
swa,prompt_2,0.5791
swa,prompt_3,0.1363
swa,prompt_4,0.4127
swa,prompt_5,0.3413
twi,prompt_1,0.1355
twi,prompt_2,0.213
twi,prompt_3,0.0539
twi,prompt_4,0.1457
twi,prompt_5,0.1279
yor,prompt_1,0.1788
yor,prompt_2,0.2411
yor,prompt_3,0.0533
yor,prompt_4,0.173
yor,prompt_5,0.1635
zul,prompt_1,0.2208
zul,prompt_2,0.2352
zul,prompt_3,0.0919
zul,prompt_4,0.2268
zul,prompt_5,0.1827
