Tasks,Metric,Value,Stderr
afrimmlu_direct_amh_prompt_1,acc,0.3400,0.0212
afrimmlu_direct_amh_prompt_1,f1,0.3416,
afrimmlu_direct_amh_prompt_2,acc,0.3140,0.0208
afrimmlu_direct_amh_prompt_2,f1,0.3175,
afrimmlu_direct_amh_prompt_3,acc,0.3040,0.0206
afrimmlu_direct_amh_prompt_3,f1,0.3059,
afrimmlu_direct_amh_prompt_4,acc,0.3340,0.0211
afrimmlu_direct_amh_prompt_4,f1,0.3353,
afrimmlu_direct_amh_prompt_5,acc,0.3020,0.0206
afrimmlu_direct_amh_prompt_5,f1,0.3034,
afrimmlu_direct_eng_prompt_1,acc,0.6440,0.0214
afrimmlu_direct_eng_prompt_1,f1,0.6455,
afrimmlu_direct_eng_prompt_2,acc,0.6120,0.0218
afrimmlu_direct_eng_prompt_2,f1,0.6132,
afrimmlu_direct_eng_prompt_3,acc,0.5960,0.0220
afrimmlu_direct_eng_prompt_3,f1,0.5982,
afrimmlu_direct_eng_prompt_4,acc,0.6280,0.0216
afrimmlu_direct_eng_prompt_4,f1,0.6287,
afrimmlu_direct_eng_prompt_5,acc,0.5660,0.0222
afrimmlu_direct_eng_prompt_5,f1,0.5677,
afrimmlu_direct_ewe_prompt_1,acc,0.2740,0.0200
afrimmlu_direct_ewe_prompt_1,f1,0.2723,
afrimmlu_direct_ewe_prompt_2,acc,0.2820,0.0201
afrimmlu_direct_ewe_prompt_2,f1,0.2816,
afrimmlu_direct_ewe_prompt_3,acc,0.2620,0.0197
afrimmlu_direct_ewe_prompt_3,f1,0.2609,
afrimmlu_direct_ewe_prompt_4,acc,0.2860,0.0202
afrimmlu_direct_ewe_prompt_4,f1,0.2834,
afrimmlu_direct_ewe_prompt_5,acc,0.2600,0.0196
afrimmlu_direct_ewe_prompt_5,f1,0.2597,
afrimmlu_direct_fra_prompt_1,acc,0.5520,0.0223
afrimmlu_direct_fra_prompt_1,f1,0.5537,
afrimmlu_direct_fra_prompt_2,acc,0.4720,0.0223
afrimmlu_direct_fra_prompt_2,f1,0.4738,
afrimmlu_direct_fra_prompt_3,acc,0.5120,0.0224
afrimmlu_direct_fra_prompt_3,f1,0.5148,
afrimmlu_direct_fra_prompt_4,acc,0.4980,0.0224
afrimmlu_direct_fra_prompt_4,f1,0.4996,
afrimmlu_direct_fra_prompt_5,acc,0.4700,0.0223
afrimmlu_direct_fra_prompt_5,f1,0.4725,
afrimmlu_direct_hau_prompt_1,acc,0.3220,0.0209
afrimmlu_direct_hau_prompt_1,f1,0.3228,
afrimmlu_direct_hau_prompt_2,acc,0.2980,0.0205
afrimmlu_direct_hau_prompt_2,f1,0.2992,
afrimmlu_direct_hau_prompt_3,acc,0.3040,0.0206
afrimmlu_direct_hau_prompt_3,f1,0.3054,
afrimmlu_direct_hau_prompt_4,acc,0.3160,0.0208
afrimmlu_direct_hau_prompt_4,f1,0.3166,
afrimmlu_direct_hau_prompt_5,acc,0.2920,0.0204
afrimmlu_direct_hau_prompt_5,f1,0.2946,
afrimmlu_direct_ibo_prompt_1,acc,0.3160,0.0208
afrimmlu_direct_ibo_prompt_1,f1,0.3179,
afrimmlu_direct_ibo_prompt_2,acc,0.3060,0.0206
afrimmlu_direct_ibo_prompt_2,f1,0.3046,
afrimmlu_direct_ibo_prompt_3,acc,0.3060,0.0206
afrimmlu_direct_ibo_prompt_3,f1,0.3008,
afrimmlu_direct_ibo_prompt_4,acc,0.3100,0.0207
afrimmlu_direct_ibo_prompt_4,f1,0.3090,
afrimmlu_direct_ibo_prompt_5,acc,0.3040,0.0206
afrimmlu_direct_ibo_prompt_5,f1,0.2989,
afrimmlu_direct_kin_prompt_1,acc,0.2780,0.0201
afrimmlu_direct_kin_prompt_1,f1,0.2775,
afrimmlu_direct_kin_prompt_2,acc,0.2880,0.0203
afrimmlu_direct_kin_prompt_2,f1,0.2869,
afrimmlu_direct_kin_prompt_3,acc,0.2720,0.0199
afrimmlu_direct_kin_prompt_3,f1,0.2719,
afrimmlu_direct_kin_prompt_4,acc,0.2920,0.0204
afrimmlu_direct_kin_prompt_4,f1,0.2908,
afrimmlu_direct_kin_prompt_5,acc,0.2700,0.0199
afrimmlu_direct_kin_prompt_5,f1,0.2698,
afrimmlu_direct_lin_prompt_1,acc,0.3480,0.0213
afrimmlu_direct_lin_prompt_1,f1,0.3483,
afrimmlu_direct_lin_prompt_2,acc,0.3260,0.0210
afrimmlu_direct_lin_prompt_2,f1,0.3275,
afrimmlu_direct_lin_prompt_3,acc,0.3120,0.0207
afrimmlu_direct_lin_prompt_3,f1,0.3134,
afrimmlu_direct_lin_prompt_4,acc,0.3340,0.0211
afrimmlu_direct_lin_prompt_4,f1,0.3347,
afrimmlu_direct_lin_prompt_5,acc,0.3120,0.0207
afrimmlu_direct_lin_prompt_5,f1,0.3118,
afrimmlu_direct_lug_prompt_1,acc,0.2760,0.0200
afrimmlu_direct_lug_prompt_1,f1,0.2756,
afrimmlu_direct_lug_prompt_2,acc,0.2780,0.0201
afrimmlu_direct_lug_prompt_2,f1,0.2771,
afrimmlu_direct_lug_prompt_3,acc,0.2660,0.0198
afrimmlu_direct_lug_prompt_3,f1,0.2647,
afrimmlu_direct_lug_prompt_4,acc,0.2680,0.0198
afrimmlu_direct_lug_prompt_4,f1,0.2679,
afrimmlu_direct_lug_prompt_5,acc,0.2600,0.0196
afrimmlu_direct_lug_prompt_5,f1,0.2566,
afrimmlu_direct_orm_prompt_1,acc,0.3340,0.0211
afrimmlu_direct_orm_prompt_1,f1,0.3347,
afrimmlu_direct_orm_prompt_2,acc,0.3240,0.0210
afrimmlu_direct_orm_prompt_2,f1,0.3234,
afrimmlu_direct_orm_prompt_3,acc,0.3080,0.0207
afrimmlu_direct_orm_prompt_3,f1,0.3077,
afrimmlu_direct_orm_prompt_4,acc,0.3200,0.0209
afrimmlu_direct_orm_prompt_4,f1,0.3180,
afrimmlu_direct_orm_prompt_5,acc,0.3080,0.0207
afrimmlu_direct_orm_prompt_5,f1,0.3064,
afrimmlu_direct_sna_prompt_1,acc,0.3260,0.0210
afrimmlu_direct_sna_prompt_1,f1,0.3257,
afrimmlu_direct_sna_prompt_2,acc,0.3220,0.0209
afrimmlu_direct_sna_prompt_2,f1,0.3218,
afrimmlu_direct_sna_prompt_3,acc,0.3160,0.0208
afrimmlu_direct_sna_prompt_3,f1,0.3156,
afrimmlu_direct_sna_prompt_4,acc,0.3280,0.0210
afrimmlu_direct_sna_prompt_4,f1,0.3276,
afrimmlu_direct_sna_prompt_5,acc,0.3140,0.0208
afrimmlu_direct_sna_prompt_5,f1,0.3134,
afrimmlu_direct_sot_prompt_1,acc,0.3140,0.0208
afrimmlu_direct_sot_prompt_1,f1,0.3131,
afrimmlu_direct_sot_prompt_2,acc,0.3080,0.0207
afrimmlu_direct_sot_prompt_2,f1,0.3081,
afrimmlu_direct_sot_prompt_3,acc,0.2960,0.0204
afrimmlu_direct_sot_prompt_3,f1,0.2958,
afrimmlu_direct_sot_prompt_4,acc,0.3220,0.0209
afrimmlu_direct_sot_prompt_4,f1,0.3223,
afrimmlu_direct_sot_prompt_5,acc,0.2920,0.0204
afrimmlu_direct_sot_prompt_5,f1,0.2938,
afrimmlu_direct_swa_prompt_1,acc,0.3420,0.0212
afrimmlu_direct_swa_prompt_1,f1,0.3421,
afrimmlu_direct_swa_prompt_2,acc,0.3400,0.0212
