Tasks,Metric,Value,Stderr
afrimmlu_direct_amh_prompt_1,acc,0.2100,0.0182
afrimmlu_direct_amh_prompt_1,f1,0.2060,
afrimmlu_direct_amh_prompt_2,acc,0.1920,0.0176
afrimmlu_direct_amh_prompt_2,f1,0.1859,
afrimmlu_direct_amh_prompt_3,acc,0.1780,0.0171
afrimmlu_direct_amh_prompt_3,f1,0.1715,
afrimmlu_direct_amh_prompt_4,acc,0.1980,0.0178
afrimmlu_direct_amh_prompt_4,f1,0.1966,
afrimmlu_direct_amh_prompt_5,acc,0.1920,0.0176
afrimmlu_direct_amh_prompt_5,f1,0.1865,
afrimmlu_direct_eng_prompt_1,acc,0.2840,0.0202
afrimmlu_direct_eng_prompt_1,f1,0.2783,
afrimmlu_direct_eng_prompt_2,acc,0.3040,0.0206
afrimmlu_direct_eng_prompt_2,f1,0.2957,
afrimmlu_direct_eng_prompt_3,acc,0.2900,0.0203
afrimmlu_direct_eng_prompt_3,f1,0.2826,
afrimmlu_direct_eng_prompt_4,acc,0.2820,0.0201
afrimmlu_direct_eng_prompt_4,f1,0.2801,
afrimmlu_direct_eng_prompt_5,acc,0.2940,0.0204
afrimmlu_direct_eng_prompt_5,f1,0.2913,
afrimmlu_direct_ewe_prompt_1,acc,0.2680,0.0198
afrimmlu_direct_ewe_prompt_1,f1,0.2587,
afrimmlu_direct_ewe_prompt_2,acc,0.2520,0.0194
afrimmlu_direct_ewe_prompt_2,f1,0.2436,
afrimmlu_direct_ewe_prompt_3,acc,0.2760,0.0200
afrimmlu_direct_ewe_prompt_3,f1,0.2670,
afrimmlu_direct_ewe_prompt_4,acc,0.2400,0.0191
afrimmlu_direct_ewe_prompt_4,f1,0.2374,
afrimmlu_direct_ewe_prompt_5,acc,0.2740,0.0200
afrimmlu_direct_ewe_prompt_5,f1,0.2686,
afrimmlu_direct_fra_prompt_1,acc,0.2640,0.0197
afrimmlu_direct_fra_prompt_1,f1,0.2517,
afrimmlu_direct_fra_prompt_2,acc,0.2540,0.0195
afrimmlu_direct_fra_prompt_2,f1,0.2363,
afrimmlu_direct_fra_prompt_3,acc,0.2680,0.0198
afrimmlu_direct_fra_prompt_3,f1,0.2550,
afrimmlu_direct_fra_prompt_4,acc,0.2540,0.0195
afrimmlu_direct_fra_prompt_4,f1,0.2480,
afrimmlu_direct_fra_prompt_5,acc,0.2660,0.0198
afrimmlu_direct_fra_prompt_5,f1,0.2574,
afrimmlu_direct_hau_prompt_1,acc,0.2320,0.0189
afrimmlu_direct_hau_prompt_1,f1,0.2270,
afrimmlu_direct_hau_prompt_2,acc,0.2400,0.0191
