|        Tasks         |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|----------------------|------:|------|-----:|------|---|-----:|---|------|
|afrisenti_amh_prompt_1|      1|none  |     0|acc   |↑  |0.2201|±  |0.0093|
|                      |       |none  |     0|f1    |↑  |0.0817|±  |   N/A|
|afrisenti_amh_prompt_2|      1|none  |     0|acc   |↑  |0.2211|±  |0.0093|
|                      |       |none  |     0|f1    |↑  |0.0983|±  |   N/A|
|afrisenti_amh_prompt_3|      1|none  |     0|acc   |↑  |0.1126|±  |0.0071|
|                      |       |none  |     0|f1    |↑  |0.0236|±  |   N/A|
|afrisenti_amh_prompt_4|      1|none  |     0|acc   |↑  |0.1166|±  |0.0072|
|                      |       |none  |     0|f1    |↑  |0.0316|±  |   N/A|
|afrisenti_amh_prompt_5|      1|none  |     0|acc   |↑  |0.6868|±  |0.0104|
|                      |       |none  |     0|f1    |↑  |0.6039|±  |   N/A|
|afrisenti_arq_prompt_1|      1|none  |     0|acc   |↑  |0.3413|±  |0.0153|
|                      |       |none  |     0|f1    |↑  |0.1749|±  |   N/A|
|afrisenti_arq_prompt_2|      1|none  |     0|acc   |↑  |0.3434|±  |0.0153|
|                      |       |none  |     0|f1    |↑  |0.1775|±  |   N/A|
|afrisenti_arq_prompt_3|      1|none  |     0|acc   |↑  |0.5219|±  |0.0161|
|                      |       |none  |     0|f1    |↑  |0.5560|±  |   N/A|
|afrisenti_arq_prompt_4|      1|none  |     0|acc   |↑  |0.4958|±  |0.0162|
|                      |       |none  |     0|f1    |↑  |0.5329|±  |   N/A|
|afrisenti_arq_prompt_5|      1|none  |     0|acc   |↑  |0.6326|±  |0.0156|
|                      |       |none  |     0|f1    |↑  |0.5932|±  |   N/A|
|afrisenti_ary_prompt_1|      1|none  |     0|acc   |↑  |0.3877|±  |0.0090|
|                      |       |none  |     0|f1    |↑  |0.2195|±  |   N/A|
|afrisenti_ary_prompt_2|      1|none  |     0|acc   |↑  |0.3880|±  |0.0090|
|                      |       |none  |     0|f1    |↑  |0.2196|±  |   N/A|
