Tasks,Metric,Value,Stderr
afrixnli_amh_prompt_1,acc,0.3333,0.0193
afrixnli_amh_prompt_1,f1,0.1667,
afrixnli_amh_prompt_2,acc,0.3950,0.0200
afrixnli_amh_prompt_2,f1,0.2982,
afrixnli_amh_prompt_3,acc,0.3533,0.0195
afrixnli_amh_prompt_3,f1,0.3331,
afrixnli_amh_prompt_4,acc,0.3883,0.0199
afrixnli_amh_prompt_4,f1,0.3852,
afrixnli_amh_prompt_5,acc,0.3283,0.0192
afrixnli_amh_prompt_5,f1,0.1986,
afrixnli_eng_prompt_1,acc,0.3333,0.0193
afrixnli_eng_prompt_1,f1,0.1667,
afrixnli_eng_prompt_2,acc,0.5050,0.0204
afrixnli_eng_prompt_2,f1,0.4441,
afrixnli_eng_prompt_3,acc,0.4150,0.0201
afrixnli_eng_prompt_3,f1,0.3436,
afrixnli_eng_prompt_4,acc,0.4183,0.0202
afrixnli_eng_prompt_4,f1,0.3760,
afrixnli_eng_prompt_5,acc,0.3617,0.0196
afrixnli_eng_prompt_5,f1,0.2362,
afrixnli_ewe_prompt_1,acc,0.3333,0.0193
afrixnli_ewe_prompt_1,f1,0.1667,
afrixnli_ewe_prompt_2,acc,0.3583,0.0196
afrixnli_ewe_prompt_2,f1,0.2681,
afrixnli_ewe_prompt_3,acc,0.3633,0.0197
afrixnli_ewe_prompt_3,f1,0.3163,
afrixnli_ewe_prompt_4,acc,0.3583,0.0196
afrixnli_ewe_prompt_4,f1,0.2927,
afrixnli_ewe_prompt_5,acc,0.3350,0.0193
afrixnli_ewe_prompt_5,f1,0.1702,
afrixnli_fra_prompt_1,acc,0.3333,0.0193
afrixnli_fra_prompt_1,f1,0.1667,
afrixnli_fra_prompt_2,acc,0.5100,0.0204
afrixnli_fra_prompt_2,f1,0.4653,
afrixnli_fra_prompt_3,acc,0.4283,0.0202
afrixnli_fra_prompt_3,f1,0.3817,
afrixnli_fra_prompt_4,acc,0.4083,0.0201
afrixnli_fra_prompt_4,f1,0.3651,
afrixnli_fra_prompt_5,acc,0.3417,0.0194
afrixnli_fra_prompt_5,f1,0.1975,
afrixnli_hau_prompt_1,acc,0.3333,0.0193
afrixnli_hau_prompt_1,f1,0.1667,
afrixnli_hau_prompt_2,acc,0.3650,0.0197
afrixnli_hau_prompt_2,f1,0.2725,
afrixnli_hau_prompt_3,acc,0.3200,0.0191
afrixnli_hau_prompt_3,f1,0.2746,
afrixnli_hau_prompt_4,acc,0.3317,0.0192
afrixnli_hau_prompt_4,f1,0.2788,
afrixnli_hau_prompt_5,acc,0.3333,0.0193
afrixnli_hau_prompt_5,f1,0.1671,
afrixnli_ibo_prompt_1,acc,0.3333,0.0193
afrixnli_ibo_prompt_1,f1,0.1667,
afrixnli_ibo_prompt_2,acc,0.3650,0.0197
afrixnli_ibo_prompt_2,f1,0.2580,
afrixnli_ibo_prompt_3,acc,0.3517,0.0195
afrixnli_ibo_prompt_3,f1,0.2897,
afrixnli_ibo_prompt_4,acc,0.3483,0.0195
afrixnli_ibo_prompt_4,f1,0.3315,
afrixnli_ibo_prompt_5,acc,0.3333,0.0193
afrixnli_ibo_prompt_5,f1,0.1667,
afrixnli_kin_prompt_1,acc,0.3333,0.0193
afrixnli_kin_prompt_1,f1,0.1667,
afrixnli_kin_prompt_2,acc,0.3383,0.0193
afrixnli_kin_prompt_2,f1,0.2117,
afrixnli_kin_prompt_3,acc,0.3517,0.0195
afrixnli_kin_prompt_3,f1,0.3201,
afrixnli_kin_prompt_4,acc,0.3567,0.0196
afrixnli_kin_prompt_4,f1,0.3177,
afrixnli_kin_prompt_5,acc,0.3633,0.0197
afrixnli_kin_prompt_5,f1,0.3270,
afrixnli_lin_prompt_1,acc,0.3333,0.0193
afrixnli_lin_prompt_1,f1,0.1667,
afrixnli_lin_prompt_2,acc,0.3417,0.0194
afrixnli_lin_prompt_2,f1,0.2928,
afrixnli_lin_prompt_3,acc,0.3233,0.0191
afrixnli_lin_prompt_3,f1,0.2872,
afrixnli_lin_prompt_4,acc,0.3400,0.0194
afrixnli_lin_prompt_4,f1,0.3031,
afrixnli_lin_prompt_5,acc,0.3183,0.0190
afrixnli_lin_prompt_5,f1,0.2008,
afrixnli_lug_prompt_1,acc,0.3333,0.0193
afrixnli_lug_prompt_1,f1,0.1667,
afrixnli_lug_prompt_2,acc,0.3550,0.0196
afrixnli_lug_prompt_2,f1,0.2248,
afrixnli_lug_prompt_3,acc,0.3150,0.0190
afrixnli_lug_prompt_3,f1,0.2661,
afrixnli_lug_prompt_4,acc,0.3150,0.0190
afrixnli_lug_prompt_4,f1,0.2672,
afrixnli_lug_prompt_5,acc,0.3367,0.0193
afrixnli_lug_prompt_5,f1,0.1793,
afrixnli_orm_prompt_1,acc,0.3333,0.0193
afrixnli_orm_prompt_1,f1,0.1667,
afrixnli_orm_prompt_2,acc,0.3483,0.0195
afrixnli_orm_prompt_2,f1,0.2461,
afrixnli_orm_prompt_3,acc,0.3350,0.0193
afrixnli_orm_prompt_3,f1,0.3152,
afrixnli_orm_prompt_4,acc,0.3283,0.0192
afrixnli_orm_prompt_4,f1,0.3124,
afrixnli_orm_prompt_5,acc,0.3333,0.0193
afrixnli_orm_prompt_5,f1,0.1667,
afrixnli_sna_prompt_1,acc,0.3333,0.0193
afrixnli_sna_prompt_1,f1,0.1667,
afrixnli_sna_prompt_2,acc,0.3633,0.0197
afrixnli_sna_prompt_2,f1,0.2593,
afrixnli_sna_prompt_3,acc,0.3300,0.0192
afrixnli_sna_prompt_3,f1,0.3002,
afrixnli_sna_prompt_4,acc,0.3250,0.0191
afrixnli_sna_prompt_4,f1,0.2233,
afrixnli_sna_prompt_5,acc,0.3433,0.0194
afrixnli_sna_prompt_5,f1,0.1996,
afrixnli_sot_prompt_1,acc,0.3333,0.0193
afrixnli_sot_prompt_1,f1,0.1667,
afrixnli_sot_prompt_2,acc,0.3333,0.0193
afrixnli_sot_prompt_2,f1,0.2051,
afrixnli_sot_prompt_3,acc,0.3350,0.0193
afrixnli_sot_prompt_3,f1,0.2325,
afrixnli_sot_prompt_4,acc,0.3150,0.0190
afrixnli_sot_prompt_4,f1,0.2538,
afrixnli_sot_prompt_5,acc,0.3350,0.0193
afrixnli_sot_prompt_5,f1,0.1706,
afrixnli_swa_prompt_1,acc,0.3333,0.0193
afrixnli_swa_prompt_1,f1,0.1667,
afrixnli_swa_prompt_2,acc,0.3700,0.0197
afrixnli_swa_prompt_2,f1,0.2890,
afrixnli_swa_prompt_3,acc,0.3717,0.0197
afrixnli_swa_prompt_3,f1,0.3514,
afrixnli_swa_prompt_4,acc,0.3550,0.0196
afrixnli_swa_prompt_4,f1,0.3125,
afrixnli_swa_prompt_5,acc,0.3417,0.0194
afrixnli_swa_prompt_5,f1,0.1929,
afrixnli_twi_prompt_1,acc,0.3333,0.0193
afrixnli_twi_prompt_1,f1,0.1667,
afrixnli_twi_prompt_2,acc,0.3467,0.0194
afrixnli_twi_prompt_2,f1,0.2406,
afrixnli_twi_prompt_3,acc,0.3267,0.0192
afrixnli_twi_prompt_3,f1,0.2592,
afrixnli_twi_prompt_4,acc,0.3133,0.0190
afrixnli_twi_prompt_4,f1,0.2272,
afrixnli_twi_prompt_5,acc,0.3350,0.0193
afrixnli_twi_prompt_5,f1,0.1702,
afrixnli_wol_prompt_1,acc,0.3333,0.0193
