|           Tasks            |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|----------------------------|------:|------|-----:|------|---|-----:|---|------|
|afrimmlu_direct_amh_prompt_1|      1|none  |     0|acc   |↑  |0.2840|±  |0.0202|
|                            |       |none  |     0|f1    |↑  |0.2826|±  |   N/A|
|afrimmlu_direct_amh_prompt_2|      1|none  |     0|acc   |↑  |0.2760|±  |0.0200|
|                            |       |none  |     0|f1    |↑  |0.2767|±  |   N/A|
|afrimmlu_direct_amh_prompt_3|      1|none  |     0|acc   |↑  |0.2720|±  |0.0199|
|                            |       |none  |     0|f1    |↑  |0.2706|±  |   N/A|
|afrimmlu_direct_amh_prompt_4|      1|none  |     0|acc   |↑  |0.2620|±  |0.0197|
|                            |       |none  |     0|f1    |↑  |0.2597|±  |   N/A|
|afrimmlu_direct_amh_prompt_5|      1|none  |     0|acc   |↑  |0.2800|±  |0.0201|
|                            |       |none  |     0|f1    |↑  |0.2808|±  |   N/A|
|afrimmlu_direct_eng_prompt_1|      1|none  |     0|acc   |↑  |0.4980|±  |0.0224|
|                            |       |none  |     0|f1    |↑  |0.5006|±  |   N/A|
|afrimmlu_direct_eng_prompt_2|      1|none  |     0|acc   |↑  |0.5380|±  |0.0223|
|                            |       |none  |     0|f1    |↑  |0.5410|±  |   N/A|
|afrimmlu_direct_eng_prompt_3|      1|none  |     0|acc   |↑  |0.5200|±  |0.0224|
|                            |       |none  |     0|f1    |↑  |0.5230|±  |   N/A|
|afrimmlu_direct_eng_prompt_4|      1|none  |     0|acc   |↑  |0.5280|±  |0.0223|
|                            |       |none  |     0|f1    |↑  |0.5297|±  |   N/A|
|afrimmlu_direct_eng_prompt_5|      1|none  |     0|acc   |↑  |0.5020|±  |0.0224|
|                            |       |none  |     0|f1    |↑  |0.5054|±  |   N/A|
|afrimmlu_direct_ewe_prompt_1|      1|none  |     0|acc   |↑  |0.2720|±  |0.0199|
|                            |       |none  |     0|f1    |↑  |0.2701|±  |   N/A|
|afrimmlu_direct_ewe_prompt_2|      1|none  |     0|acc   |↑  |0.2640|±  |0.0197|
|                            |       |none  |     0|f1    |↑  |0.2607|±  |   N/A|
|afrimmlu_direct_ewe_prompt_3|      1|none  |     0|acc   |↑  |0.2620|±  |0.0197|
