Tasks,Metric,Value,Stderr
afrisenti_amh_prompt_1,acc,0.4022,0.0110
afrisenti_amh_prompt_1,f1,0.4555,
afrisenti_amh_prompt_2,acc,0.5658,0.0111
afrisenti_amh_prompt_2,f1,0.5802,
afrisenti_amh_prompt_3,acc,0.6793,0.0104
afrisenti_amh_prompt_3,f1,0.5782,
afrisenti_amh_prompt_4,acc,0.6778,0.0105
afrisenti_amh_prompt_4,f1,0.6464,
afrisenti_amh_prompt_5,acc,0.6703,0.0105
afrisenti_amh_prompt_5,f1,0.5856,
afrisenti_arq_prompt_1,acc,0.5386,0.0161
afrisenti_arq_prompt_1,f1,0.5610,
afrisenti_arq_prompt_2,acc,0.4864,0.0162
afrisenti_arq_prompt_2,f1,0.5097,
afrisenti_arq_prompt_3,acc,0.6493,0.0154
afrisenti_arq_prompt_3,f1,0.6020,
afrisenti_arq_prompt_4,acc,0.6639,0.0153
afrisenti_arq_prompt_4,f1,0.6548,
afrisenti_arq_prompt_5,acc,0.6514,0.0154
afrisenti_arq_prompt_5,f1,0.6133,
afrisenti_ary_prompt_1,acc,0.4282,0.0091
afrisenti_ary_prompt_1,f1,0.3961,
afrisenti_ary_prompt_2,acc,0.4272,0.0091
afrisenti_ary_prompt_2,f1,0.3890,
afrisenti_ary_prompt_3,acc,0.5113,0.0092
afrisenti_ary_prompt_3,f1,0.4352,
afrisenti_ary_prompt_4,acc,0.5181,0.0092
afrisenti_ary_prompt_4,f1,0.4966,
afrisenti_ary_prompt_5,acc,0.3995,0.0090
afrisenti_ary_prompt_5,f1,0.3325,
afrisenti_hau_prompt_1,acc,0.3990,0.0067
afrisenti_hau_prompt_1,f1,0.3668,
afrisenti_hau_prompt_2,acc,0.3809,0.0067
afrisenti_hau_prompt_2,f1,0.3423,
afrisenti_hau_prompt_3,acc,0.4614,0.0068
afrisenti_hau_prompt_3,f1,0.3695,
afrisenti_hau_prompt_4,acc,0.4733,0.0069
afrisenti_hau_prompt_4,f1,0.4569,
afrisenti_hau_prompt_5,acc,0.3745,0.0066
afrisenti_hau_prompt_5,f1,0.2893,
afrisenti_ibo_prompt_1,acc,0.3922,0.0080
afrisenti_ibo_prompt_1,f1,0.3511,
afrisenti_ibo_prompt_2,acc,0.4079,0.0081
afrisenti_ibo_prompt_2,f1,0.3731,
afrisenti_ibo_prompt_3,acc,0.3387,0.0078
afrisenti_ibo_prompt_3,f1,0.2271,
afrisenti_ibo_prompt_4,acc,0.3729,0.0080
afrisenti_ibo_prompt_4,f1,0.3418,
afrisenti_ibo_prompt_5,acc,0.3365,0.0078
afrisenti_ibo_prompt_5,f1,0.2665,
afrisenti_kin_prompt_1,acc,0.4230,0.0154
afrisenti_kin_prompt_1,f1,0.3963,
afrisenti_kin_prompt_2,acc,0.3967,0.0153
afrisenti_kin_prompt_2,f1,0.3705,
afrisenti_kin_prompt_3,acc,0.3450,0.0148
afrisenti_kin_prompt_3,f1,0.2723,
afrisenti_kin_prompt_4,acc,0.4250,0.0154
afrisenti_kin_prompt_4,f1,0.3960,
afrisenti_kin_prompt_5,acc,0.3635,0.0150
afrisenti_kin_prompt_5,f1,0.2902,
afrisenti_orm_prompt_1,acc,0.3454,0.0104
afrisenti_orm_prompt_1,f1,0.3541,
afrisenti_orm_prompt_2,acc,0.3554,0.0105
afrisenti_orm_prompt_2,f1,0.3571,
