Language,Prompt,F1_Score
bem,prompt_1,0.2026
bem,prompt_2,0.1746
bem,prompt_3,0.1346
bem,prompt_4,0.1856
bem,prompt_5,0.206
fon,prompt_1,0.1886
fon,prompt_2,0.1648
fon,prompt_3,0.1617
fon,prompt_4,0.2242
fon,prompt_5,0.1992
hau,prompt_1,0.1092
hau,prompt_2,0.1224
hau,prompt_3,0.0898
hau,prompt_4,0.1145
hau,prompt_5,0.1443
ibo,prompt_1,0.2357
ibo,prompt_2,0.2279
ibo,prompt_3,0.1674
ibo,prompt_4,0.2386
ibo,prompt_5,0.2547
kin,prompt_1,0.2599
kin,prompt_2,0.2662
kin,prompt_3,0.2037
kin,prompt_4,0.2819
kin,prompt_5,0.2244
swa,prompt_1,0.3465
swa,prompt_2,0.4025
swa,prompt_3,0.2457
swa,prompt_4,0.3556
swa,prompt_5,0.3606
twi,prompt_1,0.1439
twi,prompt_2,0.1569
twi,prompt_3,0.1053
twi,prompt_4,0.1352
twi,prompt_5,0.1226
yor,prompt_1,0.1604
yor,prompt_2,0.1565
yor,prompt_3,0.1018
yor,prompt_4,0.1605
yor,prompt_5,0.1759
zul,prompt_1,0.1782
zul,prompt_2,0.1702
zul,prompt_3,0.1218
zul,prompt_4,0.1814
zul,prompt_5,0.2084
