|       Tasks       |Version|     Filter      |n-shot|  Metric   |   |Value |   |Stderr|
|-------------------|------:|-----------------|-----:|-----------|---|-----:|---|------|
|afriqa_bem_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.1494|±  |0.0203|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2178|±  |   N/A|
|afriqa_bem_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.1786|±  |0.0219|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2270|±  |   N/A|
|afriqa_bem_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0487|±  |0.0123|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1037|±  |   N/A|
|afriqa_bem_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.1591|±  |0.0209|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2303|±  |   N/A|
|afriqa_bem_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.1461|±  |0.0202|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1936|±  |   N/A|
|afriqa_fon_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.1140|±  |0.0162|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1574|±  |   N/A|
|afriqa_fon_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.1399|±  |0.0177|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2071|±  |   N/A|
|afriqa_fon_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0440|±  |0.0105|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0772|±  |   N/A|
|afriqa_fon_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.1218|±  |0.0167|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1741|±  |   N/A|
|afriqa_fon_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.1062|±  |0.0157|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1522|±  |   N/A|
|afriqa_hau_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.1167|±  |0.0186|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1828|±  |   N/A|
