Tasks,Metric,Value,Stderr
afrimgsm_amh_prompt_1,exact_match,0.060,0.0151
afrimgsm_amh_prompt_2,exact_match,0.076,0.0168
afrimgsm_amh_prompt_3,exact_match,0.056,0.0146
afrimgsm_amh_prompt_4,exact_match,0.104,0.0193
afrimgsm_amh_prompt_5,exact_match,0.060,0.0151
afrimgsm_eng_prompt_1,exact_match,0.652,0.0302
afrimgsm_eng_prompt_2,exact_match,0.252,0.0275
afrimgsm_eng_prompt_3,exact_match,0.176,0.0241
afrimgsm_eng_prompt_4,exact_match,0.268,0.0281
afrimgsm_eng_prompt_5,exact_match,0.284,0.0286
afrimgsm_ewe_prompt_1,exact_match,0.024,0.0097
afrimgsm_ewe_prompt_2,exact_match,0.016,0.0080
afrimgsm_ewe_prompt_3,exact_match,0.016,0.0080
afrimgsm_ewe_prompt_4,exact_match,0.012,0.0069
afrimgsm_ewe_prompt_5,exact_match,0.012,0.0069
afrimgsm_fra_prompt_1,exact_match,0.252,0.0275
afrimgsm_fra_prompt_2,exact_match,0.156,0.0230
afrimgsm_fra_prompt_3,exact_match,0.088,0.0180
afrimgsm_fra_prompt_4,exact_match,0.208,0.0257
afrimgsm_fra_prompt_5,exact_match,0.144,0.0222
afrimgsm_hau_prompt_1,exact_match,0.008,0.0056
afrimgsm_hau_prompt_2,exact_match,0.020,0.0089
afrimgsm_hau_prompt_3,exact_match,0.020,0.0089
afrimgsm_hau_prompt_4,exact_match,0.012,0.0069
afrimgsm_hau_prompt_5,exact_match,0.008,0.0056
afrimgsm_ibo_prompt_1,exact_match,0.016,0.0080
afrimgsm_ibo_prompt_2,exact_match,0.020,0.0089
afrimgsm_ibo_prompt_3,exact_match,0.020,0.0089
afrimgsm_ibo_prompt_4,exact_match,0.028,0.0105
afrimgsm_ibo_prompt_5,exact_match,0.024,0.0097
afrimgsm_kin_prompt_1,exact_match,0.032,0.0112
afrimgsm_kin_prompt_2,exact_match,0.028,0.0105
afrimgsm_kin_prompt_3,exact_match,0.016,0.0080
afrimgsm_kin_prompt_4,exact_match,0.024,0.0097
afrimgsm_kin_prompt_5,exact_match,0.020,0.0089
afrimgsm_lin_prompt_1,exact_match,0.056,0.0146
afrimgsm_lin_prompt_2,exact_match,0.032,0.0112
afrimgsm_lin_prompt_3,exact_match,0.024,0.0097
afrimgsm_lin_prompt_4,exact_match,0.036,0.0118
afrimgsm_lin_prompt_5,exact_match,0.024,0.0097
afrimgsm_lug_prompt_1,exact_match,0.028,0.0105
afrimgsm_lug_prompt_2,exact_match,0.032,0.0112
afrimgsm_lug_prompt_3,exact_match,0.032,0.0112
afrimgsm_lug_prompt_4,exact_match,0.044,0.0130
afrimgsm_lug_prompt_5,exact_match,0.024,0.0097
afrimgsm_orm_prompt_1,exact_match,0.028,0.0105
afrimgsm_orm_prompt_2,exact_match,0.016,0.0080
afrimgsm_orm_prompt_3,exact_match,0.024,0.0097
afrimgsm_orm_prompt_4,exact_match,0.012,0.0069
afrimgsm_orm_prompt_5,exact_match,0.032,0.0112
afrimgsm_sna_prompt_1,exact_match,0.048,0.0135
afrimgsm_sna_prompt_2,exact_match,0.028,0.0105
afrimgsm_sna_prompt_3,exact_match,0.032,0.0112
afrimgsm_sna_prompt_4,exact_match,0.044,0.0130
afrimgsm_sna_prompt_5,exact_match,0.024,0.0097
afrimgsm_sot_prompt_1,exact_match,0.028,0.0105
afrimgsm_sot_prompt_2,exact_match,0.020,0.0089
afrimgsm_sot_prompt_3,exact_match,0.024,0.0097
afrimgsm_sot_prompt_4,exact_match,0.020,0.0089
afrimgsm_sot_prompt_5,exact_match,0.020,0.0089
afrimgsm_swa_prompt_1,exact_match,0.148,0.0225
afrimgsm_swa_prompt_2,exact_match,0.120,0.0206
afrimgsm_swa_prompt_3,exact_match,0.072,0.0164
afrimgsm_swa_prompt_4,exact_match,0.128,0.0212
afrimgsm_swa_prompt_5,exact_match,0.096,0.0187
afrimgsm_twi_prompt_1,exact_match,0.028,0.0105
afrimgsm_twi_prompt_2,exact_match,0.012,0.0069
afrimgsm_twi_prompt_3,exact_match,0.024,0.0097
afrimgsm_twi_prompt_4,exact_match,0.028,0.0105
afrimgsm_twi_prompt_5,exact_match,0.020,0.0089
afrimgsm_vai_prompt_1,exact_match,0.016,0.0080
afrimgsm_vai_prompt_2,exact_match,0.016,0.0080
afrimgsm_vai_prompt_3,exact_match,0.032,0.0112
afrimgsm_vai_prompt_4,exact_match,0.012,0.0069
afrimgsm_vai_prompt_5,exact_match,0.020,0.0089
afrimgsm_wol_prompt_1,exact_match,0.040,0.0124
afrimgsm_wol_prompt_2,exact_match,0.032,0.0112
