Tasks,Metric,Value,Stderr
afrixnli_amh_prompt_1,acc,0.3333,0.0193
afrixnli_amh_prompt_1,f1,0.1667,
afrixnli_amh_prompt_2,acc,0.3383,0.0193
afrixnli_amh_prompt_2,f1,0.1775,
afrixnli_amh_prompt_3,acc,0.3200,0.0191
afrixnli_amh_prompt_3,f1,0.2137,
afrixnli_amh_prompt_4,acc,0.3267,0.0192
afrixnli_amh_prompt_4,f1,0.2637,
afrixnli_amh_prompt_5,acc,0.3450,0.0194
afrixnli_amh_prompt_5,f1,0.2720,
afrixnli_eng_prompt_1,acc,0.3333,0.0193
afrixnli_eng_prompt_1,f1,0.1667,
afrixnli_eng_prompt_2,acc,0.3500,0.0195
afrixnli_eng_prompt_2,f1,0.2592,
afrixnli_eng_prompt_3,acc,0.3200,0.0191
afrixnli_eng_prompt_3,f1,0.1854,
afrixnli_eng_prompt_4,acc,0.3350,0.0193
afrixnli_eng_prompt_4,f1,0.1979,
afrixnli_eng_prompt_5,acc,0.3350,0.0193
afrixnli_eng_prompt_5,f1,0.1862,
afrixnli_ewe_prompt_1,acc,0.3333,0.0193
afrixnli_ewe_prompt_1,f1,0.1667,
afrixnli_ewe_prompt_2,acc,0.3350,0.0193
afrixnli_ewe_prompt_2,f1,0.2154,
afrixnli_ewe_prompt_3,acc,0.3517,0.0195
afrixnli_ewe_prompt_3,f1,0.2987,
afrixnli_ewe_prompt_4,acc,0.3583,0.0196
afrixnli_ewe_prompt_4,f1,0.3118,
afrixnli_ewe_prompt_5,acc,0.3100,0.0189
afrixnli_ewe_prompt_5,f1,0.2498,
afrixnli_fra_prompt_1,acc,0.3333,0.0193
afrixnli_fra_prompt_1,f1,0.1667,
afrixnli_fra_prompt_2,acc,0.3650,0.0197
afrixnli_fra_prompt_2,f1,0.2638,
afrixnli_fra_prompt_3,acc,0.2967,0.0187
afrixnli_fra_prompt_3,f1,0.2126,
afrixnli_fra_prompt_4,acc,0.3350,0.0193
afrixnli_fra_prompt_4,f1,0.2209,
afrixnli_fra_prompt_5,acc,0.3317,0.0192
afrixnli_fra_prompt_5,f1,0.1719,
afrixnli_hau_prompt_1,acc,0.3333,0.0193
afrixnli_hau_prompt_1,f1,0.1667,
afrixnli_hau_prompt_2,acc,0.3367,0.0193
afrixnli_hau_prompt_2,f1,0.1903,
afrixnli_hau_prompt_3,acc,0.3167,0.0190
afrixnli_hau_prompt_3,f1,0.2339,
afrixnli_hau_prompt_4,acc,0.3383,0.0193
afrixnli_hau_prompt_4,f1,0.2162,
afrixnli_hau_prompt_5,acc,0.3233,0.0191
afrixnli_hau_prompt_5,f1,0.1792,
afrixnli_ibo_prompt_1,acc,0.3333,0.0193
afrixnli_ibo_prompt_1,f1,0.1667,
afrixnli_ibo_prompt_2,acc,0.3433,0.0194
afrixnli_ibo_prompt_2,f1,0.1990,
afrixnli_ibo_prompt_3,acc,0.3317,0.0192
afrixnli_ibo_prompt_3,f1,0.2655,
afrixnli_ibo_prompt_4,acc,0.3500,0.0195
afrixnli_ibo_prompt_4,f1,0.2798,
afrixnli_ibo_prompt_5,acc,0.2717,0.0182
afrixnli_ibo_prompt_5,f1,0.2165,
afrixnli_kin_prompt_1,acc,0.3333,0.0193
afrixnli_kin_prompt_1,f1,0.1667,
afrixnli_kin_prompt_2,acc,0.3350,0.0193
afrixnli_kin_prompt_2,f1,0.1844,
afrixnli_kin_prompt_3,acc,0.3850,0.0199
afrixnli_kin_prompt_3,f1,0.3154,
afrixnli_kin_prompt_4,acc,0.3700,0.0197
afrixnli_kin_prompt_4,f1,0.3059,
afrixnli_kin_prompt_5,acc,0.3283,0.0192
afrixnli_kin_prompt_5,f1,0.3204,
afrixnli_lin_prompt_1,acc,0.3333,0.0193
afrixnli_lin_prompt_1,f1,0.1667,
afrixnli_lin_prompt_2,acc,0.3317,0.0192
afrixnli_lin_prompt_2,f1,0.1808,
afrixnli_lin_prompt_3,acc,0.3250,0.0191
afrixnli_lin_prompt_3,f1,0.2619,
afrixnli_lin_prompt_4,acc,0.3400,0.0194
afrixnli_lin_prompt_4,f1,0.2640,
afrixnli_lin_prompt_5,acc,0.3150,0.0190
afrixnli_lin_prompt_5,f1,0.2748,
afrixnli_lug_prompt_1,acc,0.3333,0.0193
afrixnli_lug_prompt_1,f1,0.1667,
afrixnli_lug_prompt_2,acc,0.3400,0.0194
afrixnli_lug_prompt_2,f1,0.2170,
afrixnli_lug_prompt_3,acc,0.3450,0.0194
afrixnli_lug_prompt_3,f1,0.2731,
afrixnli_lug_prompt_4,acc,0.3517,0.0195
afrixnli_lug_prompt_4,f1,0.2868,
afrixnli_lug_prompt_5,acc,0.2950,0.0186
afrixnli_lug_prompt_5,f1,0.1963,
afrixnli_orm_prompt_1,acc,0.3333,0.0193
afrixnli_orm_prompt_1,f1,0.1667,
afrixnli_orm_prompt_2,acc,0.3300,0.0192
afrixnli_orm_prompt_2,f1,0.2258,
afrixnli_orm_prompt_3,acc,0.3533,0.0195
afrixnli_orm_prompt_3,f1,0.2707,
afrixnli_orm_prompt_4,acc,0.3750,0.0198
afrixnli_orm_prompt_4,f1,0.2998,
afrixnli_orm_prompt_5,acc,0.2867,0.0185
afrixnli_orm_prompt_5,f1,0.2107,
afrixnli_sna_prompt_1,acc,0.3333,0.0193
afrixnli_sna_prompt_1,f1,0.1667,
afrixnli_sna_prompt_2,acc,0.3350,0.0193
afrixnli_sna_prompt_2,f1,0.1967,
afrixnli_sna_prompt_3,acc,0.3367,0.0193
afrixnli_sna_prompt_3,f1,0.2624,
afrixnli_sna_prompt_4,acc,0.3400,0.0194
afrixnli_sna_prompt_4,f1,0.2401,
afrixnli_sna_prompt_5,acc,0.3050,0.0188
afrixnli_sna_prompt_5,f1,0.2331,
afrixnli_sot_prompt_1,acc,0.3333,0.0193
afrixnli_sot_prompt_1,f1,0.1667,
afrixnli_sot_prompt_2,acc,0.3350,0.0193
afrixnli_sot_prompt_2,f1,0.2187,
afrixnli_sot_prompt_3,acc,0.3250,0.0191
afrixnli_sot_prompt_3,f1,0.2298,
afrixnli_sot_prompt_4,acc,0.3317,0.0192
afrixnli_sot_prompt_4,f1,0.2120,
afrixnli_sot_prompt_5,acc,0.3283,0.0192
afrixnli_sot_prompt_5,f1,0.1734,
afrixnli_swa_prompt_1,acc,0.3333,0.0193
afrixnli_swa_prompt_1,f1,0.1667,
afrixnli_swa_prompt_2,acc,0.3450,0.0194
afrixnli_swa_prompt_2,f1,0.1995,
afrixnli_swa_prompt_3,acc,0.3517,0.0195
afrixnli_swa_prompt_3,f1,0.2794,
afrixnli_swa_prompt_4,acc,0.3783,0.0198
afrixnli_swa_prompt_4,f1,0.3036,
afrixnli_swa_prompt_5,acc,0.3300,0.0192
afrixnli_swa_prompt_5,f1,0.2169,
afrixnli_twi_prompt_1,acc,0.3333,0.0193
afrixnli_twi_prompt_1,f1,0.1667,
afrixnli_twi_prompt_2,acc,0.3317,0.0192
afrixnli_twi_prompt_2,f1,0.1807,
afrixnli_twi_prompt_3,acc,0.3500,0.0195
afrixnli_twi_prompt_3,f1,0.2799,
afrixnli_twi_prompt_4,acc,0.3250,0.0191
afrixnli_twi_prompt_4,f1,0.2681,
afrixnli_twi_prompt_5,acc,0.3100,0.0189
afrixnli_twi_prompt_5,f1,0.2465,
afrixnli_wol_prompt_1,acc,0.3333,0.0193
