|           Tasks            |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|----------------------------|------:|------|-----:|------|---|-----:|---|------|
|afrimmlu_direct_amh_prompt_1|      1|none  |     0|acc   |↑  |0.2280|±  |0.0188|
|                            |       |none  |     0|f1    |↑  |0.2147|±  |   N/A|
|afrimmlu_direct_amh_prompt_2|      1|none  |     0|acc   |↑  |0.2220|±  |0.0186|
|                            |       |none  |     0|f1    |↑  |0.2065|±  |   N/A|
|afrimmlu_direct_amh_prompt_3|      1|none  |     0|acc   |↑  |0.2340|±  |0.0190|
|                            |       |none  |     0|f1    |↑  |0.2256|±  |   N/A|
|afrimmlu_direct_amh_prompt_4|      1|none  |     0|acc   |↑  |0.2280|±  |0.0188|
|                            |       |none  |     0|f1    |↑  |0.2141|±  |   N/A|
|afrimmlu_direct_amh_prompt_5|      1|none  |     0|acc   |↑  |0.2260|±  |0.0187|
|                            |       |none  |     0|f1    |↑  |0.2144|±  |   N/A|
|afrimmlu_direct_eng_prompt_1|      1|none  |     0|acc   |↑  |0.4380|±  |0.0222|
|                            |       |none  |     0|f1    |↑  |0.4380|±  |   N/A|
|afrimmlu_direct_eng_prompt_2|      1|none  |     0|acc   |↑  |0.4260|±  |0.0221|
|                            |       |none  |     0|f1    |↑  |0.4243|±  |   N/A|
|afrimmlu_direct_eng_prompt_3|      1|none  |     0|acc   |↑  |0.4140|±  |0.0220|
|                            |       |none  |     0|f1    |↑  |0.4103|±  |   N/A|
|afrimmlu_direct_eng_prompt_4|      1|none  |     0|acc   |↑  |0.4380|±  |0.0222|
|                            |       |none  |     0|f1    |↑  |0.4388|±  |   N/A|
|afrimmlu_direct_eng_prompt_5|      1|none  |     0|acc   |↑  |0.4360|±  |0.0222|
|                            |       |none  |     0|f1    |↑  |0.4334|±  |   N/A|
|afrimmlu_direct_ewe_prompt_1|      1|none  |     0|acc   |↑  |0.2380|±  |0.0191|
|                            |       |none  |     0|f1    |↑  |0.2329|±  |   N/A|
|afrimmlu_direct_ewe_prompt_2|      1|none  |     0|acc   |↑  |0.2460|±  |0.0193|
