Tasks,Metric,Value,Stderr
afrimmlu_direct_amh_prompt_1,acc,0.2280,0.0188
afrimmlu_direct_amh_prompt_1,f1,0.2147,
afrimmlu_direct_amh_prompt_2,acc,0.2220,0.0186
afrimmlu_direct_amh_prompt_2,f1,0.2065,
afrimmlu_direct_amh_prompt_3,acc,0.2340,0.0190
afrimmlu_direct_amh_prompt_3,f1,0.2256,
afrimmlu_direct_amh_prompt_4,acc,0.2280,0.0188
afrimmlu_direct_amh_prompt_4,f1,0.2141,
afrimmlu_direct_amh_prompt_5,acc,0.2260,0.0187
afrimmlu_direct_amh_prompt_5,f1,0.2144,
afrimmlu_direct_eng_prompt_1,acc,0.4380,0.0222
afrimmlu_direct_eng_prompt_1,f1,0.4380,
afrimmlu_direct_eng_prompt_2,acc,0.4260,0.0221
afrimmlu_direct_eng_prompt_2,f1,0.4243,
afrimmlu_direct_eng_prompt_3,acc,0.4140,0.0220
afrimmlu_direct_eng_prompt_3,f1,0.4103,
afrimmlu_direct_eng_prompt_4,acc,0.4380,0.0222
afrimmlu_direct_eng_prompt_4,f1,0.4388,
afrimmlu_direct_eng_prompt_5,acc,0.4360,0.0222
afrimmlu_direct_eng_prompt_5,f1,0.4334,
afrimmlu_direct_ewe_prompt_1,acc,0.2380,0.0191
afrimmlu_direct_ewe_prompt_1,f1,0.2329,
afrimmlu_direct_ewe_prompt_2,acc,0.2460,0.0193
afrimmlu_direct_ewe_prompt_2,f1,0.2251,
afrimmlu_direct_ewe_prompt_3,acc,0.2680,0.0198
afrimmlu_direct_ewe_prompt_3,f1,0.2604,
afrimmlu_direct_ewe_prompt_4,acc,0.2680,0.0198
afrimmlu_direct_ewe_prompt_4,f1,0.2556,
afrimmlu_direct_ewe_prompt_5,acc,0.2700,0.0199
afrimmlu_direct_ewe_prompt_5,f1,0.2537,
afrimmlu_direct_fra_prompt_1,acc,0.3680,0.0216
afrimmlu_direct_fra_prompt_1,f1,0.3684,
afrimmlu_direct_fra_prompt_2,acc,0.3520,0.0214
afrimmlu_direct_fra_prompt_2,f1,0.3539,
afrimmlu_direct_fra_prompt_3,acc,0.3500,0.0214
afrimmlu_direct_fra_prompt_3,f1,0.3516,
afrimmlu_direct_fra_prompt_4,acc,0.3640,0.0215
afrimmlu_direct_fra_prompt_4,f1,0.3643,
afrimmlu_direct_fra_prompt_5,acc,0.3560,0.0214
afrimmlu_direct_fra_prompt_5,f1,0.3563,
afrimmlu_direct_hau_prompt_1,acc,0.2540,0.0195
afrimmlu_direct_hau_prompt_1,f1,0.2414,
afrimmlu_direct_hau_prompt_2,acc,0.2520,0.0194
afrimmlu_direct_hau_prompt_2,f1,0.2302,
afrimmlu_direct_hau_prompt_3,acc,0.2720,0.0199
afrimmlu_direct_hau_prompt_3,f1,0.2633,
afrimmlu_direct_hau_prompt_4,acc,0.2340,0.0190
afrimmlu_direct_hau_prompt_4,f1,0.2148,
afrimmlu_direct_hau_prompt_5,acc,0.2300,0.0188
afrimmlu_direct_hau_prompt_5,f1,0.2097,
afrimmlu_direct_ibo_prompt_1,acc,0.2600,0.0196
afrimmlu_direct_ibo_prompt_1,f1,0.2542,
afrimmlu_direct_ibo_prompt_2,acc,0.2740,0.0200
afrimmlu_direct_ibo_prompt_2,f1,0.2597,
afrimmlu_direct_ibo_prompt_3,acc,0.2580,0.0196
afrimmlu_direct_ibo_prompt_3,f1,0.2471,
afrimmlu_direct_ibo_prompt_4,acc,0.2560,0.0195
afrimmlu_direct_ibo_prompt_4,f1,0.2427,
afrimmlu_direct_ibo_prompt_5,acc,0.2680,0.0198
afrimmlu_direct_ibo_prompt_5,f1,0.2577,
afrimmlu_direct_kin_prompt_1,acc,0.2520,0.0194
afrimmlu_direct_kin_prompt_1,f1,0.2484,
afrimmlu_direct_kin_prompt_2,acc,0.2320,0.0189
afrimmlu_direct_kin_prompt_2,f1,0.2252,
afrimmlu_direct_kin_prompt_3,acc,0.2540,0.0195
afrimmlu_direct_kin_prompt_3,f1,0.2486,
afrimmlu_direct_kin_prompt_4,acc,0.2400,0.0191
afrimmlu_direct_kin_prompt_4,f1,0.2273,
afrimmlu_direct_kin_prompt_5,acc,0.2520,0.0194
afrimmlu_direct_kin_prompt_5,f1,0.2427,
afrimmlu_direct_lin_prompt_1,acc,0.2580,0.0196
afrimmlu_direct_lin_prompt_1,f1,0.2528,
afrimmlu_direct_lin_prompt_2,acc,0.2560,0.0195
afrimmlu_direct_lin_prompt_2,f1,0.2480,
afrimmlu_direct_lin_prompt_3,acc,0.2440,0.0192
afrimmlu_direct_lin_prompt_3,f1,0.2392,
afrimmlu_direct_lin_prompt_4,acc,0.2640,0.0197
afrimmlu_direct_lin_prompt_4,f1,0.2589,
afrimmlu_direct_lin_prompt_5,acc,0.2500,0.0194
afrimmlu_direct_lin_prompt_5,f1,0.2429,
afrimmlu_direct_lug_prompt_1,acc,0.2700,0.0199
afrimmlu_direct_lug_prompt_1,f1,0.2618,
afrimmlu_direct_lug_prompt_2,acc,0.2360,0.0190
afrimmlu_direct_lug_prompt_2,f1,0.2190,
afrimmlu_direct_lug_prompt_3,acc,0.2520,0.0194
afrimmlu_direct_lug_prompt_3,f1,0.2517,
afrimmlu_direct_lug_prompt_4,acc,0.2240,0.0187
afrimmlu_direct_lug_prompt_4,f1,0.2134,
afrimmlu_direct_lug_prompt_5,acc,0.2500,0.0194
afrimmlu_direct_lug_prompt_5,f1,0.2404,
afrimmlu_direct_orm_prompt_1,acc,0.2760,0.0200
afrimmlu_direct_orm_prompt_1,f1,0.2621,
afrimmlu_direct_orm_prompt_2,acc,0.2580,0.0196
afrimmlu_direct_orm_prompt_2,f1,0.2318,
afrimmlu_direct_orm_prompt_3,acc,0.2620,0.0197
afrimmlu_direct_orm_prompt_3,f1,0.2524,
afrimmlu_direct_orm_prompt_4,acc,0.2260,0.0187
afrimmlu_direct_orm_prompt_4,f1,0.2113,
afrimmlu_direct_orm_prompt_5,acc,0.2500,0.0194
afrimmlu_direct_orm_prompt_5,f1,0.2363,
afrimmlu_direct_sna_prompt_1,acc,0.2680,0.0198
afrimmlu_direct_sna_prompt_1,f1,0.2658,
afrimmlu_direct_sna_prompt_2,acc,0.2440,0.0192
afrimmlu_direct_sna_prompt_2,f1,0.2377,
afrimmlu_direct_sna_prompt_3,acc,0.2760,0.0200
afrimmlu_direct_sna_prompt_3,f1,0.2744,
