Language,Prompt,F1_Score
bem,prompt_1,0.1382
bem,prompt_2,0.1106
bem,prompt_3,0.0978
bem,prompt_4,0.0854
bem,prompt_5,0.1571
fon,prompt_1,0.0821
fon,prompt_2,0.0868
fon,prompt_3,0.0652
fon,prompt_4,0.0648
fon,prompt_5,0.152
hau,prompt_1,0.2331
hau,prompt_2,0.2949
hau,prompt_3,0.0362
hau,prompt_4,0.077
hau,prompt_5,0.2467
ibo,prompt_1,0.3299
ibo,prompt_2,0.2876
ibo,prompt_3,0.0436
ibo,prompt_4,0.1363
ibo,prompt_5,0.4193
kin,prompt_1,0.2684
kin,prompt_2,0.2121
kin,prompt_3,0.1408
kin,prompt_4,0.1294
kin,prompt_5,0.3084
swa,prompt_1,0.4959
swa,prompt_2,0.52
swa,prompt_3,0.2155
swa,prompt_4,0.2386
swa,prompt_5,0.4817
twi,prompt_1,0.0781
twi,prompt_2,0.0697
twi,prompt_3,0.025
twi,prompt_4,0.027
twi,prompt_5,0.0875
yor,prompt_1,0.1338
yor,prompt_2,0.2042
yor,prompt_3,0.0642
yor,prompt_4,0.1028
yor,prompt_5,0.1932
zul,prompt_1,0.1212
zul,prompt_2,0.1159
zul,prompt_3,0.0338
zul,prompt_4,0.0502
zul,prompt_5,0.1811
