|             Tasks             |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|-------------------------------|------:|------|-----:|------|---|-----:|---|------|
|afrixnli_translate_amh_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_amh_prompt_2|      1|none  |     0|acc   |↑  |0.3883|±  |0.0199|
|                               |       |none  |     0|f1    |↑  |0.3549|±  |   N/A|
|afrixnli_translate_amh_prompt_3|      1|none  |     0|acc   |↑  |0.3200|±  |0.0191|
|                               |       |none  |     0|f1    |↑  |0.2720|±  |   N/A|
|afrixnli_translate_amh_prompt_4|      1|none  |     0|acc   |↑  |0.3650|±  |0.0197|
|                               |       |none  |     0|f1    |↑  |0.3393|±  |   N/A|
|afrixnli_translate_amh_prompt_5|      1|none  |     0|acc   |↑  |0.3483|±  |0.0195|
|                               |       |none  |     0|f1    |↑  |0.2381|±  |   N/A|
|afrixnli_translate_ewe_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_ewe_prompt_2|      1|none  |     0|acc   |↑  |0.3850|±  |0.0199|
|                               |       |none  |     0|f1    |↑  |0.3413|±  |   N/A|
|afrixnli_translate_ewe_prompt_3|      1|none  |     0|acc   |↑  |0.3083|±  |0.0189|
|                               |       |none  |     0|f1    |↑  |0.2718|±  |   N/A|
|afrixnli_translate_ewe_prompt_4|      1|none  |     0|acc   |↑  |0.3317|±  |0.0192|
|                               |       |none  |     0|f1    |↑  |0.3075|±  |   N/A|
|afrixnli_translate_ewe_prompt_5|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.2251|±  |   N/A|
|afrixnli_translate_fra_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_fra_prompt_2|      1|none  |     0|acc   |↑  |0.4417|±  |0.0203|
|                               |       |none  |     0|f1    |↑  |0.4165|±  |   N/A|
|afrixnli_translate_fra_prompt_3|      1|none  |     0|acc   |↑  |0.3300|±  |0.0192|
|                               |       |none  |     0|f1    |↑  |0.2150|±  |   N/A|
|afrixnli_translate_fra_prompt_4|      1|none  |     0|acc   |↑  |0.3967|±  |0.0200|
|                               |       |none  |     0|f1    |↑  |0.3280|±  |   N/A|
|afrixnli_translate_fra_prompt_5|      1|none  |     0|acc   |↑  |0.3517|±  |0.0195|
|                               |       |none  |     0|f1    |↑  |0.2256|±  |   N/A|
|afrixnli_translate_hau_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_hau_prompt_2|      1|none  |     0|acc   |↑  |0.4150|±  |0.0201|
|                               |       |none  |     0|f1    |↑  |0.3728|±  |   N/A|
|afrixnli_translate_hau_prompt_3|      1|none  |     0|acc   |↑  |0.3350|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1960|±  |   N/A|
|afrixnli_translate_hau_prompt_4|      1|none  |     0|acc   |↑  |0.3733|±  |0.0198|
|                               |       |none  |     0|f1    |↑  |0.2998|±  |   N/A|
|afrixnli_translate_hau_prompt_5|      1|none  |     0|acc   |↑  |0.3350|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.2061|±  |   N/A|
|afrixnli_translate_ibo_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_ibo_prompt_2|      1|none  |     0|acc   |↑  |0.4367|±  |0.0203|
|                               |       |none  |     0|f1    |↑  |0.4065|±  |   N/A|
|afrixnli_translate_ibo_prompt_3|      1|none  |     0|acc   |↑  |0.3233|±  |0.0191|
|                               |       |none  |     0|f1    |↑  |0.2009|±  |   N/A|
|afrixnli_translate_ibo_prompt_4|      1|none  |     0|acc   |↑  |0.3417|±  |0.0194|
|                               |       |none  |     0|f1    |↑  |0.2793|±  |   N/A|
|afrixnli_translate_ibo_prompt_5|      1|none  |     0|acc   |↑  |0.3300|±  |0.0192|
|                               |       |none  |     0|f1    |↑  |0.1926|±  |   N/A|
|afrixnli_translate_kin_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_kin_prompt_2|      1|none  |     0|acc   |↑  |0.3817|±  |0.0198|
|                               |       |none  |     0|f1    |↑  |0.3448|±  |   N/A|
|afrixnli_translate_kin_prompt_3|      1|none  |     0|acc   |↑  |0.3133|±  |0.0190|
|                               |       |none  |     0|f1    |↑  |0.3110|±  |   N/A|
|afrixnli_translate_kin_prompt_4|      1|none  |     0|acc   |↑  |0.3367|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.3153|±  |   N/A|
|afrixnli_translate_kin_prompt_5|      1|none  |     0|acc   |↑  |0.3517|±  |0.0195|
|                               |       |none  |     0|f1    |↑  |0.2567|±  |   N/A|
|afrixnli_translate_lin_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_lin_prompt_2|      1|none  |     0|acc   |↑  |0.3283|±  |0.0192|
|                               |       |none  |     0|f1    |↑  |0.2837|±  |   N/A|
|afrixnli_translate_lin_prompt_3|      1|none  |     0|acc   |↑  |0.3317|±  |0.0192|
|                               |       |none  |     0|f1    |↑  |0.3145|±  |   N/A|
|afrixnli_translate_lin_prompt_4|      1|none  |     0|acc   |↑  |0.3583|±  |0.0196|
|                               |       |none  |     0|f1    |↑  |0.3337|±  |   N/A|
|afrixnli_translate_lin_prompt_5|      1|none  |     0|acc   |↑  |0.3383|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.2398|±  |   N/A|
|afrixnli_translate_lug_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_lug_prompt_2|      1|none  |     0|acc   |↑  |0.4233|±  |0.0202|
|                               |       |none  |     0|f1    |↑  |0.3879|±  |   N/A|
|afrixnli_translate_lug_prompt_3|      1|none  |     0|acc   |↑  |0.3383|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1971|±  |   N/A|
|afrixnli_translate_lug_prompt_4|      1|none  |     0|acc   |↑  |0.3600|±  |0.0196|
|                               |       |none  |     0|f1    |↑  |0.2707|±  |   N/A|
|afrixnli_translate_lug_prompt_5|      1|none  |     0|acc   |↑  |0.3450|±  |0.0194|
|                               |       |none  |     0|f1    |↑  |0.2130|±  |   N/A|
|afrixnli_translate_orm_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_orm_prompt_2|      1|none  |     0|acc   |↑  |0.4167|±  |0.0201|
|                               |       |none  |     0|f1    |↑  |0.3839|±  |   N/A|
|afrixnli_translate_orm_prompt_3|      1|none  |     0|acc   |↑  |0.3317|±  |0.0192|
|                               |       |none  |     0|f1    |↑  |0.1955|±  |   N/A|
|afrixnli_translate_orm_prompt_4|      1|none  |     0|acc   |↑  |0.3517|±  |0.0195|
|                               |       |none  |     0|f1    |↑  |0.2721|±  |   N/A|
|afrixnli_translate_orm_prompt_5|      1|none  |     0|acc   |↑  |0.3500|±  |0.0195|
|                               |       |none  |     0|f1    |↑  |0.2225|±  |   N/A|
|afrixnli_translate_sna_prompt_1|      1|none  |     0|acc   |↑  |0.3333|±  |0.0193|
|                               |       |none  |     0|f1    |↑  |0.1667|±  |   N/A|
|afrixnli_translate_sna_prompt_2|      1|none  |     0|acc   |↑  |0.4167|±  |0.0201|
|                               |       |none  |     0|f1    |↑  |0.3871|±  |   N/A|
|afrixnli_translate_sna_prompt_3|      1|none  |     0|acc   |↑  |0.3250|±  |0.0191|
