Tasks,Metric,Value,Stderr
afrixnli_amh_prompt_1,acc,0.3333,0.0193
afrixnli_amh_prompt_1,f1,0.1667,
afrixnli_amh_prompt_2,acc,0.3800,0.0198
afrixnli_amh_prompt_2,f1,0.3382,
afrixnli_amh_prompt_3,acc,0.3400,0.0194
afrixnli_amh_prompt_3,f1,0.3296,
afrixnli_amh_prompt_4,acc,0.3333,0.0193
afrixnli_amh_prompt_4,f1,0.3225,
afrixnli_amh_prompt_5,acc,0.3567,0.0196
afrixnli_amh_prompt_5,f1,0.2721,
afrixnli_eng_prompt_1,acc,0.3333,0.0193
afrixnli_eng_prompt_1,f1,0.1667,
afrixnli_eng_prompt_2,acc,0.5650,0.0203
afrixnli_eng_prompt_2,f1,0.5468,
afrixnli_eng_prompt_3,acc,0.4117,0.0201
afrixnli_eng_prompt_3,f1,0.3380,
afrixnli_eng_prompt_4,acc,0.4567,0.0204
afrixnli_eng_prompt_4,f1,0.4433,
afrixnli_eng_prompt_5,acc,0.3550,0.0196
afrixnli_eng_prompt_5,f1,0.2260,
afrixnli_ewe_prompt_1,acc,0.3333,0.0193
afrixnli_ewe_prompt_1,f1,0.1667,
afrixnli_ewe_prompt_2,acc,0.3550,0.0196
afrixnli_ewe_prompt_2,f1,0.2438,
afrixnli_ewe_prompt_3,acc,0.3367,0.0193
afrixnli_ewe_prompt_3,f1,0.2336,
afrixnli_ewe_prompt_4,acc,0.3350,0.0193
afrixnli_ewe_prompt_4,f1,0.1732,
afrixnli_ewe_prompt_5,acc,0.3400,0.0194
afrixnli_ewe_prompt_5,f1,0.1947,
afrixnli_fra_prompt_1,acc,0.3333,0.0193
afrixnli_fra_prompt_1,f1,0.1667,
afrixnli_fra_prompt_2,acc,0.5050,0.0204
afrixnli_fra_prompt_2,f1,0.4824,
afrixnli_fra_prompt_3,acc,0.4583,0.0204
afrixnli_fra_prompt_3,f1,0.4451,
afrixnli_fra_prompt_4,acc,0.4150,0.0201
afrixnli_fra_prompt_4,f1,0.3785,
afrixnli_fra_prompt_5,acc,0.3350,0.0193
afrixnli_fra_prompt_5,f1,0.1790,
afrixnli_hau_prompt_1,acc,0.3333,0.0193
afrixnli_hau_prompt_1,f1,0.1667,
afrixnli_hau_prompt_2,acc,0.3700,0.0197
afrixnli_hau_prompt_2,f1,0.2971,
afrixnli_hau_prompt_3,acc,0.3233,0.0191
afrixnli_hau_prompt_3,f1,0.2857,
afrixnli_hau_prompt_4,acc,0.3150,0.0190
afrixnli_hau_prompt_4,f1,0.2100,
afrixnli_hau_prompt_5,acc,0.3333,0.0193
afrixnli_hau_prompt_5,f1,0.1726,
afrixnli_ibo_prompt_1,acc,0.3333,0.0193
afrixnli_ibo_prompt_1,f1,0.1667,
afrixnli_ibo_prompt_2,acc,0.3883,0.0199
afrixnli_ibo_prompt_2,f1,0.3262,
afrixnli_ibo_prompt_3,acc,0.3617,0.0196
afrixnli_ibo_prompt_3,f1,0.3328,
afrixnli_ibo_prompt_4,acc,0.3467,0.0194
afrixnli_ibo_prompt_4,f1,0.3101,
afrixnli_ibo_prompt_5,acc,0.3333,0.0193
afrixnli_ibo_prompt_5,f1,0.1667,
afrixnli_kin_prompt_1,acc,0.3333,0.0193
afrixnli_kin_prompt_1,f1,0.1667,
afrixnli_kin_prompt_2,acc,0.3700,0.0197
afrixnli_kin_prompt_2,f1,0.3182,
afrixnli_kin_prompt_3,acc,0.3333,0.0193
afrixnli_kin_prompt_3,f1,0.2065,
afrixnli_kin_prompt_4,acc,0.3300,0.0192
afrixnli_kin_prompt_4,f1,0.1911,
afrixnli_kin_prompt_5,acc,0.3700,0.0197
afrixnli_kin_prompt_5,f1,0.3506,
afrixnli_lin_prompt_1,acc,0.3333,0.0193
afrixnli_lin_prompt_1,f1,0.1667,
afrixnli_lin_prompt_2,acc,0.3100,0.0189
afrixnli_lin_prompt_2,f1,0.2156,
afrixnli_lin_prompt_3,acc,0.3483,0.0195
afrixnli_lin_prompt_3,f1,0.3146,
afrixnli_lin_prompt_4,acc,0.3433,0.0194
afrixnli_lin_prompt_4,f1,0.3043,
afrixnli_lin_prompt_5,acc,0.3200,0.0191
afrixnli_lin_prompt_5,f1,0.2532,
afrixnli_lug_prompt_1,acc,0.3333,0.0193
afrixnli_lug_prompt_1,f1,0.1667,
afrixnli_lug_prompt_2,acc,0.3850,0.0199
afrixnli_lug_prompt_2,f1,0.3358,
afrixnli_lug_prompt_3,acc,0.3183,0.0190
afrixnli_lug_prompt_3,f1,0.3187,
afrixnli_lug_prompt_4,acc,0.3217,0.0191
afrixnli_lug_prompt_4,f1,0.3048,
afrixnli_lug_prompt_5,acc,0.3367,0.0193
afrixnli_lug_prompt_5,f1,0.1769,
afrixnli_orm_prompt_1,acc,0.3333,0.0193
afrixnli_orm_prompt_1,f1,0.1667,
afrixnli_orm_prompt_2,acc,0.4050,0.0201
afrixnli_orm_prompt_2,f1,0.3830,
afrixnli_orm_prompt_3,acc,0.3383,0.0193
afrixnli_orm_prompt_3,f1,0.3087,
afrixnli_orm_prompt_4,acc,0.3800,0.0198
afrixnli_orm_prompt_4,f1,0.3330,
afrixnli_orm_prompt_5,acc,0.3317,0.0192
afrixnli_orm_prompt_5,f1,0.1665,
afrixnli_sna_prompt_1,acc,0.3333,0.0193
afrixnli_sna_prompt_1,f1,0.1667,
afrixnli_sna_prompt_2,acc,0.4133,0.0201
afrixnli_sna_prompt_2,f1,0.4098,
afrixnli_sna_prompt_3,acc,0.3133,0.0190
afrixnli_sna_prompt_3,f1,0.3042,
afrixnli_sna_prompt_4,acc,0.3217,0.0191
afrixnli_sna_prompt_4,f1,0.2546,
afrixnli_sna_prompt_5,acc,0.3367,0.0193
afrixnli_sna_prompt_5,f1,0.2116,
afrixnli_sot_prompt_1,acc,0.3333,0.0193
afrixnli_sot_prompt_1,f1,0.1667,
afrixnli_sot_prompt_2,acc,0.3800,0.0198
afrixnli_sot_prompt_2,f1,0.3741,
afrixnli_sot_prompt_3,acc,0.3217,0.0191
afrixnli_sot_prompt_3,f1,0.2673,
afrixnli_sot_prompt_4,acc,0.3417,0.0194
afrixnli_sot_prompt_4,f1,0.3354,
afrixnli_sot_prompt_5,acc,0.3350,0.0193
afrixnli_sot_prompt_5,f1,0.1736,
afrixnli_swa_prompt_1,acc,0.3333,0.0193
afrixnli_swa_prompt_1,f1,0.1667,
afrixnli_swa_prompt_2,acc,0.4450,0.0203
afrixnli_swa_prompt_2,f1,0.4460,
afrixnli_swa_prompt_3,acc,0.3633,0.0197
afrixnli_swa_prompt_3,f1,0.3591,
afrixnli_swa_prompt_4,acc,0.3433,0.0194
afrixnli_swa_prompt_4,f1,0.2908,
afrixnli_swa_prompt_5,acc,0.3550,0.0196
afrixnli_swa_prompt_5,f1,0.2306,
afrixnli_twi_prompt_1,acc,0.3333,0.0193
afrixnli_twi_prompt_1,f1,0.1667,
afrixnli_twi_prompt_2,acc,0.3800,0.0198
afrixnli_twi_prompt_2,f1,0.2846,
afrixnli_twi_prompt_3,acc,0.3317,0.0192
afrixnli_twi_prompt_3,f1,0.2539,
afrixnli_twi_prompt_4,acc,0.3317,0.0192
afrixnli_twi_prompt_4,f1,0.1866,
afrixnli_twi_prompt_5,acc,0.3350,0.0193
afrixnli_twi_prompt_5,f1,0.1762,
afrixnli_wol_prompt_1,acc,0.3333,0.0193
