|       Tasks       |Version|     Filter      |n-shot|  Metric   |   |Value |   |Stderr|
|-------------------|------:|-----------------|-----:|-----------|---|-----:|---|------|
|afriqa_bem_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.1169|±  |0.0183|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1822|±  |   N/A|
|afriqa_bem_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.1623|±  |0.0210|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2381|±  |   N/A|
|afriqa_bem_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0292|±  |0.0096|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0926|±  |   N/A|
|afriqa_bem_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.1526|±  |0.0205|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2204|±  |   N/A|
|afriqa_bem_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.1039|±  |0.0174|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1693|±  |   N/A|
|afriqa_fon_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.1140|±  |0.0162|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1965|±  |   N/A|
|afriqa_fon_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.1218|±  |0.0167|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2397|±  |   N/A|
|afriqa_fon_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0181|±  |0.0068|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0633|±  |   N/A|
|afriqa_fon_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.1088|±  |0.0159|
|                   |       |remove_whitespace|     0|f1         |↑  |0.2025|±  |   N/A|
|afriqa_fon_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.0855|±  |0.0143|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1851|±  |   N/A|
|afriqa_hau_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.0967|±  |0.0171|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1484|±  |   N/A|
|afriqa_hau_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.1400|±  |0.0201|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1942|±  |   N/A|
|afriqa_hau_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0067|±  |0.0047|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0477|±  |   N/A|
|afriqa_hau_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.0933|±  |0.0168|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1460|±  |   N/A|
|afriqa_hau_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.0600|±  |0.0137|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1086|±  |   N/A|
|afriqa_ibo_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.2152|±  |0.0203|
|                   |       |remove_whitespace|     0|f1         |↑  |0.3195|±  |   N/A|
|afriqa_ibo_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.2958|±  |0.0226|
|                   |       |remove_whitespace|     0|f1         |↑  |0.3902|±  |   N/A|
|afriqa_ibo_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0171|±  |0.0064|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0884|±  |   N/A|
