|       Tasks       |Version|     Filter      |n-shot|  Metric   |   |Value |   |Stderr|
|-------------------|------:|-----------------|-----:|-----------|---|-----:|---|------|
|afriqa_bem_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.0195|±  |0.0079|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0866|±  |   N/A|
|afriqa_bem_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.0617|±  |0.0137|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0922|±  |   N/A|
|afriqa_bem_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0097|±  |0.0056|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0328|±  |   N/A|
|afriqa_bem_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.0325|±  |0.0101|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0630|±  |   N/A|
|afriqa_bem_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.0974|±  |0.0169|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1311|±  |   N/A|
|afriqa_fon_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.0311|±  |0.0088|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0879|±  |   N/A|
|afriqa_fon_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.0440|±  |0.0105|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0807|±  |   N/A|
|afriqa_fon_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0052|±  |0.0037|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0355|±  |   N/A|
|afriqa_fon_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.0155|±  |0.0063|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0373|±  |   N/A|
|afriqa_fon_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.0751|±  |0.0134|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1235|±  |   N/A|
|afriqa_hau_prompt_1|      1|remove_whitespace|     0|exact_match|↑  |0.0733|±  |0.0151|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1389|±  |   N/A|
|afriqa_hau_prompt_2|      1|remove_whitespace|     0|exact_match|↑  |0.1000|±  |0.0173|
|                   |       |remove_whitespace|     0|f1         |↑  |0.1320|±  |   N/A|
|afriqa_hau_prompt_3|      1|remove_whitespace|     0|exact_match|↑  |0.0033|±  |0.0033|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0222|±  |   N/A|
|afriqa_hau_prompt_4|      1|remove_whitespace|     0|exact_match|↑  |0.0400|±  |0.0113|
|                   |       |remove_whitespace|     0|f1         |↑  |0.0763|±  |   N/A|
|afriqa_hau_prompt_5|      1|remove_whitespace|     0|exact_match|↑  |0.1600|±  |0.0212|
